product_id,product (brand),type,length x depth x width (in cm),category || sub_category
P0000,"	serum	 (Livon)",Indian & Exotic Herbs,5 x 20 x 12,Fruits & Vegetables || Herbs & Seasonings
P0001,"hand wash -	 moisture Shield (Savlon)",Hair Oil & Serum,13.5 x 22 x 20,Beauty & Hygiene || Hair Care
P0002,"good 		day butter Cookies (Britannia)",Hand Wash & Sanitizers,22 x 40 x 22,Beauty & Hygiene || Bath & Hand Wash
P0004,"Happy 		Happy Choco-Chip Cookies (Parle)",Cookies,2 x 13 x 4,Snacks & Branded Foods || Biscuits & Cookies
P0005, 50-50 Timepass salted biscuits (Britannia),Glucose & Milk Biscuits,16 x 30 x 16,Snacks & Branded Foods || Biscuits & Cookies
P0006, tiger Elaichi Cream Biscuits (Britannia),Salted Biscuits,8.5 x 15 x 15,Snacks & Branded Foods || Biscuits & Cookies
P0007,"bounce 	Biscuits - Choco Creme (Sunfeast)",Glucose & Milk Biscuits,2 x 22 x 9.5,Snacks & Branded Foods || Biscuits & Cookies
P0008,50-50 Timepass Biscuits (Britannia),Cream Biscuits & Wafers,5 x 16 x 5,Snacks & Branded Foods || Biscuits & Cookies
P0009,Tiger Chocolate Cream Biscuits (Britannia),Salted Biscuits,5 x 18 x 14,Snacks & Branded Foods || Biscuits & Cookies
P0010,Biscuits - Magix Kreams Choc (Parle),Cream Biscuits & Wafers,2 x 22 x 3,Snacks & Branded Foods || Biscuits & Cookies
P0011,Dreams Cup Cake - Choco (Elite),Cream Biscuits & Wafers,9 x 22 x 15,Snacks & Branded Foods || Biscuits & Cookies
P0012,Layer Cake - Chocolate (Winkies),Muffins & Cup Cakes,10 x 20 x 12.3,"Bakery, Cakes & Dairy || Cakes & Pastries"
P0013,Layer Cake - Orange (Winkies),Tea Cakes & Slice Cakes,7.1 x 27.5 x 13.7,"Bakery, Cakes & Dairy || Cakes & Pastries"
P0014,Sugar Coated Chocolate (Cadbury Gems),Tea Cakes & Slice Cakes,32.5 x 6 x 33,"Bakery, Cakes & Dairy || Cakes & Pastries"
P0015,Cadbury Perk - Chocolate Bar (Cadbury),Chocolates,10 x 33 x 10,Snacks & Branded Foods || Chocolates & Candies
P0016,Polo - The Mint With The Hole (Nestle ),Chocolates,2 x 18 x 8,Snacks & Branded Foods || Chocolates & Candies
P0017,Orbit Sugar-Free Chewing Gum - Lemon & Lime (Wrigleys),"Toffee, Candy & Lollypop",8 x 28 x 8,Snacks & Branded Foods || Chocolates & Candies
P0018,Sugar Free Chewing Gum - Mixed Fruit (Orbit),Mints & Chewing Gum,1 x 14 x 11,Snacks & Branded Foods || Chocolates & Candies
P0019,Chewing Gum - Peppermint (Doublemint),Mints & Chewing Gum,1.5 x 42 x 32,Snacks & Branded Foods || Chocolates & Candies
P0020,"Tomato - Local, Organically Grown (Fresho)",Mints & Chewing Gum,5 x 28 x 16,Snacks & Branded Foods || Chocolates & Candies
P0021,"Tomato - Local, Organically Grown (Fresho)",Organic Vegetables,8 x 26 x 23,Fruits & Vegetables || Fresh Vegetables
P0022,Marie Light Biscuits - Active (Sunfeast),Organic Vegetables,5.7 x 18.6 x 10.1,Fruits & Vegetables || Organic Fruits & Vegetables
P0023,Fulltoss Thai Sriracha (Parle),Breakfast & Snack Mixes,1 x 1 x 1,Snacks & Branded Foods || Ready To Cook & Eat
P0024,Fulltoss Tangy Tomato (Parle),Nachos & Chips,1 x 23 x 16,"Gourmet & World Food || Snacks, Dry Fruits, Nuts"
P0025,Exam Standard Scale (Camlin),Nachos & Chips,33 x 6 x 20,"Gourmet & World Food || Snacks, Dry Fruits, Nuts"
P0026,Dish Shine Bar (Exo),Exam Pads & Pencil Box,4 x 22 x 16,Cleaning & Household || Stationery
P0027,Marigold Flower - Orange (Fresho),Dishwash Bars & Powders,5 x 28 x 16,Cleaning & Household || Detergents & Dishwash
P0028,Tomato - Green (Fresho),Marigold,3.4 x 11.3 x 12,"Fruits & Vegetables || Flower Bouquets, Bunches"
P0029,"Chilli - Green, Organically Grown (Fresho)","Potato, Onion & Tomato",2.5 x 18 x 8,Fruits & Vegetables || Fresh Vegetables
P0030,Ginger - Organically Grown (Fresho),Organic Vegetables,9 x 9 x 37,Fruits & Vegetables || Herbs & Seasonings
P0031,"Chilli - Green, Organically Grown (Fresho)",Organic Vegetables,,Fruits & Vegetables || Herbs & Seasonings
P0032,Ginger - Organically Grown (Fresho),Organic Vegetables,5 x 12 x 4,Fruits & Vegetables || Organic Fruits & Vegetables
P0033,Blue Detergent Bar (Wheel ),Organic Vegetables,5 x 28 x 16,Fruits & Vegetables || Organic Fruits & Vegetables
P0035,"Tomato - Hybrid, Organically Grown (Fresho)",Detergent Bars,3 x 17 x 12.5,Cleaning & Household || Detergents & Dishwash
P0036,"Tomato - Hybrid, Organically Grown (Fresho)",Organic Vegetables,6 x 20 x 10,Fruits & Vegetables || Fresh Vegetables
P0037,Crackers - Cheese & Sugar (Gery Gone Mad),Organic Vegetables,3.5 x 10.5 x 3.5,Fruits & Vegetables || Organic Fruits & Vegetables
P0038,Munch Crisp-Pop Chocolate Coated Crunchy Wafer (Nestle ),Crackers & Digestive,5 x 21.5 x 5,Gourmet & World Food || Chocolates & Biscuits
P0039,Herbal Apple Massage Cream (Olivia),Chocolates,11.5 x 28 x 27,Snacks & Branded Foods || Chocolates & Candies
P0040,Milk Shakti Biscuits - With The Goodness Of Milk (Parle),Body Care,7 x 26.5 x 7,Beauty & Hygiene || Skin Care
P0041,Roll Yo! Strawberry Swiss Roll (Britannia),Glucose & Milk Biscuits,5 x 28 x 16,Snacks & Branded Foods || Biscuits & Cookies
P0042,"Mint - Sugarfree, Fruity Flavour (Center Fresh)",Tea Cakes & Slice Cakes,1 x 16 x 10,"Bakery, Cakes & Dairy || Cakes & Pastries"
P0043,Tomato - Local (Fresho),"Toffee, Candy & Lollypop",3.5 x 23 x 32,Snacks & Branded Foods || Chocolates & Candies
P0044,Mint Leaves (Fresho),"Potato, Onion & Tomato",1 x 10 x 5,Fruits & Vegetables || Fresh Vegetables
P0045,Fruit Salt - Lemon Flavor (Eno ),Leafy Vegetables,3 x 17 x 12.5,Fruits & Vegetables || Fresh Vegetables
P0046,Instant Popcorn - BBQ (4700BC),Everyday Medicine,1.7 x 11.1 x 9.6,Beauty & Hygiene || Health & Medicine
P0047,Instant Popcorn - Butter (4700BC),Gourmet Popcorn,5 x 28 x 16,"Gourmet & World Food || Snacks, Dry Fruits, Nuts"
P0048,Instant Popcorn - Seven Spices (4700BC),Gourmet Popcorn,29.3 x 14.7 x 19.8,"Gourmet & World Food || Snacks, Dry Fruits, Nuts"
P0049,Instant Popcorn - Natural Healthy (4700BC),Gourmet Popcorn,2 x 40 x 10,"Gourmet & World Food || Snacks, Dry Fruits, Nuts"
P0050,Drinking Water With Added Minerals (Kinley),Gourmet Popcorn,6.9 x 6 x 6.9,"Gourmet & World Food || Snacks, Dry Fruits, Nuts"
P0051,50-50 Jeera Masti Biscuits (Britannia),Packaged Water,1.7 x 17.5 x 4.5,Beverages || Water
P0053,Puliogare Masala Powder (Eastern),Salted Biscuits,5 x 40 x 40,Snacks & Branded Foods || Biscuits & Cookies
P0054,Secret Hot & Sour Instant Soup (Chings),Blended Masalas,8.5 x 14.6 x 8.5,"Foodgrains, Oil & Masala || Masalas & Spices"
P0055,Instant Popcorn - Chilly Surprise (ACT II),Soups,2.3 x 18.5 x 13.5,Snacks & Branded Foods || Ready To Cook & Eat
P0056,Salt/Uppu - Iodised (Aashirvaad),Chips & Corn Snacks,12 x 10,Snacks & Branded Foods || Snacks & Namkeen
