ProductID,Product,Category,SalesAmount
P0001,Item 1,Appliances,16795
P0002,Item 2,Electronics,1860
P0003,Item 3,Electronics,39158
P0004,Item 4,Appliances,45732
P0005,Item 5,Clothing,12284
P0006,Item 6,Furniture,7265
P0007,Item 7,Furniture,17850
P0008,Item 8,Furniture,38194
P0009,Item 9,Appliances,22962
P0010,Item 10,Electronics,48191
P0011,Item 11,Appliances,45131
P0012,Item 12,Appliances,17023
P0013,Item 13,Toys,42090
P0014,Item 14,Electronics,2685
P0015,Item 15,Toys,1769
P0016,Item 16,Books,3433
P0017,Item 17,Electronics,6311
P0018,Item 18,Electronics,38819
P0019,Item 19,Electronics,40188
P0020,Item 20,Furniture,18568
P0021,Item 21,Furniture,20769
P0022,Item 22,Toys,29693
P0023,Item 23,Toys,7396
P0024,Item 24,Electronics,28480
P0025,Item 25,Toys,42434
P0026,Item 26,Furniture,26658
P0027,Item 27,Appliances,19942
P0028,Item 28,Appliances,19431
P0029,Item 29,Appliances,3747
P0030,Item 30,Toys,1189
P0031,Item 31,Books,20118
P0032,Item 32,Furniture,36773
P0033,Item 33,Books,2899
P0034,Item 34,Toys,2267
P0035,Item 35,Clothing,32551
P0036,Item 36,Sports,12394
P0037,Item 37,Sports,4556
P0038,Item 38,Electronics,4890
P0039,Item 39,Sports,42606
P0040,Item 40,Sports,31740
P0041,Item 41,Furniture,15502
P0042,Item 42,Appliances,22777
P0043,Item 43,Books,11627
P0044,Item 44,Clothing,9792
P0045,Item 45,Clothing,44323
P0046,Item 46,Furniture,44021
P0047,Item 47,Furniture,9433
P0048,Item 48,Sports,44001
P0049,Item 49,Clothing,12016
P0050,Item 50,Electronics,24897
P0051,Item 51,Electronics,3612
P0052,Item 52,Books,24483
P0053,Item 53,Electronics,49555
P0054,Item 54,Clothing,18159
P0055,Item 55,Sports,45974
P0056,Item 56,Clothing,41994
P0057,Item 57,Toys,15541
P0058,Item 58,Clothing,36920
P0059,Item 59,Sports,27531
P0060,Item 60,Electronics,2585
P0061,Item 61,Appliances,4943
P0062,Item 62,Books,24939
P0063,Item 63,Toys,20457
P0064,Item 64,Electronics,2021
P0065,Item 65,Books,12653
P0066,Item 66,Electronics,44573
P0067,Item 67,Toys,14417
P0068,Item 68,Clothing,41757
P0069,Item 69,Sports,10692
P0070,Item 70,Appliances,46758
P0071,Item 71,Toys,7873
P0072,Item 72,Sports,6675
P0073,Item 73,Clothing,1161
P0074,Item 74,Toys,38065
P0075,Item 75,Furniture,27557
P0076,Item 76,Appliances,34763
P0077,Item 77,Electronics,33606
P0078,Item 78,Electronics,12534
P0079,Item 79,Appliances,30127
P0080,Item 80,Furniture,41397
P0081,Item 81,Sports,26851
P0082,Item 82,Clothing,2016
