SalesID,OrderDate,Product,Category,Quantity,SalesAmount,Region
1,2023-02-22,TV,Electronics,1,1275,North
2,2024-01-10,Table,Furniture,4,447,West
3,2023-01-17,TV,Electronics,1,1387,East
4,2024-03-06,Laptop,Electronics,3,1052,South
5,2023-04-15,Table,Furniture,1,327,East
6,2023-09-13,Chair,Furniture,1,491,West
7,2024-04-08,Table,Furniture,1,413,East
8,2023-05-02,Phone,Electronics,1,738,South
9,2024-05-04,Laptop,Electronics,4,1099,South
10,2023-06-06,Sofa,Furniture,5,951,South
11,2024-01-02,Sofa,Furniture,1,944,South
12,2024-02-05,TV,Electronics,4,1290,West
13,2024-05-07,Chair,Furniture,3,275,West
14,2023-08-01,Phone,Electronics,4,984,West
15,2023-04-07,Chair,Furniture,5,351,West
16,2023-07-25,Laptop,Electronics,5,1007,East
17,2023-04-27,Table,Furniture,5,545,North
18,2023-12-25,Sofa,Furniture,4,702,South
19,2024-05-25,Sofa,Furniture,4,853,West
20,2024-05-23,TV,Electronics,2,1285,East
21,2024-05-18,Phone,Electronics,4,699,South
22,2023-04-30,Chair,Furniture,4,472,South
23,2023-09-04,Chair,Furniture,3,243,South
24,2023-06-10,Phone,Electronics,1,677,North
25,2024-03-28,Laptop,Electronics,2,1069,East
26,2023-06-05,Laptop,Electronics,1,1289,South
27,2023-10-24,Phone,Electronics,2,1081,North
28,2023-06-29,TV,Electronics,5,1146,West
29,2023-02-24,Chair,Furniture,5,361,East
30,2023-01-17,Laptop,Electronics,3,1344,South
31,2023-12-26,Phone,Electronics,1,1114,South
32,2023-08-17,Sofa,Furniture,3,961,East
33,2023-04-19,Phone,Electronics,3,635,East
34,2023-01-03,Table,Furniture,2,423,North
35,2023-06-28,Chair,Furniture,1,413,East
36,2023-05-02,Sofa,Furniture,3,909,West
37,2023-07-04,Chair,Furniture,3,375,East
38,2023-02-21,TV,Electronics,1,968,East
39,2024-01-24,Laptop,Electronics,1,1028,North
40,2024-03-26,Table,Furniture,2,373,East
41,2023-03-29,Table,Furniture,2,323,East
42,2023-01-06,Table,Furniture,4,418,South
43,2024-04-19,Sofa,Furniture,3,787,West
44,2023-04-18,Sofa,Furniture,3,974,North
45,2023-10-25,Sofa,Furniture,4,792,South
46,2023-12-25,Phone,Electronics,5,791,East
47,2024-03-23,TV,Electronics,5,1387,South
48,2023-11-12,Phone,Electronics,4,1198,West
49,2024-03-31,Sofa,Furniture,2,912,East
50,2023-07-20,Table,Furniture,3,394,East
51,2024-03-11,Phone,Electronics,5,981,West
52,2023-07-07,Sofa,Furniture,4,723,East
53,2023-05-02,Phone,Electronics,2,733,North
54,2024-05-16,Chair,Furniture,2,292,North
55,2024-02-21,Phone,Electronics,3,858,West
56,2024-03-13,Sofa,Furniture,5,879,North
57,2024-05-13,Table,Furniture,1,582,East
58,2023-01-07,TV,Electronics,4,1385,South
59,2024-06-03,Sofa,Furniture,5,789,South
60,2023-08-05,Table,Furniture,1,576,South
61,2023-03-31,Chair,Furniture,4,431,South
62,2023-11-10,Sofa,Furniture,3,763,South
63,2023-11-10,Laptop,Electronics,4,1224,South
64,2023-02-26,Table,Furniture,1,301,North
65,2023-10-03,Laptop,Electronics,5,1293,North
66,2023-06-26,Phone,Electronics,4,991,North
67,2024-05-24,Chair,Furniture,4,447,West
68,2023-12-17,Sofa,Furniture,1,987,North
69,2023-07-02,Sofa,Furniture,5,971,West
70,2023-10-23,Phone,Electronics,5,787,South
71,2023-10-01,TV,Electronics,5,1107,North
72,2024-01-04,Laptop,Electronics,5,1002,West
73,2023-10-28,Table,Furniture,2,324,East
74,2024-01-30,Laptop,Electronics,3,1428,East
75,2024-04-16,Table,Furniture,4,317,North
76,2023-03-07,Phone,Electronics,3,1000,West
77,2023-09-06,Sofa,Furniture,1,793,West
78,2023-01-02,Laptop,Electronics,4,1197,West
79,2024-02-15,Sofa,Furniture,5,883,North
80,2023-08-17,Laptop,Electronics,5,1314,North
81,2023-11-29,Chair,Furniture,5,418,North
82,2023-02-08,Sofa,Furniture,2,883,South
83,2024-05-15,Table,Furniture,2,312,South
84,2023-01-29,Phone,Electronics,4,1032,North
85,2023-02-22,Chair,Furniture,2,500,South
86,2023-04-02,Phone,Electronics,2,878,East
87,2023-05-31,Laptop,Electronics,3,1350,West
88,2023-12-05,Sofa,Furniture,2,868,East
89,2024-04-16,Laptop,Electronics,3,1217,South
90,2023-10-29,Phone,Electronics,5,676,South
91,2024-02-01,Chair,Furniture,3,223,West
92,2023-07-07,Chair,Furniture,4,214,East
93,2024-01-07,Sofa,Furniture,4,954,South
94,2024-04-01,Phone,Electronics,5,674,South
95,2024-02-23,Sofa,Furniture,4,752,East
96,2023-07-24,TV,Electronics,4,1351,South
97,2023-07-13,Phone,Electronics,2,877,West
98,2024-05-20,Laptop,Electronics,1,1078,South
99,2023-11-25,Chair,Furniture,1,312,North
100,2023-05-21,Phone,Electronics,4,761,North
