date,cy_date,year,month_name,date_yy_mmm
01-06-2017,01-06-2017,2017,June,"17-Jun"
02-06-2017,01-06-2017,2017,June,"17-Jun"
03-06-2017,01-06-2017,2017,June,"17-Jun"
04-06-2017,01-06-2017,2017,June,"17-Jun"
05-06-2017,01-06-2017,2017,June,"17-Jun"
06-06-2017,01-06-2017,2017,June,"17-Jun"
07-06-2017,01-06-2017,2017,June,"17-Jun"
08-06-2017,01-06-2017,2017,June,"17-Jun"
09-06-2017,01-06-2017,2017,June,"17-Jun"
10-06-2017,01-06-2017,2017,June,"17-Jun"
11-06-2017,01-06-2017,2017,June,"17-Jun"
12-06-2017,01-06-2017,2017,June,"17-Jun"
13-06-2017,01-06-2017,2017,June,"17-Jun"
14-06-2017,01-06-2017,2017,June,"17-Jun"
15-06-2017,01-06-2017,2017,June,"17-Jun"
16-06-2017,01-06-2017,2017,June,"17-Jun"
17-06-2017,01-06-2017,2017,June,"17-Jun"
18-06-2017,01-06-2017,2017,June,"17-Jun"
19-06-2017,01-06-2017,2017,June,"17-Jun"
20-06-2017,01-06-2017,2017,June,"17-Jun"
21-06-2017,01-06-2017,2017,June,"17-Jun"
22-06-2017,01-06-2017,2017,June,"17-Jun"
23-06-2017,01-06-2017,2017,June,"17-Jun"
24-06-2017,01-06-2017,2017,June,"17-Jun"
25-06-2017,01-06-2017,2017,June,"17-Jun"
26-06-2017,01-06-2017,2017,June,"17-Jun"
27-06-2017,01-06-2017,2017,June,"17-Jun"
28-06-2017,01-06-2017,2017,June,"17-Jun"
29-06-2017,01-06-2017,2017,June,"17-Jun"
30-06-2017,01-06-2017,2017,June,"17-Jun"
01-07-2017,01-07-2017,2017,July,"17-Jul"
02-07-2017,01-07-2017,2017,July,"17-Jul"
03-07-2017,01-07-2017,2017,July,"17-Jul"
04-07-2017,01-07-2017,2017,July,"17-Jul"
05-07-2017,01-07-2017,2017,July,"17-Jul"
06-07-2017,01-07-2017,2017,July,"17-Jul"
07-07-2017,01-07-2017,2017,July,"17-Jul"
