product_code,product_type
Prod001,"Own Brand"
Prod002,"Own Brand"
Prod003,"Own Brand"
Prod004,"Own Brand"
Prod005,"Own Brand"
Prod006,"Own Brand"
Prod007,"Own Brand"
Prod008,"Own Brand"
Prod009,"Own Brand"
Prod010,"Own Brand"
Prod011,"Own Brand"
Prod012,"Own Brand"
Prod013,"Own Brand"
Prod014,"Own Brand"
Prod015,"Own Brand"
Prod016,"Own Brand"
Prod017,"Own Brand"
Prod018,"Own Brand"
Prod019,"Own Brand"
Prod020,"Own Brand"
Prod021,"Own Brand"
Prod022,"Distribution"
Prod023,"Distribution"
Prod024,"Distribution"
Prod025,"Distribution"
Prod026,"Distribution"
Prod027,"Distribution"
Prod028,"Distribution"
Prod029,"Distribution"
Prod030,"Distribution"
Prod031,"Distribution"
Prod032,"Distribution"
Prod033,"Distribution"
Prod034,"Own Brand"
Prod035,"Own Brand"
Prod036,"Own Brand"
Prod037,"Own Brand"
Prod038,"Own Brand"
Prod039,"Own Brand"
Prod040,"Own Brand"
Prod041,"Own Brand"
Prod042,"Own Brand"
Prod043,"Own Brand"
Prod044,"Own Brand"
Prod045,"Own Brand"
Prod046,"Own Brand"
Prod047,"Own Brand"
Prod048,"Own Brand"
Prod049,"Own Brand"
Prod050,"Own Brand"
Prod051,"Own Brand"
Prod052,"Own Brand"
Prod053,"Own Brand"
Prod054,"Own Brand"
Prod055,"Own Brand"
Prod056,"Own Brand"
Prod057,"Own Brand"
Prod058,"Own Brand"
Prod059,"Own Brand"
Prod060,"Own Brand"
Prod061,"Own Brand"
Prod062,"Own Brand"
Prod063,"Own Brand"
Prod064,"Own Brand"
Prod065,"Own Brand"
Prod066,"Distribution"
Prod067,"Distribution"
Prod068,"Distribution"
Prod069,"Distribution"
Prod070,"Distribution"
Prod071,"Distribution"
Prod072,"Distribution"
Prod073,"Distribution"
Prod074,"Distribution"
Prod075,"Distribution"
Prod076,"Distribution"
Prod077,"Distribution"
Prod078,"Own Brand"
Prod079,"Own Brand"
Prod080,"Own Brand"
Prod081,"Own Brand"
Prod082,"Own Brand"
Prod083,"Own Brand"
Prod084,"Own Brand"
Prod085,"Own Brand"
Prod086,"Own Brand"
Prod087,"Own Brand"
Prod088,"Own Brand"
Prod089,"Own Brand"
Prod090,"Own Brand"
Prod091,"Own Brand"
Prod092,"Own Brand"
Prod093,"Own Brand"
Prod094,"Own Brand"
Prod095,"Own Brand"
Prod096,"Own Brand"
Prod097,"Own Brand"
Prod098,"Own Brand"
Prod099,"Own Brand"
Prod100,"Own Brand"
Prod101,"Own Brand"
Prod102,"Own Brand"
Prod103,"Own Brand"
Prod104,"Own Brand"
Prod105,"Own Brand"
Prod106,"Own Brand"
Prod107,"Own Brand"
Prod108,"Own Brand"
Prod109,"Own Brand"
Prod110,"Distribution"
Prod111,"Distribution"
Prod112,"Distribution"
Prod113,"Distribution"
Prod114,"Distribution"
Prod115,"Distribution"
Prod116,"Distribution"
Prod117,"Distribution"
Prod118,"Distribution"
Prod119,"Distribution"
Prod120,"Distribution"
Prod121,"Distribution"
Prod122,"Own Brand"
Prod123,"Own Brand"
Prod124,"Own Brand"
Prod125,"Own Brand"
Prod126,"Own Brand"
Prod127,"Own Brand"
Prod128,"Distribution"
Prod129,"Distribution"
Prod130,"Distribution"
Prod131,"Distribution"
Prod132,"Distribution"
Prod133,"Own Brand"
Prod134,"Own Brand"
Prod135,"Own Brand"
Prod136,"Own Brand"
Prod137,"Own Brand"
Prod138,"Own Brand"
Prod139,"Own Brand"
Prod140,"Own Brand"
Prod141,"Own Brand"
Prod142,"Own Brand"
Prod143,"Distribution"
Prod144,"Distribution"
Prod145,"Distribution"
Prod146,"Distribution"
Prod147,"Distribution"
Prod148,"Own Brand"
Prod149,"Own Brand"
Prod150,"Own Brand"
Prod151,"Own Brand"
Prod152,"Own Brand"
Prod153,"Own Brand"
Prod154,"Own Brand"
Prod155,"Own Brand"
Prod156,"Own Brand"
Prod157,"Own Brand"
Prod158,"Distribution"
Prod159,"Distribution"
Prod160,"Distribution"
Prod161,"Distribution"
Prod162,"Distribution"
Prod163,"Own Brand"
Prod164,"Own Brand"
Prod165,"Own Brand"
Prod166,"Own Brand"
Prod167,"Own Brand"
Prod168,"Own Brand"
Prod169,"Own Brand"
Prod170,"Own Brand"
Prod171,"Own Brand"
Prod172,"Own Brand"
Prod173,"Distribution"
Prod174,"Distribution"
Prod175,"Distribution"
Prod176,"Distribution"
Prod177,"Distribution"
Prod178,"Own Brand"
Prod179,"Own Brand"
Prod180,"Own Brand"
Prod181,"Own Brand"
Prod182,"Own Brand"
Prod183,"Own Brand"
Prod184,"Own Brand"
Prod185,"Own Brand"
Prod186,"Own Brand"
Prod187,"Own Brand"
Prod188,"Distribution"
Prod189,"Distribution"
Prod190,"Distribution"
Prod191,"Distribution"
Prod192,"Distribution"
Prod193,"Own Brand"
Prod194,"Own Brand"
Prod195,"Own Brand"
Prod196,"Own Brand"
Prod197,"Own Brand"
Prod198,"Own Brand"
Prod199,"Own Brand"
Prod200,"Own Brand"
Prod201,"Own Brand"
Prod202,"Own Brand"
Prod203,"Distribution"
Prod204,"Distribution"
Prod205,"Distribution"
Prod206,"Distribution"
Prod207,"Distribution"
Prod208,"Own Brand"
Prod209,"Own Brand"
Prod210,"Own Brand"
