order_id,delivery_partner_id,promised_time,actual_time,delivery_time_minutes,distance_km,delivery_status,reasons_if_delayed
1961864118,63230,2024-07-17 08:52:01,2024-07-17 08:47:01,-5.0,0.96,On Time,
1549769649,14983,2024-05-28 13:25:29,2024-05-28 13:27:29,2.0,0.98,On Time,Traffic
9185164487,39859,2024-09-23 13:25:12,2024-09-23 13:29:12,4.0,3.83,On Time,Traffic
9644738826,61497,2023-11-24 16:34:56,2023-11-24 16:33:56,-1.0,2.76,On Time,
5427684290,84315,2023-11-20 05:17:39,2023-11-20 05:18:39,1.0,2.63,On Time,Traffic
3265154092,554,2023-03-18 16:49:51,2023-03-18 16:48:51,-1.0,1.94,On Time,
4898355547,14630,2023-04-16 19:01:37,2023-04-16 19:02:37,1.0,2.2,On Time,Traffic
6568151549,67714,2024-03-31 06:37:48,2024-03-31 06:39:48,2.0,1.3,On Time,Traffic
6006693867,91362,2023-07-14 00:02:36,2023-07-14 00:05:36,3.0,3.38,On Time,Traffic
374186990,77203,2023-08-09 01:37:30,2023-08-09 01:44:30,7.0,1.47,Slightly Delayed,Traffic
4455336265,64046,2023-08-30 19:47:06,2023-08-30 19:45:06,-2.0,0.76,On Time,
3539286337,94899,2023-04-25 20:44:24,2023-04-25 20:39:24,-5.0,3.68,On Time,
9171116867,73907,2023-10-22 11:25:33,2023-10-22 11:37:33,12.0,2.23,Slightly Delayed,Traffic
5504941865,56077,2024-01-28 02:55:11,2024-01-28 03:06:11,11.0,4.45,Slightly Delayed,Traffic
5868326481,94140,2024-03-15 21:24:07,2024-03-15 21:21:07,-3.0,2.8,On Time,
2137046916,12377,2024-02-03 09:03:32,2024-02-03 09:01:32,-2.0,1.78,On Time,
8195544338,102,2023-04-26 04:20:57,2023-04-26 04:28:57,8.0,1.16,Slightly Delayed,Traffic
2889700050,45032,2024-04-30 16:33:26,2024-04-30 16:36:26,3.0,3.07,On Time,Traffic
65827885,1108,2023-07-27 00:25:05,2023-07-27 00:20:05,-5.0,1.65,On Time,
4656471694,62782,2023-12-09 08:27:08,2023-12-09 08:35:08,8.0,3.7,Slightly Delayed,Traffic
6625178717,74906,2023-07-01 04:40:22,2023-07-01 04:53:22,13.0,4.22,Slightly Delayed,Traffic
7169557514,79516,2023-03-21 05:38:13,2023-03-21 05:50:13,12.0,3.28,Slightly Delayed,Traffic
2268306684,65733,2024-05-28 15:11:08,2024-05-28 15:10:08,-1.0,1.82,On Time,
6905293278,53868,2024-06-16 10:36:23,2024-06-16 11:02:23,26.0,0.58,Significantly Delayed,Traffic
1769493463,22954,2024-06-26 07:29:47,2024-06-26 07:24:47,-5.0,1.21,On Time,
5003387344,21004,2024-06-23 11:05:47,2024-06-23 11:00:47,-5.0,4.52,On Time,
2064484752,43022,2024-05-07 23:00:49,2024-05-07 22:55:49,-5.0,2.29,On Time,
964822979,42914,2024-07-13 10:49:00,2024-07-13 10:47:00,-2.0,1.09,On Time,
6037899648,59131,2024-03-27 18:00:43,2024-03-27 18:04:43,4.0,4.56,On Time,Traffic
9347571484,88612,2024-11-02 17:26:15,2024-11-02 17:39:15,13.0,3.29,Slightly Delayed,Traffic
3286177534,90038,2023-06-25 00:09:15,2023-06-25 00:07:15,-2.0,3.07,On Time,
9073572548,28575,2023-05-02 23:25:42,2023-05-02 23:47:42,22.0,4.77,Significantly Delayed,Traffic
8395583761,84816,2024-08-04 23:53:44,2024-08-04 23:48:44,-5.0,3.53,On Time,
6355378227,23910,2023-08-11 17:06:36,2023-08-11 17:05:36,-1.0,3.91,On Time,
277376321,78589,2024-07-28 04:45:12,2024-07-28 04:44:12,-1.0,3.85,On Time,
