feedback_id,order_id,customer_id,rating,feedback_text,feedback_category,sentiment,feedback_date
2234710,1961864118,30065862,4,"It was okay, nothing special.",Delivery,Neutral,2024-07-17
5450964,1549769649,9573071,3,The order was incorrect.,App Experience,Negative,2024-05-28
482108,9185164487,45477575,3,"It was okay, nothing special.",App Experience,Neutral,2024-09-23
4823104,9644738826,88067569,4,The product met my expectations.,App Experience,Neutral,2023-11-24
3537464,5427684290,83298567,3,Product was damaged during delivery.,Delivery,Negative,2023-11-20
4089724,3265154092,43367112,2,Product was damaged during delivery.,Customer Service,Negative,2023-03-18
230696,4898355547,13284996,4,Highly recommended!,Product Quality,Positive,2023-04-16
2259308,6568151549,88866835,2,I had a bad experience.,App Experience,Negative,2024-03-31
7380970,6006693867,24496983,3,Product was damaged during delivery.,Delivery,Negative,2023-07-14
2257242,374186990,52215833,3,The product met my expectations.,App Experience,Neutral,2023-08-09
1837573,4455336265,43431724,2,Taste was not as expected.,Delivery,Negative,2023-08-30
258023,3539286337,77559557,3,"Delivery was fine, but the product could be better.",Delivery,Neutral,2023-04-25
3081099,9171116867,87107263,4,The product met my expectations.,Customer Service,Neutral,2023-10-22
3158837,5504941865,76512976,5,Highly recommended!,App Experience,Positive,2024-01-28
9465932,5868326481,37556526,4,"Nothing to complain about, but nothing exceptional.",Product Quality,Neutral,2024-03-15
8111644,2137046916,12059049,4,"Overall good experience, thank you!",Customer Service,Positive,2024-02-03
121425,8195544338,26199489,4,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral,2023-04-26
8267419,2889700050,84848018,4,"Average experience, could improve.",Delivery,Neutral,2024-04-30
7168244,65827885,47577193,1,Product was damaged during delivery.,Delivery,Negative,2023-07-27
2482108,4656471694,60728956,3,Not worth the price I paid.,Customer Service,Negative,2023-12-09
3769939,6625178717,62068277,2,Items were missing from my order.,Product Quality,Negative,2023-07-01
9592296,7169557514,84824280,2,Customer service was not helpful.,Product Quality,Negative,2023-03-21
1592958,2268306684,66742602,5,"Overall good experience, thank you!",Delivery,Positive,2024-05-28
2088819,6905293278,97259564,3,"It was okay, nothing special.",Delivery,Neutral,2024-06-16
3567003,1769493463,3292927,2,I had a bad experience.,App Experience,Negative,2024-06-26
2903160,5003387344,26592009,4,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral,2024-06-23
7511717,2064484752,89995124,3,The product met my expectations.,Customer Service,Neutral,2024-05-07
1055307,964822979,88520326,3,Delivery was late and I was unhappy.,Product Quality,Negative,2024-07-13
1477592,6037899648,22738465,3,"Delivery was fine, but the product could be better.",Product Quality,Neutral,2024-03-27
7898352,9347571484,29562072,3,I had a bad experience.,Product Quality,Negative,2024-11-02
8804364,3286177534,10225164,3,The product met my expectations.,Delivery,Neutral,2023-06-25
1208337,9073572548,97111069,4,The product met my expectations.,Customer Service,Neutral,2023-05-02
4382390,8395583761,1989720,4,Great prices and fast delivery!,App Experience,Positive,2024-08-04
4858018,6355378227,67092149,4,"Overall good experience, thank you!",Customer Service,Positive,2023-08-11
2400571,277376321,89784343,4,Great prices and fast delivery!,App Experience,Positive,2024-07-28
3093140,8559748526,45868300,4,"Average experience, could improve.",App Experience,Neutral,2023-04-05
9407783,1458051433,50760752,4,The product met my expectations.,App Experience,Neutral,2024-04-26
1180902,5838302640,96795047,4,"It was okay, nothing special.",App Experience,Neutral,2023-05-12
6888502,1380971977,16561710,3,"Delivery was fine, but the product could be better.",Product Quality,Neutral,2024-06-02
8679241,1221099013,35156679,4,"Nothing to complain about, but nothing exceptional.",Customer Service,Neutral,2023-07-23
7512781,6771166303,87718744,3,The order was incorrect.,Product Quality,Negative,2023-07-24
5356601,7111337755,10524732,4,"Average experience, could improve.",Customer Service,Neutral,2023-05-06
9043273,5562922993,62416456,4,"Nothing to complain about, but nothing exceptional.",Product Quality,Neutral,2023-12-06
3470106,5630957897,69925688,4,"Delivery was fine, but the product could be better.",Delivery,Neutral,2024-06-18
5957700,1787380558,5140660,4,"Nothing to complain about, but nothing exceptional.",App Experience,Neutral,2023-11-08
8956798,32613017,82594354,5,"Excellent quality, will buy again!",Delivery,Positive,2023-03-17
4843776,2039041670,88324928,4,"Average experience, could improve.",Product Quality,Neutral,2024-11-01
8241448,210693801,71235336,3,Product was damaged during delivery.,Customer Service,Negative,2024-08-21
1664531,8120002258,57833505,3,"Nothing to complain about, but nothing exceptional.",Delivery,Neutral,2024-01-01
4940244,2177917034,12402437,5,Will definitely order again.,App Experience,Positive,2024-02-08
7165598,4254814926,59890331,3,The packaging was poor.,App Experience,Negative,2024-04-21
4424806,6074172790,14944819,4,Good selection of products.,Customer Service,Positive,2023-07-26
