campaign_id,campaign_name,date,target_audience,channel,impressions,clicks,conversions,spend,revenue_generated,roas
548299,New User Discount,2024-11-05,Premium,App,3130,163,78,1431.85,4777.75,3.6
390914,Weekend Special,2024-11-05,Inactive,App,3925,494,45,4506.34,6238.11,2.98
834385,Festival Offer,2024-11-05,Inactive,Email,7012,370,78,4524.23,2621.0,2.95
241523,Flash Sale,2024-11-05,Inactive,SMS,1115,579,86,3622.79,2955.0,2.84
595111,Membership Drive,2024-11-05,New Users,Email,7172,795,54,2888.99,8951.81,2.22
176344,Category Promotion,2024-11-05,Inactive,App,4333,421,40,2714.78,6697.88,3.89
875646,App Push Notification,2024-11-05,Premium,Email,4752,937,21,3584.76,9152.99,2.14
5516,Email Campaign,2024-11-05,Premium,Social Media,1559,418,68,1457.88,2156.09,3.92
989534,Referral Program,2024-11-05,New Users,SMS,3838,911,45,4808.64,8074.17,1.7
243346,New User Discount,2024-11-04,Inactive,SMS,6289,834,14,3746.35,4474.02,2.56
775791,Weekend Special,2024-11-04,Inactive,App,1068,496,87,1043.7,9535.85,3.15
178345,Festival Offer,2024-11-04,Inactive,Social Media,4229,914,84,1370.63,3521.16,1.65
60966,Flash Sale,2024-11-04,Inactive,App,2712,161,89,4870.23,2626.78,2.03
209071,Membership Drive,2024-11-04,New Users,Social Media,9365,753,53,3817.01,7072.56,1.55
712164,Category Promotion,2024-11-04,All,App,4813,321,88,2512.51,6494.09,2.55
301304,App Push Notification,2024-11-04,Inactive,Social Media,8840,466,24,1776.92,5356.59,3.17
755362,Email Campaign,2024-11-04,Inactive,App,7409,949,99,1599.21,7907.75,1.93
362255,Referral Program,2024-11-04,Premium,SMS,1997,599,92,3328.47,2278.39,3.09
538453,New User Discount,2024-11-03,New Users,Social Media,9594,692,58,3712.46,2591.79,3.01
146888,Weekend Special,2024-11-03,New Users,Email,8974,799,64,4907.38,9623.97,2.36
36202,Festival Offer,2024-11-03,New Users,Email,7102,858,53,1454.23,8523.27,2.87
232494,Flash Sale,2024-11-03,All,Social Media,9487,109,54,1364.19,5855.87,1.61
757108,Membership Drive,2024-11-03,Inactive,Email,5922,258,41,1815.23,9798.33,2.73
294530,Category Promotion,2024-11-03,All,App,4630,860,76,4337.91,3326.76,1.86
627085,App Push Notification,2024-11-03,All,Email,6291,130,66,4644.01,2649.48,3.23
954798,Email Campaign,2024-11-03,All,Email,6347,737,100,2352.91,5816.29,3.0
675313,Referral Program,2024-11-03,New Users,Email,2465,560,60,4857.36,2528.08,1.62
588949,New User Discount,2024-11-02,Premium,App,7171,211,22,3120.88,8989.36,3.51
137874,Weekend Special,2024-11-02,All,App,6082,497,59,1897.04,3654.1,1.95
674904,Festival Offer,2024-11-02,New Users,Social Media,3297,613,19,3819.45,2007.51,3.75
783220,Flash Sale,2024-11-02,Inactive,App,5550,633,12,1947.14,3460.9,2.75
877083,Membership Drive,2024-11-02,Premium,SMS,3446,155,51,3415.84,8018.45,3.18
228966,Category Promotion,2024-11-02,Premium,SMS,8998,632,55,4905.7,8801.61,3.79
531307,App Push Notification,2024-11-02,All,App,7562,975,73,2298.76,7097.94,1.8
51098,Email Campaign,2024-11-02,New Users,SMS,1423,802,40,1818.73,4672.26,3.83
501568,Referral Program,2024-11-02,Premium,Email,7215,508,25,2202.62,3845.1,1.84
703072,New User Discount,2024-11-01,All,App,4360,724,38,1905.02,4231.84,3.01
978279,Weekend Special,2024-11-01,All,Email,9713,686,94,2062.29,9160.3,3.06
350042,Festival Offer,2024-11-01,All,Email,5538,362,51,2486.88,9687.96,2.2
675128,Flash Sale,2024-11-01,New Users,App,8141,828,37,4123.86,3539.73,2.47
439725,Membership Drive,2024-11-01,Inactive,SMS,4249,945,87,1330.62,3115.55,3.59
39545,Category Promotion,2024-11-01,All,SMS,1489,317,95,2527.82,9966.89,3.03
473315,App Push Notification,2024-11-01,New Users,Email,5817,987,53,4371.4,5119.87,2.07
789925,Email Campaign,2024-11-01,Inactive,Email,9893,751,88,3569.0,6649.77,2.23
249657,Referral Program,2024-11-01,All,Email,6898,977,15,4874.26,3343.94,2.82
795261,New User Discount,2024-10-31,New Users,Email,7876,977,73,1813.53,6438.12,3.73
601445,Weekend Special,2024-10-31,Inactive,SMS,5624,386,70,3572.92,5202.67,1.96
830587,Festival Offer,2024-10-31,Inactive,App,1081,662,47,2001.9,3301.92,3.52
706750,Flash Sale,2024-10-31,Premium,App,4511,338,27,1645.66,2073.23,2.57
584256,Membership Drive,2024-10-31,Inactive,SMS,1810,750,44,1279.23,5722.42,2.73
886076,Category Promotion,2024-10-31,Premium,SMS,3930,591,25,4678.74,5102.75,1.78
855895,App Push Notification,2024-10-31,Premium,Email,8796,873,86,2339.85,3999.7,2.98
514715,Email Campaign,2024-10-31,New Users,App,2341,369,38,2721.86,2480.73,3.48
741376,Referral Program,2024-10-31,Premium,Email,9694,799,32,3162.72,8424.83,2.48
347837,New User Discount,2024-10-30,All,Email,8433,551,97,2510.51,7701.36,3.8
358482,Weekend Special,2024-10-30,New Users,App,4788,628,76,2603.2,2979.58,3.95
510301,Festival Offer,2024-10-30,All,App,5744,207,47,1966.98,3566.39,2.67
258760,Flash Sale,2024-10-30,New Users,App,4130,779,89,1741.85,5487.39,1.56
678723,Membership Drive,2024-10-30,Inactive,SMS,7316,950,54,1650.8,5407.95,2.13
490727,Category Promotion,2024-10-30,Premium,SMS,7583,501,30,4937.7,8031.55,1.93
378426,App Push Notification,2024-10-30,Premium,App,2155,719,70,2233.21,6322.5,3.82
158279,Email Campaign,2024-10-30,New Users,Email,3245,443,30,1970.09,8773.38,3.74
57394,Referral Program,2024-10-30,All,App,3328,377,75,3212.25,3778.57,1.74
633088,New User Discount,2024-10-29,Premium,Email,3832,930,26,2133.42,3655.75,2.51
827451,Weekend Special,2024-10-29,All,SMS,6494,422,30,2744.72,4665.13,3.49
221166,Festival Offer,2024-10-29,New Users,Email,2851,712,99,1415.72,7808.19,3.09
581436,Flash Sale,2024-10-29,Premium,App,2489,543,54,1101.24,8701.2,3.65
399972,Membership Drive,2024-10-29,All,Email,5187,741,58,1185.35,2169.17,3.73
467912,Category Promotion,2024-10-29,All,SMS,3949,486,87,4568.63,9613.16,1.87
928724,App Push Notification,2024-10-29,New Users,Email,8668,660,36,3904.68,2757.27,3.05
639165,Email Campaign,2024-10-29,Inactive,SMS,1771,226,98,2154.4,8055.52,1.74
270413,Referral Program,2024-10-29,All,Email,1377,278,43,2165.16,4371.9,3.85
652845,New User Discount,2024-10-28,All,SMS,4258,162,45,2098.74,8237.05,2.49
159675,Weekend Special,2024-10-28,Inactive,Email,2239,183,85,1183.89,9661.81,3.17
89176,Festival Offer,2024-10-28,All,SMS,1666,508,20,3586.46,3395.18,3.25
294030,Flash Sale,2024-10-28,Inactive,App,1679,965,57,1452.05,6109.1,3.05
448860,Membership Drive,2024-10-28,New Users,Email,2775,396,33,4290.98,8723.84,2.1
618403,Category Promotion,2024-10-28,Inactive,App,1153,198,99,3455.94,4935.65,1.84
795975,App Push Notification,2024-10-28,Inactive,SMS,6100,642,66,3409.53,9276.19,2.56
453312,Email Campaign,2024-10-28,New Users,App,1618,301,32,3165.37,7731.79,2.61
468423,Referral Program,2024-10-28,New Users,Email,1927,298,96,2617.58,9553.44,3.03
359366,New User Discount,2024-10-27,All,Email,1685,999,46,1055.61,4223.44,1.55
69903,Weekend Special,2024-10-27,Inactive,App,1085,706,41,4118.41,3837.05,2.72
613932,Festival Offer,2024-10-27,Premium,App,4726,709,59,3577.71,3104.01,1.94
992886,Flash Sale,2024-10-27,Premium,Email,9194,537,42,2925.63,3760.51,1.66
380809,Membership Drive,2024-10-27,Inactive,Email,3122,496,84,2365.57,2572.69,3.47
509178,Category Promotion,2024-10-27,Premium,Social Media,6487,644,48,3457.17,2472.34,1.62
794495,App Push Notification,2024-10-27,New Users,App,3049,634,58,2093.96,7406.66,2.9
880379,Email Campaign,2024-10-27,All,App,2399,335,41,4785.81,9369.74,2.39
561555,Referral Program,2024-10-27,All,Social Media,4881,102,89,4549.44,8205.53,1.93
530223,New User Discount,2024-10-26,Inactive,App,8865,176,27,1137.88,6799.15,2.54
495008,Weekend Special,2024-10-26,Premium,SMS,7698,120,100,4992.5,3353.4,2.3
565307,Festival Offer,2024-10-26,Premium,SMS,1600,241,72,4917.53,7945.34,1.82
842270,Flash Sale,2024-10-26,Inactive,SMS,9800,758,53,3310.25,8683.82,2.47
737765,Membership Drive,2024-10-26,New Users,SMS,9214,909,48,3400.97,9608.9,3.65
521471,Category Promotion,2024-10-26,All,SMS,2315,704,100,4403.4,9400.79,3.16
42263,App Push Notification,2024-10-26,Inactive,Email,1723,258,81,1558.93,8570.27,2.02
664981,Email Campaign,2024-10-26,New Users,Social Media,1002,705,63,3599.79,4311.79,4.0
887586,Referral Program,2024-10-26,Inactive,Social Media,3797,149,50,3393.94,6539.92,3.45
408371,New User Discount,2024-10-25,New Users,App,7239,579,61,4575.26,6288.51,3.88
993186,Weekend Special,2024-10-25,Premium,Email,2258,513,75,2383.71,5454.96,2.39
762331,Festival Offer,2024-10-25,Inactive,App,5882,577,19,4474.48,4596.52,2.79
209173,Flash Sale,2024-10-25,Premium,Email,8130,137,18,1715.46,9959.51,2.33
903905,Membership Drive,2024-10-25,Inactive,App,6268,973,15,3117.62,8722.31,2.13
668975,Category Promotion,2024-10-25,New Users,App,5437,972,80,4583.85,7105.69,1.59
680570,App Push Notification,2024-10-25,Inactive,Email,7010,202,34,1599.34,7806.21,2.99
192501,Email Campaign,2024-10-25,Inactive,Email,4970,343,53,1947.23,9461.87,3.41
982430,Referral Program,2024-10-25,Premium,Email,5429,795,82,2842.37,4914.0,2.81
698056,New User Discount,2024-10-24,All,App,3144,877,18,3704.05,3732.06,2.59
941069,Weekend Special,2024-10-24,New Users,Social Media,5133,389,70,2318.95,4311.21,2.18
602540,Festival Offer,2024-10-24,Inactive,App,6569,620,64,3218.48,2901.45,2.69
575585,Flash Sale,2024-10-24,Inactive,App,8501,258,57,2437.64,8650.4,2.45
552893,Membership Drive,2024-10-24,Inactive,Social Media,9012,259,38,1598.76,2093.56,2.33
882671,Category Promotion,2024-10-24,Inactive,Email,7685,540,47,2199.05,4937.69,1.83
729422,App Push Notification,2024-10-24,Inactive,Social Media,1753,984,16,4052.53,6151.03,1.59
315890,Email Campaign,2024-10-24,New Users,SMS,7736,953,70,2749.84,5113.71,3.28
242619,Referral Program,2024-10-24,Inactive,Social Media,3112,391,48,4882.83,3755.92,3.74
457841,New User Discount,2024-10-23,New Users,SMS,8261,557,54,2599.3,3748.91,1.63
334424,Weekend Special,2024-10-23,Inactive,SMS,6370,604,70,3516.78,2866.2,3.1
489132,Festival Offer,2024-10-23,New Users,Social Media,4553,469,12,2363.94,6845.16,2.18
554438,Flash Sale,2024-10-23,All,Social Media,7358,367,41,2165.36,2312.68,3.34
204191,Membership Drive,2024-10-23,All,Social Media,9385,492,43,1921.19,9824.3,3.58
586930,Category Promotion,2024-10-23,Inactive,Social Media,7577,598,15,2804.3,9402.79,3.65
814199,App Push Notification,2024-10-23,New Users,SMS,8240,341,50,4191.03,6688.85,2.37
871629,Email Campaign,2024-10-23,All,App,2233,547,27,4199.36,5655.15,3.56
697944,Referral Program,2024-10-23,Inactive,App,4653,188,51,2303.42,4678.46,3.09
776669,New User Discount,2024-10-22,Inactive,App,6516,252,34,4332.69,7080.93,3.26
845527,Weekend Special,2024-10-22,Inactive,Social Media,9587,810,77,1323.74,3364.59,1.71
932133,Festival Offer,2024-10-22,All,Email,6955,317,78,3341.07,5741.39,3.73
130164,Flash Sale,2024-10-22,Premium,Social Media,6347,665,75,3934.71,4725.54,1.63
547470,Membership Drive,2024-10-22,Premium,SMS,9964,465,33,2695.95,3392.76,3.53
530361,Category Promotion,2024-10-22,Inactive,Email,8285,530,29,3909.95,5650.29,2.03
181070,App Push Notification,2024-10-22,Inactive,SMS,7265,110,22,2495.46,8618.53,1.94
27596,Email Campaign,2024-10-22,Premium,Social Media,2648,898,24,3747.0,7410.91,2.99
518109,Referral Program,2024-10-22,Premium,SMS,3803,207,42,1671.16,5232.93,3.47
980545,New User Discount,2024-10-21,Premium,SMS,6378,149,31,4974.32,9771.12,1.73
963463,Weekend Special,2024-10-21,New Users,Email,8974,479,39,1741.34,7019.71,2.03
362162,Festival Offer,2024-10-21,Premium,SMS,4976,562,79,1855.65,2736.38,3.13
837030,Flash Sale,2024-10-21,All,SMS,9348,397,30,4546.79,8518.37,3.77
533144,Membership Drive,2024-10-21,Inactive,App,7432,627,23,1618.63,8290.49,3.9
942737,Category Promotion,2024-10-21,Premium,SMS,9433,593,61,1670.95,5415.89,1.99
8328,App Push Notification,2024-10-21,All,Email,3212,747,63,3964.61,7024.84,2.44
446559,Email Campaign,2024-10-21,All,Email,4395,786,53,1766.03,4554.83,1.68
929421,Referral Program,2024-10-21,All,Social Media,7680,829,81,1652.23,2181.47,3.94
415106,New User Discount,2024-10-20,All,SMS,5143,930,88,4882.61,2535.36,1.71
38153,Weekend Special,2024-10-20,All,App,7842,559,20,1927.22,8434.35,2.15
523833,Festival Offer,2024-10-20,All,SMS,9486,347,43,1686.15,5813.55,3.61
170461,Flash Sale,2024-10-20,New Users,SMS,2952,393,38,4037.84,4531.27,3.74
109449,Membership Drive,2024-10-20,Premium,App,8414,748,63,2195.8,3019.02,2.4
687130,Category Promotion,2024-10-20,All,Email,4330,822,31,1104.8,6592.8,2.55
479853,App Push Notification,2024-10-20,Premium,SMS,6870,227,92,4219.18,4713.09,2.5
683250,Email Campaign,2024-10-20,Inactive,Email,8382,926,37,1921.49,6651.93,2.88
