order_id,customer_id,order_date,promised_delivery_time,actual_delivery_time,delivery_status,order_total,payment_method,delivery_partner_id,store_id
1961864118,30065862,17-07-2024 08:34,17-07-2024 08:52,17-07-2024 08:47,On Time,3197.07,Cash,63230,4771
1549769649,9573071,28-05-2024 13:14,28-05-2024 13:25,28-05-2024 13:27,On Time,976.55,Cash,14983,7534
9185164487,45477575,23-09-2024 13:07,23-09-2024 13:25,23-09-2024 13:29,On Time,839.05,UPI,39859,9886
9644738826,88067569,24-11-2023 16:16,24-11-2023 16:34,24-11-2023 16:33,On Time,440.23,Card,61497,7917
5427684290,83298567,20-11-2023 05:00,20-11-2023 05:17,20-11-2023 05:18,On Time,2526.68,Cash,84315,2741
3265154092,43367112,18-03-2023 16:29,18-03-2023 16:49,18-03-2023 16:48,On Time,3161.43,UPI,554,3442
4898355547,13284996,16-04-2023 18:50,16-04-2023 19:01,16-04-2023 19:02,On Time,956.4,Card,14630,1318
6568151549,88866835,31-03-2024 06:26,31-03-2024 06:37,31-03-2024 06:39,On Time,905.47,Cash,67714,115
6006693867,24496983,13-07-2023 23:49,14-07-2023 00:02,14-07-2023 00:05,On Time,1371.17,Card,91362,9021
374186990,52215833,09-08-2023 01:17,09-08-2023 01:37,09-08-2023 01:44,Slightly Delayed,1601.19,Wallet,77203,7955
4455336265,43431724,30-08-2023 19:37,30-08-2023 19:47,30-08-2023 19:45,On Time,2362.33,UPI,64046,3784
3539286337,77559557,25-04-2023 20:32,25-04-2023 20:44,25-04-2023 20:39,On Time,1463.8,Wallet,94899,2463
9171116867,87107263,22-10-2023 11:15,22-10-2023 11:25,22-10-2023 11:37,Slightly Delayed,822.63,Card,73907,6899
5504941865,76512976,28-01-2024 02:39,28-01-2024 02:55,28-01-2024 03:06,Slightly Delayed,2287.68,Wallet,56077,9809
5868326481,37556526,15-03-2024 21:07,15-03-2024 21:24,15-03-2024 21:21,On Time,1962.35,Wallet,94140,3106
2137046916,12059049,03-02-2024 08:50,03-02-2024 09:03,03-02-2024 09:01,On Time,3373.96,UPI,12377,1007
8195544338,26199489,26-04-2023 04:03,26-04-2023 04:20,26-04-2023 04:28,Slightly Delayed,845.71,Wallet,102,3809
2889700050,84848018,30-04-2024 16:22,30-04-2024 16:33,30-04-2024 16:36,On Time,2706.54,Wallet,45032,78
65827885,47577193,27-07-2023 00:13,27-07-2023 00:25,27-07-2023 00:20,On Time,1132.98,Cash,1108,3817
4656471694,60728956,09-12-2023 08:08,09-12-2023 08:27,09-12-2023 08:35,Slightly Delayed,1525.5,Cash,62782,5739
6625178717,62068277,01-07-2023 04:24,01-07-2023 04:40,01-07-2023 04:53,Slightly Delayed,5718.09,Card,74906,2130
7169557514,84824280,21-03-2023 05:27,21-03-2023 05:38,21-03-2023 05:50,Slightly Delayed,2970.9,Card,79516,9535
2268306684,66742602,28-05-2024 14:59,28-05-2024 15:11,28-05-2024 15:10,On Time,2991.57,Wallet,65733,6847
6905293278,97259564,16-06-2024 10:23,16-06-2024 10:36,16-06-2024 11:02,Significantly Delayed,1404.68,Cash,53868,4187
1769493463,3292927,26-06-2024 07:13,26-06-2024 07:29,26-06-2024 07:24,On Time,2541.32,Wallet,22954,7071
5003387344,26592009,23-06-2024 10:53,23-06-2024 11:05,23-06-2024 11:00,On Time,2475.69,Wallet,21004,7477
2064484752,89995124,07-05-2024 22:42,07-05-2024 23:00,07-05-2024 22:55,On Time,1949.92,Wallet,43022,1116
964822979,88520326,13-07-2024 10:38,13-07-2024 10:49,13-07-2024 10:47,On Time,5804.23,Wallet,42914,7603
6037899648,22738465,27-03-2024 17:44,27-03-2024 18:00,27-03-2024 18:04,On Time,1231.03,Cash,59131,914
9347571484,29562072,02-11-2024 17:15,02-11-2024 17:26,02-11-2024 17:39,Slightly Delayed,3138.06,Card,88612,9615
3286177534,10225164,24-06-2023 23:52,25-06-2023 00:09,25-06-2023 00:07,On Time,3612.26,Wallet,90038,6046
9073572548,97111069,02-05-2023 23:13,02-05-2023 23:25,02-05-2023 23:47,Significantly Delayed,1091.89,Card,28575,6542
8395583761,1989720,04-08-2024 23:35,04-08-2024 23:53,04-08-2024 23:48,On Time,410.62,UPI,84816,5448
6355378227,67092149,11-08-2023 16:52,11-08-2023 17:06,11-08-2023 17:05,On Time,5019.02,UPI,23910,810
277376321,89784343,28-07-2024 04:25,28-07-2024 04:45,28-07-2024 04:44,On Time,3694.48,Wallet,78589,3357
8559748526,45868300,05-04-2023 18:07,05-04-2023 18:27,05-04-2023 18:28,On Time,1152.09,Wallet,93002,2270
1458051433,50760752,26-04-2024 09:14,26-04-2024 09:30,26-04-2024 09:26,On Time,1055.18,UPI,61040,7426
5838302640,96795047,12-05-2023 05:46,12-05-2023 06:02,12-05-2023 06:09,Slightly Delayed,3377.44,UPI,30907,4242
1380971977,16561710,02-06-2024 13:04,02-06-2024 13:21,02-06-2024 13:16,On Time,3117.74,Cash,52614,6655
1221099013,35156679,23-07-2023 10:45,23-07-2023 11:01,23-07-2023 11:03,On Time,4335.11,Wallet,60689,8589
6771166303,87718744,24-07-2023 04:21,24-07-2023 04:36,24-07-2023 04:48,Slightly Delayed,816.38,Wallet,98179,2820
7111337755,10524732,06-05-2023 05:52,06-05-2023 06:07,06-05-2023 06:04,On Time,1550.71,Cash,84833,4083
5562922993,62416456,06-12-2023 02:04,06-12-2023 02:14,06-12-2023 02:17,On Time,2292.64,Wallet,73904,418
5630957897,69925688,18-06-2024 07:17,18-06-2024 07:32,18-06-2024 07:36,On Time,827.44,Wallet,14408,468
1787380558,5140660,08-11-2023 17:24,08-11-2023 17:43,08-11-2023 17:45,On Time,2066.77,Cash,95835,862
32613017,82594354,17-03-2023 00:20,17-03-2023 00:36,17-03-2023 00:36,On Time,2354.28,Card,77303,3364
2039041670,88324928,01-11-2024 09:45,01-11-2024 10:05,01-11-2024 10:20,Slightly Delayed,96.33,Wallet,31963,1003
210693801,71235336,21-08-2024 03:59,21-08-2024 04:10,21-08-2024 04:12,On Time,3561.22,UPI,14789,4184
8120002258,57833505,01-01-2024 00:05,01-01-2024 00:15,01-01-2024 00:11,On Time,1213.05,Card,61526,6830
2177917034,12402437,08-02-2024 20:03,08-02-2024 20:16,08-02-2024 20:25,Slightly Delayed,3134.8,Card,75636,4829
4254814926,59890331,21-04-2024 06:14,21-04-2024 06:34,21-04-2024 06:33,On Time,3818.33,Wallet,1761,7830
6074172790,14944819,26-07-2023 02:15,26-07-2023 02:26,26-07-2023 02:30,On Time,2008.84,Wallet,3481,4057
3381573131,67386193,16-07-2024 00:33,16-07-2024 00:47,16-07-2024 00:42,On Time,114.52,Cash,50582,7456
3773745777,67701771,02-05-2024 14:40,02-05-2024 14:58,02-05-2024 14:58,On Time,1488.19,Card,97135,8100
9251939156,89910157,30-12-2023 12:39,30-12-2023 12:51,30-12-2023 12:58,Slightly Delayed,891.6,Cash,57095,7206
3872982303,15484407,03-02-2024 01:04,03-02-2024 01:24,03-02-2024 01:25,On Time,1779.45,Wallet,60234,7886
2625987757,10769994,01-08-2023 07:42,01-08-2023 07:54,01-08-2023 07:56,On Time,169.88,UPI,51273,4569
3162249401,85519349,03-05-2024 13:21,03-05-2024 13:31,03-05-2024 13:31,On Time,4406.98,Cash,47552,2221
3108986741,49241309,17-10-2023 19:29,17-10-2023 19:43,17-10-2023 19:44,On Time,2401.92,Wallet,60867,6530
1851474741,23348269,01-11-2023 13:29,01-11-2023 13:42,01-11-2023 13:51,Slightly Delayed,3742.79,Card,12879,8735
2425099132,85016568,15-08-2023 01:15,15-08-2023 01:30,15-08-2023 01:34,On Time,2498.22,Wallet,44245,4794
6706793332,6247821,09-10-2024 21:50,09-10-2024 22:04,09-10-2024 22:16,Slightly Delayed,949.75,UPI,76503,8271
2149289255,57579640,01-11-2024 15:00,01-11-2024 15:20,01-11-2024 15:39,Significantly Delayed,2687.31,Cash,25251,7315
1971008155,2457734,23-10-2023 22:23,23-10-2023 22:43,23-10-2023 22:39,On Time,1866.01,Cash,30330,5472
2087093460,59329145,11-07-2024 11:31,11-07-2024 11:42,11-07-2024 11:41,On Time,4198.33,Card,27478,2176
2116712588,24043135,11-11-2023 20:33,11-11-2023 20:48,11-11-2023 20:51,On Time,44.35,Wallet,34078,6552
6054358790,59216664,26-01-2024 10:11,26-01-2024 10:31,26-01-2024 10:26,On Time,3217.7,Wallet,52564,1880
532660797,41008070,20-05-2024 06:25,20-05-2024 06:37,20-05-2024 06:51,Slightly Delayed,2683.73,UPI,97547,2245
1491991005,52215833,04-03-2024 08:49,04-03-2024 09:01,04-03-2024 09:01,On Time,3472.55,Wallet,85285,3036
4136019599,74179536,23-03-2024 18:38,23-03-2024 18:52,23-03-2024 18:55,On Time,1131.05,Wallet,34667,6564
2122832513,55028958,17-02-2024 19:48,17-02-2024 19:58,17-02-2024 20:18,Significantly Delayed,2037.94,UPI,39396,5245
3717703595,88965399,24-04-2023 21:33,24-04-2023 21:52,24-04-2023 21:51,On Time,1756.7,Card,8041,7309
3194733693,21866852,05-07-2023 10:13,05-07-2023 10:30,05-07-2023 10:37,Slightly Delayed,2552.88,UPI,16623,9112
4471162437,27971619,06-02-2024 12:38,06-02-2024 12:52,06-02-2024 12:52,On Time,3355.65,Card,54708,9226
1609331948,8791577,04-01-2024 14:06,04-01-2024 14:19,04-01-2024 14:19,On Time,3648.36,UPI,58721,2696
6920030794,70372270,24-06-2024 02:37,24-06-2024 02:51,24-06-2024 02:49,On Time,2936.64,UPI,38745,1394
5127172657,32293017,11-06-2024 18:11,11-06-2024 18:30,11-06-2024 18:50,Significantly Delayed,2185.5,Cash,80034,288
8607115856,15931134,09-10-2023 04:42,09-10-2023 04:52,09-10-2023 04:49,On Time,739.34,UPI,85718,3015
7154957395,60700850,09-04-2023 10:10,09-04-2023 10:21,09-04-2023 10:21,On Time,2696.84,Wallet,63099,1915
2070762702,34761418,04-10-2023 10:20,04-10-2023 10:37,04-10-2023 10:52,Slightly Delayed,2457.2,Cash,64950,5593
3697242439,99361865,15-10-2024 12:30,15-10-2024 12:47,15-10-2024 12:46,On Time,2179.49,Cash,67408,4528
3063427913,75984768,21-09-2023 02:17,21-09-2023 02:34,21-09-2023 02:37,On Time,4419.03,Card,24100,1492
2060061337,29272253,15-04-2023 22:56,15-04-2023 23:10,15-04-2023 23:22,Slightly Delayed,3041.62,Wallet,50748,4851
4625892678,80371626,18-06-2023 19:23,18-06-2023 19:35,18-06-2023 19:39,On Time,3166.49,Wallet,40337,2018
6045698170,666589,24-01-2024 17:03,24-01-2024 17:14,24-01-2024 17:19,On Time,222.15,UPI,16848,3220
7876289647,98858383,07-08-2024 07:55,07-08-2024 08:06,07-08-2024 08:18,Slightly Delayed,3218.62,UPI,28786,9606
3434084714,46836361,02-02-2024 02:54,02-02-2024 03:06,02-02-2024 03:04,On Time,1179.41,Cash,58201,5513
9031695663,94730288,17-01-2024 01:23,17-01-2024 01:35,17-01-2024 01:41,Slightly Delayed,2316.01,Card,43200,5551
1955989715,77862447,27-12-2023 06:52,27-12-2023 07:06,27-12-2023 07:08,On Time,1931.35,Wallet,8135,6276
3459500455,16379942,18-12-2023 00:37,18-12-2023 00:52,18-12-2023 00:54,On Time,2581.78,UPI,20504,6348
5953376503,79169760,25-05-2024 03:53,25-05-2024 04:08,25-05-2024 04:24,Significantly Delayed,650.2,Wallet,34929,3686
121874867,94529626,28-03-2023 00:53,28-03-2023 01:10,28-03-2023 01:05,On Time,2596.92,UPI,69733,7775
2460545397,42872865,27-10-2024 11:26,27-10-2024 11:38,27-10-2024 11:49,Slightly Delayed,474.34,Wallet,50527,7031
9690050839,55803572,13-01-2024 02:34,13-01-2024 02:44,13-01-2024 02:49,On Time,2551.93,Wallet,76868,3949
2574349065,51547198,17-04-2024 14:33,17-04-2024 14:43,17-04-2024 14:44,On Time,4476.55,Wallet,406,7690
2461936988,14428954,20-07-2023 23:11,20-07-2023 23:29,20-07-2023 23:48,Significantly Delayed,4196.95,Cash,77590,9647
6447596416,76987910,08-10-2023 18:18,08-10-2023 18:30,08-10-2023 18:26,On Time,4965.12,Card,45656,494
7228452275,42262168,13-05-2023 01:06,13-05-2023 01:25,13-05-2023 01:25,On Time,326.42,Card,96211,9542
6696750742,5277675,02-04-2023 17:43,02-04-2023 17:54,02-04-2023 17:54,On Time,2509.56,Wallet,89976,8222
822235931,44410149,09-08-2023 07:17,09-08-2023 07:27,09-08-2023 07:42,Slightly Delayed,4866.15,Wallet,1773,639
7678251499,17805991,23-04-2023 13:27,23-04-2023 13:37,23-04-2023 13:42,On Time,3141.37,Cash,60822,3427
2497341976,9097480,21-09-2023 09:06,21-09-2023 09:19,21-09-2023 09:20,On Time,3414.57,Wallet,42711,788
9107314128,79591237,20-05-2024 16:19,20-05-2024 16:37,20-05-2024 16:36,On Time,545.49,Wallet,21125,6660
9855726256,8651281,17-05-2023 07:50,17-05-2023 08:05,17-05-2023 08:03,On Time,479.57,Card,59743,1416
9398719862,14991661,19-07-2024 09:22,19-07-2024 09:40,19-07-2024 09:44,On Time,4255,Card,4852,9455
379494532,9650263,07-07-2024 13:29,07-07-2024 13:42,07-07-2024 13:44,On Time,3609.27,UPI,99227,2058
1048784963,58942207,07-09-2023 13:18,07-09-2023 13:35,07-09-2023 13:30,On Time,1159.84,Card,35552,2538
4386246924,69632084,27-08-2024 10:06,27-08-2024 10:26,27-08-2024 10:52,Significantly Delayed,2026.78,Card,56384,9593
2050362692,79991320,30-10-2024 11:23,30-10-2024 11:36,30-10-2024 11:39,On Time,2363.42,Cash,16076,2265
4142963293,34567918,03-11-2024 03:45,03-11-2024 04:04,03-11-2024 04:07,On Time,3686.26,Cash,74308,9263
9753528654,61522288,26-07-2024 07:24,26-07-2024 07:35,26-07-2024 07:33,On Time,109.03,Cash,63454,8771
8126970833,14161586,14-09-2024 20:27,14-09-2024 20:41,14-09-2024 21:07,Significantly Delayed,4398.35,Wallet,83636,8350
9747814712,16359370,16-12-2023 15:38,16-12-2023 15:52,16-12-2023 15:55,On Time,2333.7,Wallet,33342,8165
6281619403,77921718,09-04-2023 18:56,09-04-2023 19:15,09-04-2023 19:10,On Time,3374.44,UPI,12086,5214
436184281,78614729,20-11-2023 12:36,20-11-2023 12:55,20-11-2023 13:22,Significantly Delayed,3147.92,Card,59936,2749
9799231260,22077605,07-03-2024 08:59,07-03-2024 09:17,07-03-2024 09:21,On Time,872.83,Wallet,58378,7812
4071811527,66023110,26-07-2023 15:38,26-07-2023 15:51,26-07-2023 16:00,Slightly Delayed,1872.01,Card,27993,100
5645359563,87160527,08-08-2024 23:28,08-08-2024 23:45,08-08-2024 23:40,On Time,2624.29,Card,45180,8474
9411813703,62600289,25-09-2023 22:56,25-09-2023 23:11,25-09-2023 23:16,On Time,4433,Wallet,32773,5238
4270217473,54580166,01-02-2024 08:48,01-02-2024 09:02,01-02-2024 09:02,On Time,505.5,Cash,4904,9867
279851011,12967305,11-04-2023 09:45,11-04-2023 09:58,11-04-2023 09:57,On Time,3495.33,Card,73623,6199
6260524887,57081917,01-06-2024 06:43,01-06-2024 07:00,01-06-2024 06:56,On Time,2457.11,Card,22883,3322
5853998391,94453274,08-09-2023 02:48,08-09-2023 02:58,08-09-2023 02:55,On Time,949.22,Wallet,23606,364
9931976872,8955057,24-06-2024 05:17,24-06-2024 05:32,24-06-2024 05:28,On Time,2487.83,Wallet,97297,9676
8432209832,90346920,20-03-2024 03:24,20-03-2024 03:42,20-03-2024 03:54,Slightly Delayed,3835.31,Wallet,18907,9981
6023721507,8791577,07-04-2024 00:19,07-04-2024 00:36,07-04-2024 00:35,On Time,1849.03,UPI,72197,158
3042338919,76212152,17-05-2023 14:52,17-05-2023 15:05,17-05-2023 15:02,On Time,2765.06,Wallet,70995,6827
233646065,16379942,19-09-2023 22:28,19-09-2023 22:43,19-09-2023 22:48,On Time,578.85,Wallet,56968,2400
9870610018,94033330,08-02-2024 05:23,08-02-2024 05:36,08-02-2024 05:35,On Time,478.79,Card,44706,2918
1398230967,46876240,22-04-2024 09:58,22-04-2024 10:13,22-04-2024 10:09,On Time,1186.66,Card,92744,7040
8615488922,92209869,04-11-2023 00:06,04-11-2023 00:21,04-11-2023 00:42,Significantly Delayed,3803.34,Card,1328,9406
2748841057,33544355,30-12-2023 05:03,30-12-2023 05:19,30-12-2023 05:43,Significantly Delayed,1587.18,Card,11008,1719
1375867721,4862761,15-07-2024 16:57,15-07-2024 17:08,15-07-2024 17:05,On Time,2244.24,Cash,21511,548
8595141097,96511007,31-03-2024 10:24,31-03-2024 10:36,31-03-2024 10:39,On Time,3385.77,UPI,19332,9568
4673382071,21784094,16-01-2024 13:25,16-01-2024 13:40,16-01-2024 13:49,Slightly Delayed,1479.69,UPI,97477,9551
2948696008,51872499,10-04-2024 10:05,10-04-2024 10:22,10-04-2024 10:19,On Time,3103.41,Cash,89164,843
6839692624,64497538,19-11-2023 01:53,19-11-2023 02:10,19-11-2023 02:35,Significantly Delayed,4464.84,Cash,44627,1835
5770951298,75510747,02-10-2023 18:09,02-10-2023 18:23,02-10-2023 18:21,On Time,957.11,UPI,4946,8044
5084771819,6344345,29-08-2024 21:54,29-08-2024 22:05,29-08-2024 22:18,Slightly Delayed,1207.68,Cash,66403,5500
422403644,56548063,27-05-2023 23:26,27-05-2023 23:46,27-05-2023 23:54,Slightly Delayed,2331.5,UPI,23782,4684
7176758896,18394558,13-07-2023 12:50,13-07-2023 13:00,13-07-2023 13:01,On Time,2640.24,Cash,75492,2866
8252905093,42589311,21-04-2024 23:13,21-04-2024 23:29,21-04-2024 23:30,On Time,2315.77,Card,40596,7934
1488561572,75928073,27-08-2024 08:18,27-08-2024 08:32,27-08-2024 08:31,On Time,4053.52,Cash,31495,3970
6212984517,72702075,16-03-2024 21:47,16-03-2024 22:05,16-03-2024 22:03,On Time,1388.01,UPI,15665,6591
6309784337,26250082,06-05-2024 17:37,06-05-2024 17:53,06-05-2024 17:53,On Time,1905.92,Card,23009,396
4613890018,53538932,24-10-2023 12:43,24-10-2023 13:00,24-10-2023 13:00,On Time,1545.79,Wallet,82638,8307
3429728472,64017365,31-03-2023 08:31,31-03-2023 08:48,31-03-2023 08:57,Slightly Delayed,4138.27,Cash,77476,2104
267738904,63368244,24-10-2023 23:10,24-10-2023 23:24,24-10-2023 23:38,Slightly Delayed,3596.07,Card,73022,8030
3850416839,57081917,01-07-2024 02:05,01-07-2024 02:23,01-07-2024 02:36,Slightly Delayed,5490.94,UPI,32659,8131
3412702479,86479284,24-12-2023 07:32,24-12-2023 07:46,24-12-2023 07:51,On Time,2344.83,Cash,35140,2577
2016183232,44928499,19-07-2023 04:15,19-07-2023 04:35,19-07-2023 04:46,Slightly Delayed,1934.43,Card,38755,5767
3810280204,84361534,26-10-2023 17:52,26-10-2023 18:06,26-10-2023 18:10,On Time,2956.37,Wallet,70290,480
2416767295,767523,05-07-2024 03:36,05-07-2024 03:50,05-07-2024 03:59,Slightly Delayed,2358.76,Card,28144,39
2283439407,46623192,14-07-2023 02:18,14-07-2023 02:28,14-07-2023 02:32,On Time,1216.8,UPI,58922,2848
4328802292,9738801,14-06-2023 19:43,14-06-2023 19:57,14-06-2023 20:15,Significantly Delayed,1926.12,Cash,66985,1268
7072715691,74195536,25-12-2023 19:14,25-12-2023 19:28,25-12-2023 19:29,On Time,2120.77,Cash,82046,3755
5640741373,90298394,10-05-2024 06:46,10-05-2024 06:57,10-05-2024 06:57,On Time,765.76,Card,20090,3383
6931094066,17159117,15-11-2023 21:59,15-11-2023 22:18,15-11-2023 22:14,On Time,2802.27,Card,66225,7331
3417088709,62629494,30-05-2024 17:24,30-05-2024 17:37,30-05-2024 17:58,Significantly Delayed,912.29,UPI,63738,2101
4424404315,9274874,16-07-2023 07:24,16-07-2023 07:36,16-07-2023 07:40,On Time,494.48,Wallet,8506,1950
2444087306,56250563,28-07-2023 08:25,28-07-2023 08:35,28-07-2023 08:37,On Time,2440.73,Wallet,75692,5429
486085268,51040116,11-12-2023 19:39,11-12-2023 19:51,11-12-2023 19:56,On Time,4749.99,UPI,90390,4690
1731312620,49795571,08-05-2023 20:32,08-05-2023 20:42,08-05-2023 20:41,On Time,843.21,Wallet,75316,1309
6475582506,82529927,23-09-2023 04:50,23-09-2023 05:01,23-09-2023 05:05,On Time,3895.25,Wallet,52304,2425
1868581378,93198324,29-03-2024 18:27,29-03-2024 18:43,29-03-2024 18:47,On Time,2065.81,Card,38861,6383
8884235937,20298398,09-08-2024 11:51,09-08-2024 12:01,09-08-2024 12:09,Slightly Delayed,1655.6,UPI,81977,8826
4590662628,87200291,10-01-2024 11:48,10-01-2024 12:02,10-01-2024 12:17,Slightly Delayed,3148.95,Cash,18200,5462
992302540,32203588,26-11-2023 21:32,26-11-2023 21:51,26-11-2023 21:54,On Time,198.72,Wallet,12863,956
7169974633,59110513,16-10-2024 16:03,16-10-2024 16:22,16-10-2024 16:21,On Time,2475.21,UPI,69861,4905
6703651257,93198324,17-01-2024 01:26,17-01-2024 01:43,17-01-2024 01:46,On Time,727.87,Card,4285,5882
7180810221,20940403,10-09-2023 16:44,10-09-2023 16:58,10-09-2023 17:07,Slightly Delayed,657.8,Cash,59848,754
7875587578,60967677,15-07-2024 08:47,15-07-2024 08:59,15-07-2024 09:09,Slightly Delayed,3351.74,Card,40025,6554
2578671497,76218218,25-01-2024 00:04,25-01-2024 00:16,25-01-2024 00:21,On Time,3603.94,Card,64618,4306
6284350691,57207678,20-06-2024 01:00,20-06-2024 01:13,20-06-2024 01:13,On Time,726.41,Wallet,9053,9366
5383261788,34588087,18-10-2023 21:18,18-10-2023 21:34,18-10-2023 21:30,On Time,3375.86,Wallet,94840,856
6590867973,56441247,20-11-2023 08:37,20-11-2023 08:55,20-11-2023 08:54,On Time,1848.22,UPI,23582,5770
8787105023,81822935,07-05-2024 22:54,07-05-2024 23:09,07-05-2024 23:12,On Time,1443.64,Wallet,54795,2951
1402916311,14275043,23-04-2024 12:52,23-04-2024 13:05,23-04-2024 13:09,On Time,4553.36,Card,57649,178
9715205272,52409516,21-10-2024 21:55,21-10-2024 22:09,21-10-2024 22:11,On Time,1189.17,UPI,21783,7087
3946852375,96253172,04-07-2024 12:26,04-07-2024 12:45,04-07-2024 12:45,On Time,150.99,Cash,92389,9580
3367039425,86050297,10-03-2024 03:46,10-03-2024 03:58,10-03-2024 04:00,On Time,703.11,UPI,72408,9069
687711388,52757321,02-02-2024 10:13,02-02-2024 10:28,02-02-2024 10:40,Slightly Delayed,1385.43,Card,44884,3910
647012431,34281470,16-06-2024 13:11,16-06-2024 13:27,16-06-2024 13:45,Significantly Delayed,3706.1,Card,94183,9989
7143278295,50557979,13-02-2024 15:28,13-02-2024 15:39,13-02-2024 15:35,On Time,1597.11,UPI,89680,7182
9736844695,31978160,09-04-2024 20:00,09-04-2024 20:18,09-04-2024 20:13,On Time,1608.11,Cash,87624,3487
5933289680,5751638,07-12-2023 04:30,07-12-2023 04:49,07-12-2023 05:09,Significantly Delayed,2950.6,Wallet,1722,9869
9494303116,98858383,21-07-2024 10:44,21-07-2024 11:04,21-07-2024 11:09,On Time,1538.49,Card,12071,6262
9337878102,9987182,16-05-2023 03:51,16-05-2023 04:09,16-05-2023 04:05,On Time,3119.18,Wallet,15234,4435
6872621077,77128325,14-09-2023 18:19,14-09-2023 18:29,14-09-2023 18:24,On Time,3611.43,Wallet,42244,847
7330237253,28428852,07-12-2023 12:22,07-12-2023 12:38,07-12-2023 12:37,On Time,869.86,UPI,18688,3099
7942616242,33685414,30-09-2023 08:07,30-09-2023 08:27,30-09-2023 08:52,Significantly Delayed,1116,Wallet,76694,5368
238520071,77320193,20-02-2024 05:25,20-02-2024 05:44,20-02-2024 05:47,On Time,852.02,Cash,91088,1203
5812379362,46504355,05-08-2023 10:51,05-08-2023 11:05,05-08-2023 11:01,On Time,3865.78,Wallet,68969,544
2616623847,49915498,19-01-2024 19:08,19-01-2024 19:22,19-01-2024 19:37,Slightly Delayed,3928,Cash,43649,9330
2040854480,40392019,10-12-2023 00:09,10-12-2023 00:22,10-12-2023 00:47,Significantly Delayed,946.86,Wallet,11814,4573
5456484560,62600289,26-09-2024 01:56,26-09-2024 02:10,26-09-2024 02:35,Significantly Delayed,1630.68,UPI,32681,5000
883309006,71229024,09-04-2024 08:12,09-04-2024 08:22,09-04-2024 08:30,Slightly Delayed,1427.84,Cash,23074,5405
6528341992,64497538,29-01-2024 03:28,29-01-2024 03:43,29-01-2024 03:54,Slightly Delayed,2360.73,Wallet,50910,7253
3263203775,44888581,28-09-2024 15:27,28-09-2024 15:37,28-09-2024 15:36,On Time,826.28,UPI,38308,9171
3660010934,83577942,31-01-2024 15:31,31-01-2024 15:44,31-01-2024 15:49,On Time,787.4,Wallet,17404,4956
7944885043,1683786,26-05-2024 08:18,26-05-2024 08:31,26-05-2024 08:29,On Time,4410.72,Card,16741,8470
2506369831,1529180,16-06-2023 13:05,16-06-2023 13:22,16-06-2023 13:35,Slightly Delayed,255.35,UPI,62473,7950
697061213,91196901,25-03-2023 09:41,25-03-2023 09:52,25-03-2023 09:55,On Time,4473.11,Card,80729,1451
7079057004,1507408,30-09-2023 08:52,30-09-2023 09:10,30-09-2023 09:32,Significantly Delayed,1946.09,Card,16501,3954
1556153632,67215939,04-05-2024 08:35,04-05-2024 08:54,04-05-2024 09:03,Slightly Delayed,1277.85,Wallet,45137,1393
2161235338,38902882,12-04-2024 15:00,12-04-2024 15:12,12-04-2024 15:21,Slightly Delayed,4431.77,Wallet,96206,240
1247978468,97484394,19-07-2024 01:53,19-07-2024 02:13,19-07-2024 02:12,On Time,1662.15,UPI,30662,4045
5437627061,58505903,22-08-2024 02:04,22-08-2024 02:15,22-08-2024 02:16,On Time,910.19,UPI,39894,5851
9091960039,13455530,11-02-2024 09:54,11-02-2024 10:04,11-02-2024 10:04,On Time,1349.36,Card,51540,68
619198317,81906973,20-11-2023 16:57,20-11-2023 17:16,20-11-2023 17:11,On Time,4216.63,UPI,83654,669
9833179291,90372221,04-05-2023 18:32,04-05-2023 18:52,04-05-2023 18:48,On Time,483.05,UPI,97223,1456
4148760273,93122847,22-05-2024 01:40,22-05-2024 01:55,22-05-2024 01:58,On Time,994.97,UPI,55805,8302
7206041763,74694186,30-05-2023 19:17,30-05-2023 19:35,30-05-2023 19:37,On Time,162.67,Card,1128,279
