AttendanceID,EmployeeID,Date,Status,CheckInTime,CheckOutTime
ATT50000,EMP10471,2022-03-22,Absent,01:25:02,22:33:46
ATT50001,EMP16170,2023-04-15,Absent,13:07:19,22:04:42
ATT50002,EMP19721,2023-06-04,Present,23:37:50,09:41:15
ATT50003,EMP15964,2022-11-14,Absent,01:53:12,20:27:13
ATT50004,EMP10586,2023-10-16,Present,14:21:32,23:12:30
ATT50005,EMP18061,2022-03-10,Absent,10:40:55,17:26:52
ATT50006,EMP13086,2022-12-13,Absent,16:11:26,06:51:04
ATT50007,EMP10389,2022-03-28,Absent,01:21:18,23:49:56
ATT50008,EMP16936,2023-10-14,Remote,21:36:48,19:57:42
ATT50009,EMP14126,2022-05-04,Leave,01:41:16,10:53:32
ATT50010,EMP18970,2022-10-13,Leave,01:34:34,10:18:16
ATT50011,EMP10974,2022-05-16,Leave,16:20:29,05:54:18
ATT50012,EMP19071,2023-05-03,Present,18:15:48,08:01:11
ATT50013,EMP13926,2022-11-18,Absent,11:43:46,20:34:23
ATT50014,EMP19284,2022-07-16,Leave,21:31:10,17:38:54
ATT50015,EMP12670,2023-12-18,Present,14:05:51,02:15:15
ATT50016,EMP12141,2023-12-22,Leave,15:54:28,06:55:52
ATT50017,EMP15115,2023-02-23,Absent,07:41:50,08:12:02
ATT50018,EMP15929,2022-03-20,Leave,18:55:15,15:01:09
ATT50019,EMP13685,2022-04-16,Leave,15:45:53,13:12:44
ATT50020,EMP18441,2023-09-16,Leave,00:44:06,22:47:56
ATT50021,EMP13890,2023-09-19,Remote,19:47:02,00:12:37
ATT50022,EMP13522,2023-08-02,Remote,11:10:36,10:08:05
ATT50023,EMP15747,2023-10-12,Leave,11:04:08,11:45:20
ATT50024,EMP13473,2023-01-21,Remote,02:10:29,00:32:24
ATT50025,EMP17253,2023-10-17,Remote,22:42:44,12:37:08
ATT50026,EMP13570,2023-01-10,Present,22:30:15,00:33:09
ATT50027,EMP18219,2022-07-10,Leave,09:23:05,06:39:57
ATT50028,EMP17169,2022-05-15,Remote,07:46:23,03:57:15
ATT50029,EMP14552,2022-10-03,Remote,23:38:27,04:35:14
ATT50030,EMP19664,2022-07-07,Leave,13:49:26,10:05:58
ATT50031,EMP12851,2022-09-21,Remote,18:15:30,18:38:23
ATT50032,EMP18253,2023-01-02,Remote,06:41:34,02:57:45
ATT50033,EMP16171,2022-03-31,Remote,09:08:14,22:17:10
ATT50034,EMP16431,2022-02-27,Present,04:33:43,00:01:06
ATT50035,EMP19401,2023-10-10,Remote,23:00:35,06:14:25
ATT50036,EMP18773,2022-04-19,Remote,16:04:59,21:04:25
ATT50037,EMP17318,2022-02-23,Leave,08:33:55,15:31:47
ATT50038,EMP11915,2023-11-25,Remote,00:01:42,16:44:58
ATT50039,EMP18661,2022-09-13,Present,22:05:11,16:43:14
ATT50040,EMP17838,2023-01-15,Leave,19:09:46,11:51:45
ATT50041,EMP11042,2023-10-31,Present,23:35:08,17:27:36
ATT50042,EMP16151,2023-11-24,Leave,17:38:15,14:36:47
ATT50043,EMP12367,2022-01-31,Remote,10:39:33,16:50:22
ATT50044,EMP19943,2022-01-04,Remote,20:05:53,04:30:51
ATT50045,EMP18744,2023-02-17,Absent,01:32:58,18:37:30
ATT50046,EMP16004,2022-10-27,Present,09:00:01,18:04:17
ATT50047,EMP19394,2022-04-04,Present,11:10:14,09:58:35
ATT50048,EMP12556,2023-01-18,Leave,23:08:11,05:45:41
ATT50049,EMP16323,2023-06-18,Absent,02:43:39,11:32:24
ATT50050,EMP18263,2023-05-18,Absent,21:23:37,05:23:04
ATT50051,EMP11282,2023-09-30,Remote,07:23:49,21:23:29
ATT50052,EMP10144,2022-04-06,Remote,10:53:07,08:24:15
ATT50053,EMP15892,2023-06-26,Absent,15:50:57,16:30:38
ATT50054,EMP18165,2022-01-05,Present,11:53:58,04:12:59
ATT50055,EMP11518,2022-07-13,Leave,10:30:00,01:38:25
ATT50056,EMP17240,2022-07-17,Present,03:37:36,10:05:44
ATT50057,EMP15490,2023-09-11,Remote,10:27:11,05:44:08
ATT50058,EMP13141,2023-09-11,Leave,15:27:25,20:08:26
ATT50059,EMP15255,2023-02-23,Leave,19:59:37,18:49:45
ATT50060,EMP16059,2023-08-09,Present,07:09:32,06:42:50
ATT50061,EMP19113,2022-12-02,Present,21:10:50,18:43:18
ATT50062,EMP13247,2022-02-17,Absent,16:03:41,18:58:27
ATT50063,EMP10281,2023-04-15,Remote,04:29:38,06:35:41
ATT50064,EMP12031,2023-08-13,Leave,04:04:47,00:27:29
ATT50065,EMP18633,2023-05-03,Present,18:38:20,12:02:48
ATT50066,EMP13854,2023-10-18,Present,15:19:43,14:16:48
ATT50067,EMP17946,2022-02-17,Remote,15:08:07,02:21:16
ATT50068,EMP14703,2022-05-09,Present,06:27:47,20:36:12
ATT50069,EMP15633,2023-01-16,Leave,14:17:34,08:22:40
ATT50070,EMP19750,2023-06-12,Remote,14:02:33,00:00:34
ATT50071,EMP18796,2023-06-16,Leave,09:56:36,04:26:36
ATT50072,EMP12077,2023-02-20,Absent,20:14:00,08:03:09
ATT50073,EMP12639,2023-01-21,Remote,23:55:50,16:38:58
ATT50074,EMP13584,2022-02-28,Absent,06:50:16,17:15:17
ATT50075,EMP13276,2023-03-19,Present,11:50:10,20:48:12
ATT50076,EMP19472,2023-04-15,Absent,10:46:01,13:09:48
ATT50077,EMP13940,2022-09-18,Leave,10:15:50,03:05:55
ATT50078,EMP12012,2022-07-13,Present,04:49:41,16:13:45
ATT50079,EMP17768,2022-08-29,Absent,21:13:32,12:07:15
ATT50080,EMP18872,2022-06-16,Remote,22:12:43,02:37:46
ATT50081,EMP10257,2022-02-13,Present,03:32:44,10:32:33
ATT50082,EMP19225,2022-06-18,Present,02:04:05,16:55:08
ATT50083,EMP13671,2023-07-28,Absent,01:09:22,05:17:43
ATT50084,EMP18369,2022-03-16,Remote,01:31:52,21:30:22
ATT50085,EMP10747,2022-02-20,Leave,21:02:41,19:24:18
ATT50086,EMP13502,2023-08-30,Remote,12:52:59,19:26:49
ATT50087,EMP12733,2023-04-08,Absent,08:14:08,16:17:59
ATT50088,EMP13785,2023-01-31,Absent,01:17:47,10:10:27
ATT50089,EMP17269,2023-12-31,Remote,20:38:39,07:50:41
ATT50090,EMP12963,2022-11-01,Absent,18:41:17,13:42:51
ATT50091,EMP18819,2022-11-27,Leave,11:13:11,17:43:38
ATT50092,EMP14811,2023-01-04,Remote,13:41:10,09:15:12
ATT50093,EMP10187,2023-12-27,Present,08:23:20,07:22:42
ATT50094,EMP17702,2023-04-21,Present,08:00:04,02:46:45
ATT50095,EMP16934,2022-10-05,Remote,15:53:27,18:55:42
ATT50096,EMP17752,2022-10-21,Absent,14:58:45,02:18:52
