ORDERID,CUSTOMERID,PRODUCTID,ORDERDATE,QUANTITY,TOTALAMOUNT,REGION,REMARKS
O033332,C00370,P0044,2024-10-27,9,238.08,North,Ok visit look itself risk tonight.
O033333,C00446,P0035,2023-08-07,2,441.0,East,Trade start debate black law field give.
O033334,C00120,P0086,2024-05-19,1,238.9,South,Mother about nice wait.
O033335,C00955,P0035,2024-06-19,1,320.12,South,Huge turn sound tonight.
O033336,C00394,P0069,2024-07-15,2,367.97,North,Tree claim guy indeed human.
O033337,C00627,P0100,2025-02-07,17,173.86,North,Memory collection traditional generation.
O033338,C00774,P0095,2024-06-19,19,477.82,East,Cell think perhaps feeling inside.
O033339,C00374,P0093,2024-06-28,2,476.18,South,Summer believe last usually near peace strong.
O033340,C00686,P0079,2025-06-11,7,180.81,West,Hit former find side term rather its goal.
O033341,C00803,P0026,2024-12-09,17,313.11,East,Past way risk those.
O033342,C00269,P0060,2025-02-04,16,18.9,North,Popular cell manage authority still fill car stuff.
O033343,C00768,P0079,2023-10-02,16,356.97,East,Feeling example front.
O033344,C00905,P0025,2025-01-16,12,221.81,Central,A before amount and trade look opportunity.
O033345,C00178,P0067,2024-10-31,1,374.47,South,Race group government first eight perhaps.
O033346,C00406,P0052,2024-07-29,12,226.04,West,Believe story money memory environment lose.
O033347,C00338,P0067,2023-12-30,18,354.61,South,Picture sport job range none.
O033348,C00806,P0026,2024-05-27,16,288.57,Central,Article manage beautiful we most assume.
O033349,C00652,P0013,2024-07-13,13,337.82,Central,Provide produce range husband data finally.
O033350,C00176,P0098,2024-01-03,6,454.1,East,Value let produce person.
O033351,C00526,P0070,2023-11-09,15,62.44,West,Prevent seek bar including off.
O033352,C00598,P0093,2025-04-01,19,32.38,South,Catch Mrs throw suggest health some.
O033353,C00968,P0082,2025-04-04,12,114.08,North,Feeling whole sell interview dark success.
O033354,C00355,P0025,2023-11-19,14,379.98,West,Step trial cell approach kitchen.
O033355,C00704,P0019,2024-09-18,7,426.45,West,Voice team already city art third in smile.
O033356,C00393,P0039,2025-02-19,13,159.32,South,Stuff me idea paper people.
O033357,C00453,P0012,2023-07-20,17,323.23,Central,Dinner than professional pattern health available part.
O033358,C00168,P0060,2023-11-17,2,236.57,Central,Camera century wait some on view exactly.
O033359,C00967,P0015,2023-09-19,5,337.97,North,Program here source seek.
O033360,C00111,P0037,2023-10-05,9,282.67,East,Key fund line subject responsibility.
O033361,C00836,P0069,2024-01-30,17,379.4,South,Run speech skill behavior present.
O033362,C00946,P0062,2024-10-25,15,487.02,East,Impact detail might pass his share.
O033363,C00504,P0065,2024-07-31,4,190.56,East,Word movie newspaper that put phone raise.
O033364,C00081,P0027,2025-04-19,1,55.2,North,Soldier without court people safe above news.
O033365,C00025,P0070,2024-10-01,11,205.77,East,World boy protect energy make after girl kid.
O033366,C00583,P0093,2024-04-15,9,445.0,West,Those suddenly house season hope it serious.
O033367,C00314,P0020,2025-04-13,15,352.67,East,Animal performance fish environment.
O033368,C00531,P0019,2025-03-10,16,33.05,West,Sport popular them system special.
O033369,C00503,P0067,2025-05-25,11,445.9,East,Price born make south.
O033370,C00615,P0054,2024-03-05,15,470.82,North,Before country mother paper involve security happy better.
O033371,C00669,P0040,2023-07-26,10,384.68,North,Claim exactly after address professor next ok.
O033372,C00972,P0004,2025-01-16,8,128.87,North,Thousand glass lawyer.
O033373,C00787,P0033,2025-01-31,6,357.96,Central,He actually without call home large year.
O033374,C00474,P0040,2023-08-25,12,402.55,West,Name foot common.
O033375,C00816,P0042,2024-12-22,4,427.53,North,Message light population and sound lawyer.
O033376,C00857,P0004,2024-04-26,1,207.15,Central,Break wonder certainly nothing today such.
O033377,C00359,P0053,2023-10-06,12,34.72,East,Manager teacher compare.
O033378,C00449,P0001,2025-06-01,14,298.85,Central,South available gas vote front sometimes.
O033379,C00955,P0061,2025-03-01,18,259.71,North,Too stuff five mouth win nor four.
O033380,C00163,P0026,2025-06-21,8,327.86,Central,Likely carry those vote art senior win.
O033381,C00124,P0091,2024-12-31,17,186.14,East,Accept ok region big drug figure.
O033382,C00957,P0065,2024-08-26,5,420.51,Central,Participant everything child might.
O033383,C00362,P0082,2024-04-06,15,485.68,Central,Common require participant total which.
O033384,C00917,P0023,2023-09-16,13,33.9,West,Various time sort.
O033385,C00925,P0033,2024-07-28,15,170.62,West,Wait article but up focus these management he.
O033386,C00332,P0094,2024-02-01,15,107.02,East,Really attention candidate whole teach box many.
O033387,C00473,P0081,2024-01-26,19,368.8,North,Agreement various sit determine.
O033388,C00958,P0077,2025-01-22,6,448.75,Central,Relate watch something sit.
O033389,C00814,P0004,2025-01-10,18,57.43,East,Any as strong opportunity quite.
O033390,C00974,P0067,2024-04-05,4,430.26,West,Subject us American tough perhaps.
O033391,C00178,P0045,2024-04-24,12,253.47,South,Mention very mission since Mrs black.
O033392,C00074,P0022,2024-05-13,16,117.28,East,National if eat public there science.
O033393,C00716,P0016,2024-05-23,5,189.9,West,Item collection difficult window.
O033394,C00729,P0009,2025-03-19,14,409.22,Central,Vote democratic so.
O033395,C00121,P0091,2024-12-02,10,81.52,North,Believe last business quite story.
O033396,C00647,P0034,2025-03-06,17,64.5,Central,Eye again more senior edge music.
O033397,C00878,P0016,2025-04-17,13,383.4,East,Tend threat until million six would.
O033398,C00721,P0046,2024-08-31,18,92.52,Central,Them scientist conference official.
O033399,C00986,P0100,2024-06-25,18,289.53,Central,Another certainly music east stuff hair.
O033400,C00780,P0001,2024-03-25,10,81.86,South,Spring myself something where.
O033401,C00352,P0068,2024-09-10,11,68.98,North,International live serious.
O033402,C00176,P0074,2023-09-08,18,96.75,South,Night front shake various try determine itself other.
O033403,C00564,P0009,2025-06-01,4,457.46,Central,Produce fact base necessary now know.
O033404,C00361,P0006,2024-12-11,7,42.96,Central,Student window grow entire heavy my.
O033405,C00173,P0093,2024-05-31,14,182.42,Central,Suggest learn form peace friend allow poor eat.
O033406,C00946,P0001,2024-01-01,2,296.8,South,Stage focus training stock computer election trade.
O033407,C00237,P0085,2024-09-02,9,60.94,South,Feel artist blue star business reduce leader.
O033408,C00596,P0085,2024-03-28,2,266.74,West,Plant have wrong current.
O033409,C00555,P0041,2023-07-31,4,413.49,Central,That including popular apply.
O033410,C00954,P0091,2024-02-28,8,176.86,East,Relationship usually threat today easy kind.
O033411,C00402,P0046,2025-01-26,5,418.7,West,Middle carry teach early region fire truth indeed.
O033412,C00349,P0002,2024-12-01,11,291.58,Central,System affect pass power break star around type.
O033413,C00178,P0020,2023-12-10,4,31.03,South,Fish including return church live professor pull.
O033414,C00135,P0022,2025-02-18,2,361.56,North,Peace nothing really sign his.
O033415,C00969,P0062,2025-05-16,10,253.86,Central,Energy me arrive management box garden.
O033416,C00825,P0057,2024-12-21,16,440.99,Central,Start question public common six.
O033417,C00549,P0086,2025-04-25,5,490.67,East,Involve huge strategy important.
O033418,C00319,P0032,2024-01-22,18,255.97,East,Magazine coach heart responsibility.
O033419,C00129,P0029,2023-11-05,14,390.7,East,Many store beat state all.
O033420,C00246,P0061,2025-04-06,17,24.82,South,Determine campaign itself attorney serious.
O033421,C00871,P0098,2024-12-14,2,123.91,East,Degree media especially building town.
O033422,C00188,P0006,2025-01-22,11,222.06,North,Run they help American garden item.
O033423,C00268,P0054,2024-06-29,4,411.94,West,Black us deal become every time.
O033424,C00296,P0042,2025-03-29,17,124.79,South,Write grow responsibility hour factor part.
O033425,C00816,P0087,2024-04-05,1,222.76,South,When despite affect pretty team recognize because.
O033426,C00109,P0048,2024-02-02,4,175.37,West,Own total clear back beyond order career.
O033427,C00716,P0043,2025-05-26,7,471.43,South,Plant movement cost land enjoy.
O033428,C00798,P0009,2024-08-28,8,383.16,West,High along management image.
O033429,C00232,P0043,2024-09-09,7,403.59,South,Activity how argue quickly nice rather.
O033430,C00127,P0090,2025-03-26,10,135.26,Central,Manage building send mother whether.
O033431,C00402,P0020,2024-05-20,13,451.01,East,Exist sell performance training husband.
O033432,C00270,P0080,2024-09-23,6,478.12,Central,Red catch dog though want.
O033433,C00996,P0008,2023-07-07,7,235.83,West,Citizen morning face newspaper particular quite from.
O033434,C00453,P0043,2024-03-22,13,265.46,South,Place series year human.
O033435,C00157,P0095,2024-12-16,18,333.97,West,Account loss quite edge require.
O033436,C00411,P0044,2025-05-17,4,30.21,North,Yet worry camera cell speech everyone year himself.
O033437,C00931,P0045,2025-03-27,19,79.7,Central,Want others gas short deal bag fund.
O033438,C00279,P0040,2023-08-02,5,90.6,Central,School five seven foreign affect room later task.
O033439,C00810,P0065,2023-09-16,13,142.2,North,Crime question huge travel choose lot.
O033440,C00938,P0031,2023-11-19,17,177.99,East,Here answer nor choose.
O033441,C00975,P0020,2023-08-09,7,101.16,South,Hit ability term everything provide of century.
O033442,C00899,P0091,2025-02-15,19,300.77,South,Writer like should professional expert civil.
O033443,C00995,P0009,2025-03-30,6,137.7,Central,Other air reduce first street water south.
O033444,C00869,P0004,2024-11-02,14,108.1,Central,Century assume trip area book.
O033445,C00151,P0064,2025-01-09,8,309.72,South,Little employee water agreement care court family.
O033446,C00050,P0008,2023-10-04,9,288.54,Central,Improve bank tonight win least teacher.
O033447,C00268,P0020,2023-10-12,13,475.73,North,Often technology win trip road talk common.
O033448,C00277,P0094,2023-11-30,15,474.95,Central,Next should course note ask five black.
O033449,C00348,P0026,2024-06-02,13,449.04,Central,Fine food blood much two his today.
O033450,C00837,P0074,2024-12-06,2,88.46,South,Life speech remember between fact not.
O033451,C00229,P0058,2024-11-22,3,69.18,South,Everything building head who.
O033452,C00799,P0057,2025-06-22,14,188.6,East,Something sport discover image name.
O033453,C00428,P0044,2024-04-04,10,147.32,North,Number hundred help quality your until.
O033454,C00536,P0031,2023-11-15,6,201.37,West,Miss structure recently win.
O033455,C00950,P0091,2023-10-05,4,247.02,Central,Within in act anyone important especially box theory.
