employee_id,employee_name,hire_date,position
1,Employee_1,2023-04-19,Cashier
2,Employee_2,2022-06-05,Cashier
3,Employee_3,2023-07-19,Server
4,Employee_4,2023-01-30,Cashier
5,Employee_5,2023-08-03,Manager
6,Employee_6,2023-08-02,Cashier
7,Employee_7,2022-05-03,Server
8,Employee_8,2023-11-17,Cashier
9,Employee_9,2022-03-31,Server
10,Employee_10,2022-06-25,Manager
11,Employee_11,2021-11-11,Server
12,Employee_12,2021-11-18,Manager
13,Employee_13,2024-08-23,Cashier
14,Employee_14,2022-01-27,Manager
15,Employee_15,2024-08-06,Server
16,Employee_16,2022-09-26,Cashier
17,Employee_17,2024-06-22,Server
18,Employee_18,2024-04-13,Manager
19,Employee_19,2024-04-20,Manager
20,Employee_20,2022-05-28,Manager
21,Employee_21,2023-06-20,Cashier
22,Employee_22,2023-01-02,Manager
23,Employee_23,2022-10-20,Cashier
24,Employee_24,2022-03-03,Server
25,Employee_25,2024-02-26,Cashier
26,Employee_26,2023-12-13,Server
27,Employee_27,2021-11-05,Cashier
28,Employee_28,2024-09-07,Server
29,Employee_29,2022-09-28,Cashier
30,Employee_30,2022-10-02,Manager
31,Employee_31,2023-05-23,Server
32,Employee_32,2024-04-03,Cashier
33,Employee_33,2022-09-12,Server
34,Employee_34,2023-03-11,Server
35,Employee_35,2023-04-23,Server
36,Employee_36,2024-03-14,Cashier
37,Employee_37,2023-07-29,Manager
38,Employee_38,2023-02-08,Manager
39,Employee_39,2024-08-31,Cashier
40,Employee_40,2023-02-21,Server
41,Employee_41,2022-02-04,Manager
42,Employee_42,2022-09-08,Cashier
43,Employee_43,2022-09-10,Cashier
44,Employee_44,2022-10-28,Manager
45,Employee_45,2024-02-24,Manager
46,Employee_46,2024-09-15,Cashier
47,Employee_47,2024-04-06,Cashier
48,Employee_48,2024-03-07,Cashier
49,Employee_49,2022-07-23,Manager
50,Employee_50,2022-08-03,Cashier
51,Employee_51,2024-09-09,Manager
52,Employee_52,2021-11-05,Server
53,Employee_53,2021-11-07,Cashier
54,Employee_54,2022-12-21,Cashier
55,Employee_55,2023-09-29,Cashier
56,Employee_56,2023-11-13,Cashier
57,Employee_57,2024-07-06,Cashier
58,Employee_58,2024-02-22,Cashier
59,Employee_59,2023-12-12,Server
60,Employee_60,2023-12-07,Manager
61,Employee_61,2022-02-07,Cashier
62,Employee_62,2024-06-06,Server
63,Employee_63,2023-07-09,Server
64,Employee_64,2023-04-08,Cashier
65,Employee_65,2022-02-20,Cashier
66,Employee_66,2023-01-08,Manager
67,Employee_67,2022-02-08,Manager
68,Employee_68,2023-12-17,Server
69,Employee_69,2022-09-08,Manager
70,Employee_70,2024-07-25,Server
71,Employee_71,2021-12-25,Server
72,Employee_72,2023-08-26,Cashier
73,Employee_73,2022-09-10,Server
74,Employee_74,2023-03-16,Manager
75,Employee_75,2022-09-08,Cashier
76,Employee_76,2024-03-17,Manager
77,Employee_77,2023-07-24,Cashier
78,Employee_78,2022-03-11,Cashier
79,Employee_79,2022-03-29,Manager
80,Employee_80,2022-10-07,Cashier
81,Employee_81,2022-04-14,Manager
82,Employee_82,2022-09-06,Server
83,Employee_83,2023-08-18,Server
84,Employee_84,2022-02-23,Manager
85,Employee_85,2023-11-20,Server
86,Employee_86,2024-09-29,Cashier
87,Employee_87,2022-01-09,Server
88,Employee_88,2022-12-18,Cashier
89,Employee_89,2021-11-18,Cashier
90,Employee_90,2024-07-01,Manager
91,Employee_91,2022-11-28,Manager
92,Employee_92,2024-07-22,Server
93,Employee_93,2024-02-19,Manager
94,Employee_94,2024-04-04,Cashier
95,Employee_95,2023-04-15,Cashier
96,Employee_96,2023-10-05,Cashier
97,Employee_97,2023-12-31,Manager
98,Employee_98,2023-11-20,Cashier
99,Employee_99,2024-01-21,Server
100,Employee_100,2022-11-20,Manager
101,Employee_101,2022-10-01,Manager
102,Employee_102,2022-08-26,Manager
103,Employee_103,2022-03-29,Cashier
104,Employee_104,2022-09-23,Manager
105,Employee_105,2024-04-30,Manager
106,Employee_106,2023-03-28,Cashier
107,Employee_107,2023-04-02,Server
108,Employee_108,2022-02-16,Manager
109,Employee_109,2024-05-21,Manager
110,Employee_110,2024-01-26,Manager
111,Employee_111,2022-06-03,Cashier
112,Employee_112,2023-07-31,Cashier
113,Employee_113,2022-11-24,Server
114,Employee_114,2021-11-02,Manager
115,Employee_115,2022-01-16,Server
116,Employee_116,2023-10-24,Manager
117,Employee_117,2024-10-01,Server
118,Employee_118,2021-11-12,Server
119,Employee_119,2024-01-07,Manager
120,Employee_120,2022-11-05,Server
121,Employee_121,2024-10-16,Manager
122,Employee_122,2022-12-22,Server
123,Employee_123,2023-12-29,Server
124,Employee_124,2022-03-21,Manager
125,Employee_125,2024-08-16,Server
126,Employee_126,2023-02-04,Server
127,Employee_127,2024-05-08,Cashier
128,Employee_128,2022-11-13,Manager
129,Employee_129,2023-04-28,Manager
130,Employee_130,2022-05-19,Server
131,Employee_131,2022-06-03,Cashier
132,Employee_132,2023-08-25,Cashier
133,Employee_133,2022-12-20,Cashier
134,Employee_134,2022-01-06,Cashier
135,Employee_135,2022-05-27,Manager
136,Employee_136,2022-05-14,Server
