account_id,district_id,frequency,Date,Account_type,Card_Assigned
1573,63,MONTHLY ISSUANCE,2020-12-29,Savings account,Silver
3276,1,MONTHLY ISSUANCE,2020-12-29,Salary account,Silver
124,55,MONTHLY ISSUANCE,2020-12-28,Salary account,Silver
3958,59,MONTHLY ISSUANCE,2020-12-28,NRI account,Silver
777,30,MONTHLY ISSUANCE,2020-12-28,Savings account,Silver
3025,25,MONTHLY ISSUANCE,2020-12-27,Salary account,Silver
906,59,MONTHLY ISSUANCE,2020-12-27,NRI account,Silver
845,14,MONTHLY ISSUANCE,2020-12-27,Savings account,Silver
3048,74,WEEKLY ISSUANCE,2020-12-26,Salary account,Diamond
1983,54,MONTHLY ISSUANCE,2020-12-25,NRI account,Silver
727,35,MONTHLY ISSUANCE,2020-12-25,NRI account,Silver
4332,74,MONTHLY ISSUANCE,2020-12-23,NRI account,Silver
564,5,MONTHLY ISSUANCE,2020-12-23,NRI account,Silver
3934,6,MONTHLY ISSUANCE,2020-12-23,NRI account,Silver
1318,56,MONTHLY ISSUANCE,2020-12-22,Salary account,Silver
889,43,MONTHLY ISSUANCE,2020-12-22,NRI account,Silver
3385,1,MONTHLY ISSUANCE,2020-12-21,Salary account,Silver
703,54,MONTHLY ISSUANCE,2020-12-21,Savings account,Silver
1177,27,MONTHLY ISSUANCE,2020-12-20,Salary account,Silver
246,65,MONTHLY ISSUANCE,2020-12-20,Salary account,Silver
1171,18,MONTHLY ISSUANCE,2020-12-20,NRI account,Silver
3187,59,MONTHLY ISSUANCE,2020-12-20,Salary account,Silver
2791,25,MONTHLY ISSUANCE,2020-12-19,Savings account,Silver
3169,19,MONTHLY ISSUANCE,2020-12-19,Savings account,Silver
2049,67,MONTHLY ISSUANCE,2020-12-19,Savings account,Silver
758,51,MONTHLY ISSUANCE,2020-12-19,Salary account,Silver
2440,19,MONTHLY ISSUANCE,2020-12-18,NRI account,Silver
1186,64,MONTHLY ISSUANCE,2020-12-17,NRI account,Silver
3911,32,MONTHLY ISSUANCE,2020-12-16,Salary account,Silver
3992,43,MONTHLY ISSUANCE,2020-12-16,Savings account,Silver
579,1,MONTHLY ISSUANCE,2020-12-16,NRI account,Silver
2892,64,MONTHLY ISSUANCE,2020-12-16,Savings account,Silver
3616,50,MONTHLY ISSUANCE,2020-12-15,NRI account,Silver
938,70,MONTHLY ISSUANCE,2020-12-13,Savings account,Silver
3501,36,MONTHLY ISSUANCE,2020-12-13,Salary account,Silver
2820,36,MONTHLY ISSUANCE,2020-12-11,NRI account,Silver
3033,69,MONTHLY ISSUANCE,2020-12-10,NRI account,Silver
3174,65,MONTHLY ISSUANCE,2020-12-10,Savings account,Silver
134,34,MONTHLY ISSUANCE,2020-12-10,Salary account,Silver
1229,46,MONTHLY ISSUANCE,2020-12-10,Salary account,Silver
3209,45,MONTHLY ISSUANCE,2020-12-10,Salary account,Silver
1072,65,MONTHLY ISSUANCE,2020-12-09,NRI account,Silver
1156,59,MONTHLY ISSUANCE,2020-12-09,Salary account,Silver
3836,68,MONTHLY ISSUANCE,2020-12-09,Salary account,Silver
3013,73,MONTHLY ISSUANCE,2020-12-09,NRI account,Silver
673,31,MONTHLY ISSUANCE,2020-12-08,Savings account,Silver
3406,53,MONTHLY ISSUANCE,2020-12-08,Salary account,Silver
2796,5,WEEKLY ISSUANCE,2020-12-08,Salary account,Diamond
2775,30,MONTHLY ISSUANCE,2020-12-08,Savings account,Silver
276,38,MONTHLY ISSUANCE,2020-12-08,Savings account,Silver
315,45,MONTHLY ISSUANCE,2020-12-08,NRI account,Silver
3722,76,MONTHLY ISSUANCE,2020-12-07,Salary account,Silver
736,75,MONTHLY ISSUANCE,2020-12-07,Salary account,Silver
2787,1,MONTHLY ISSUANCE,2020-12-07,NRI account,Silver
21,54,MONTHLY ISSUANCE,2020-12-06,Salary account,Silver
1650,39,MONTHLY ISSUANCE,2020-12-06,Savings account,Silver
800,11,MONTHLY ISSUANCE,2020-12-06,Savings account,Silver
3415,75,MONTHLY ISSUANCE,2020-12-06,NRI account,Silver
2918,15,ISSUANCE AFTER TRANSACTION,2020-12-05,NRI account,Gold
4140,28,MONTHLY ISSUANCE,2020-12-05,NRI account,Silver
1960,31,MONTHLY ISSUANCE,2020-12-04,NRI account,Silver
1049,18,MONTHLY ISSUANCE,2020-12-04,NRI account,Silver
298,35,MONTHLY ISSUANCE,2020-12-02,Savings account,Silver
1717,67,MONTHLY ISSUANCE,2020-12-02,NRI account,Silver
10005,64,MONTHLY ISSUANCE,2020-11-29,Salary account,Silver
4386,51,WEEKLY ISSUANCE,2020-11-29,Salary account,Diamond
1868,16,WEEKLY ISSUANCE,2020-11-29,Savings account,Diamond
