card_id,disp_id,type,issued
1005,9285,Gold,2016-10-31
104,588,Gold,2016-12-31
747,4915,Gold,2017-01-31
70,439,Gold,2017-01-31
577,3687,Gold,2017-01-31
377,2429,Gold,2017-02-28
721,4680,Silver,2017-03-31
437,2762,Gold,2017-05-31
188,1146,Gold,2017-05-31
13,87,Gold,2017-05-31
732,4763,Gold,2017-06-30
181,1066,Gold,2017-07-31
384,2475,Silver,2017-08-31
309,1946,Gold,2017-08-31
478,3084,Gold,2017-09-30
563,3589,Gold,2017-09-30
369,2363,Gold,2017-10-31
376,2428,Gold,2017-10-31
483,3115,Gold,2017-10-31
174,1039,Silver,2017-11-30
658,4251,Gold,2017-11-30
763,5138,Silver,2017-11-30
778,5275,Gold,2017-12-31
1039,9837,Gold,2017-12-31
477,3082,Silver,2017-12-31
168,1018,Gold,2017-12-31
314,1999,Silver,2017-12-31
468,3023,Gold,2017-12-31
208,1246,Diamond,2018-01-31
766,5200,Gold,2018-01-31
464,2984,Gold,2018-01-31
497,3184,Gold,2018-02-28
166,999,Gold,2018-02-28
15,114,Gold,2018-02-28
503,3225,Gold,2018-02-28
1038,9787,Silver,2018-02-28
737,4791,Gold,2018-03-31
418,2623,Gold,2018-03-31
759,5117,Silver,2018-03-31
223,1353,Gold,2018-03-31
5,51,Silver,2018-03-31
159,946,Gold,2018-04-30
1223,13231,Silver,2018-04-30
662,4293,Gold,2018-04-30
779,5323,Silver,2018-04-30
1040,9890,Silver,2018-04-30
545,3458,Gold,2018-04-30
467,3019,Gold,2018-05-31
1247,13660,Gold,2018-05-31
652,4211,Gold,2018-05-31
559,3573,Gold,2018-05-31
719,4663,Gold,2018-05-31
397,2513,Gold,2018-05-31
107,593,Gold,2018-05-31
661,4270,Gold,2018-06-30
484,3116,Gold,2018-06-30
501,3197,Gold,2018-06-30
422,2650,Silver,2018-06-30
705,4555,Gold,2018-06-30
410,2569,Gold,2018-06-30
136,778,Gold,2018-06-30
592,3782,Silver,2018-07-31
262,1647,Silver,2018-07-31
18,128,Gold,2018-07-31
3,41,Diamond,2018-08-31
98,537,Gold,2018-08-31
167,1011,Gold,2018-08-31
97,531,Silver,2018-08-31
699,4532,Gold,2018-08-31
342,2157,Gold,2018-08-31
713,4627,Gold,2018-08-31
118,652,Gold,2018-09-30
783,5433,Silver,2018-09-30
1103,11189,Gold,2018-10-31
504,3230,Silver,2018-10-31
261,1629,Diamond,2018-10-31
296,1876,Diamond,2018-10-31
113,629,Silver,2018-10-31
92,508,Gold,2018-10-31
1225,13268,Gold,2018-10-31
393,2498,Silver,2018-11-30
695,4507,Gold,2018-11-30
666,4328,Silver,2018-11-30
462,2978,Gold,2018-11-30
85,489,Gold,2018-11-30
337,2141,Gold,2018-12-31
771,5233,Gold,2018-12-31
379,2431,Gold,2018-12-31
106,592,Gold,2018-12-31
606,3883,Gold,2018-12-31
427,2688,Diamond,2018-12-31
202,1228,Gold,2019-01-31
814,5911,Gold,2019-01-31
1064,10328,Gold,2019-01-31
14,112,Gold,2019-01-31
423,2657,Gold,2019-01-31
989,9119,Gold,2019-01-31
364,2329,Gold,2019-01-31
267,1691,Silver,2019-02-28
621,3970,Silver,2019-02-28
1139,11836,Silver,2019-02-28
725,4715,Silver,2019-02-28
150,859,Gold,2019-02-28
302,1900,Gold,2019-02-28
372,2395,Gold,2019-02-28
499,3187,Gold,2019-03-31
229,1384,Gold,2019-03-31
289,1831,Silver,2019-03-31
1100,11101,Silver,2019-03-31
37,238,Gold,2019-03-31
286,1812,Diamond,2019-03-31
157,907,Gold,2019-03-31
216,1310,Silver,2019-03-31
977,8968,Gold,2019-04-30
183,1080,Gold,2019-04-30
945,8342,Silver,2019-04-30
44,268,Silver,2019-04-30
600,3829,Gold,2019-04-30
