loan_id,account_id,Date,amount,duration,payments,status
5314,1787,2016-07-05,96396,12,8033,Loan not payed
5316,1801,2016-07-11,165960,36,4610,Contract Finished
6863,9188,2016-07-28,127080,60,2118,Contract Finished
5325,1843,2016-08-03,105804,36,2939,Contract Finished
7240,11013,2016-09-06,274740,60,4579,Contract Finished
6687,8261,2016-09-13,87840,24,3660,Contract Finished
7284,11265,2016-09-15,52788,12,4399,Contract Finished
6111,5428,2016-09-24,174744,24,7281,Loan not payed
7235,10973,2016-10-13,154416,48,3217,Contract Finished
5997,4894,2016-11-04,117024,24,4876,Contract Finished
7121,10364,2016-11-10,21924,36,609,Contract Finished
6077,5270,2016-11-22,79608,24,3317,Contract Finished
6228,6034,2016-12-01,464520,60,7742,Loan not payed
6356,6701,2016-12-08,95400,36,2650,Contract Finished
5523,2705,2016-12-08,93888,36,2608,Contract Finished
6456,7123,2016-12-09,47016,12,3918,Contract Finished
7104,10320,2016-12-13,259740,60,4329,Contract Finished
6820,9034,2016-12-16,38148,12,3179,Contract Finished
6876,9236,2016-12-21,86616,12,7218,Contract Finished
7097,10266,2016-12-23,75624,24,3151,Loan not payed
4959,2,2017-01-05,80952,24,3373,Contract Finished
6499,7401,2017-01-05,80952,24,3373,Contract Finished
5479,2486,2017-01-10,24516,12,2043,Contract Finished
5170,1071,2017-01-20,253200,60,4220,Running Contract
6721,8475,2017-01-21,21072,24,878,Contract Finished
7259,11111,2017-01-31,108144,36,3004,Contract Finished
5285,1603,2017-02-06,78936,12,6578,Contract Finished
5189,1166,2017-02-07,149040,48,3105,Contract Finished
6650,8073,2017-02-17,49320,12,4110,Loan not payed
7226,10940,2017-02-23,197748,36,5493,Contract Finished
6087,5313,2017-02-27,300660,60,5011,Running Contract
7262,11135,2017-03-01,182628,36,5073,Contract Finished
5519,2694,2017-03-08,91632,12,7636,Contract Finished
6577,7753,2017-03-11,51696,24,2154,Contract Finished
6509,7445,2017-03-15,55368,24,2307,Contract Finished
6520,7485,2017-03-16,91200,24,3800,Contract Finished
6699,8330,2017-03-30,7656,24,319,Contract Finished
6336,6555,2017-03-31,212400,36,5900,Contract Finished
7055,10079,2017-04-06,167100,60,2785,Running Contract
6103,5385,2017-04-07,149340,60,2489,Running Contract
6202,5891,2017-04-18,65184,12,5432,Contract Finished
7066,10131,2017-05-02,215388,36,5983,Loan not payed
6696,8321,2017-05-09,89040,60,1484,Running Contract
6072,5256,2017-05-10,193968,36,5388,Contract Finished
5130,813,2017-05-11,24312,12,2026,Contract Finished
5568,2933,2017-05-17,272520,60,4542,Running Contract
6678,8173,2017-05-20,80340,12,6695,Contract Finished
6998,9833,2017-05-21,97632,12,8136,Contract Finished
6580,7769,2017-05-22,196080,48,4085,Contract Finished
6316,6473,2017-05-26,76908,12,6409,Loan not payed
6512,7454,2017-05-26,63312,48,1319,Contract Finished
6407,6930,2017-05-26,25944,24,1081,Contract Finished
5002,173,2017-05-31,104808,12,8734,Contract Finished
6647,8051,2017-06-01,208320,48,4340,Contract Finished
7137,10439,2017-06-03,151560,24,6315,Contract Finished
