atomicconsents,data,originregion,requestid,serialnumber,source_file_name,event_local_timestamp
1f080018,"{""coolingSequenceFailure"":0,""startTemp1"":20,""puffCount"":8,""noStickConductanceCount"":null,""startTemp2"":20,""firstDeltaScurveConductance"":445,""DCDCVoltageVariation"":null,""lastCalibrationTime"":null,""noStickConductanceRef"":null,""totalPuffVolume"":null,""pauseProfile"":null,""endBatteryGaugeLevel"":68,""applicationVersion"":""100.15.1"",""endMCUtemperature"":null,""RFU"":null,""endEngineSupplyVoltage"":97,""calibrationDuration"":21,""controlInternalResistorIndicator"":0,""controlEndBatteryVoltage"":101,""authenticationCode"":null,""firstHillConductance"":3922,""appPatchLevel"":1,""startBatteryGaugeLevel"":100,""index"":404,""commonIndex"":null,""heatingEnergy"":845,""pauseTimeStamp"":0,""controlCommonIndex"":null,""startBatteryVoltage"":null,""internalResistorIndicator"":14,""batteryVoltageVariation"":null,""endDCDCVoltage"":null,""maximumDeltaSvariation"":3,""appMajorVersion"":100,""recordSize"":77,""pauseEnergy"":0,""firstValleyConductance"":3481,""recordFormatVersion"":11,""stickExtractionDuration"":null,""endConductance"":null,""driftCompensationError"":36,""controlStopReason"":3,""recordIndex"":404,""startDCDCVoltage"":null,""startConductance"":3976,""appMinorVersion"":15,""hotAlarmTreated"":0,""validScurveDetected"":2,""crc"":null,""calibrationPulseFailure"":0,""controlEndTemperature2"":45,""lastValleyConductance"":3516,""startTime"":1678958812,""preheatSlopeTime"":44,""maximumDeltaSdurationVariation"":null,""lastDeltaScurveConductance"":461,""controlStartTemperature2"":22,""energyToFirstValley"":null,""engineFlags"":null,""startEngineSupplyVoltage"":103,""expCredit"":2,""maximumStickDetectionRatio"":null,""controlStartBatteryVoltage"":107,""engineSupplyVoltageVariation"":19,""endBatteryVoltage"":null,""firstHFpulsesEnergy"":null,""heatingDuration"":180,""pauseDuration"":0,""puffs"":[{""duration"":2,""startTime"":11,""energy"":3},{""duration"":2,""startTime"":20,""energy"":0},{""duration"":3,""startTime"":30,""energy"":0},{""duration"":3,""startTime"":44,""energy"":0},{""duration"":3,""startTime"":62,""energy"":0},{""duration"":3,""startTime"":81,""energy"":0},{""duration"":3,""startTime"":113,""energy"":1},{""duration"":2,""startTime"":148,""energy"":1}],""outOfRangeRegulation"":0,""startReason"":1,""lastMediaDetectionConductance"":null,""puffCountBeforePause"":null,""heatingProfile"":1414541876,""controlFlags"":null,""powerFrequency"":null,""endTemp1"":52,""endTemp2"":59,""puffVolumeAfter14Puffs"":null,""SKU"":8,""startMCUtemperature"":null,""puffCountAfterPause"":null,""engineStopReason"":3}",eu-west-1,8d4a4525-107e-4b11-93af-541961ac1296__USAGE,0x00320055000400407BE8,iotv2_prd_euexperience00320055_001_2024-02-10-04-07-37-912_utc_dl.csv,"2/10/2024, 9:40:09 AM"
1f080018,"{""coolingSequenceFailure"":0,""startTemp1"":18,""puffCount"":10,""noStickConductanceCount"":null,""startTemp2"":18,""firstDeltaScurveConductance"":405,""DCDCVoltageVariation"":null,""lastCalibrationTime"":null,""noStickConductanceRef"":null,""totalPuffVolume"":null,""pauseProfile"":null,""endBatteryGaugeLevel"":70,""applicationVersion"":""100.15.1"",""endMCUtemperature"":null,""RFU"":null,""endEngineSupplyVoltage"":94,""calibrationDuration"":20,""controlInternalResistorIndicator"":0,""controlEndBatteryVoltage"":101,""authenticationCode"":null,""firstHillConductance"":3842,""appPatchLevel"":1,""startBatteryGaugeLevel"":100,""index"":405,""commonIndex"":null,""heatingEnergy"":812,""pauseTimeStamp"":0,""controlCommonIndex"":null,""startBatteryVoltage"":null,""internalResistorIndicator"":16,""batteryVoltageVariation"":null,""endDCDCVoltage"":null,""maximumDeltaSvariation"":0,""appMajorVersion"":100,""recordSize"":81,""pauseEnergy"":0,""firstValleyConductance"":3434,""recordFormatVersion"":11,""stickExtractionDuration"":null,""endConductance"":null,""driftCompensationError"":41,""controlStopReason"":0,""recordIndex"":405,""startDCDCVoltage"":null,""startConductance"":3953,""appMinorVersion"":15,""hotAlarmTreated"":0,""validScurveDetected"":2,""crc"":null,""calibrationPulseFailure"":0,""controlEndTemperature2"":40,""lastValleyConductance"":3483,""startTime"":1678962202,""preheatSlopeTime"":47,""maximumDeltaSdurationVariation"":null,""lastDeltaScurveConductance"":406,""controlStartTemperature2"":20,""energyToFirstValley"":null,""engineFlags"":null,""startEngineSupplyVoltage"":103,""expCredit"":2,""maximumStickDetectionRatio"":null,""controlStartBatteryVoltage"":107,""engineSupplyVoltageVariation"":20,""endBatteryVoltage"":null,""firstHFpulsesEnergy"":null,""heatingDuration"":171,""pauseDuration"":0,""puffs"":[{""duration"":2,""startTime"":22,""energy"":0},{""duration"":2,""startTime"":45,""energy"":0},{""duration"":3,""startTime"":55,""energy"":0},{""duration"":3,""startTime"":68,""energy"":0},{""duration"":3,""startTime"":82,""energy"":0},{""duration"":3,""startTime"":105,""energy"":0},{""duration"":3,""startTime"":124,""energy"":1},{""duration"":3,""startTime"":137,""energy"":1},{""duration"":2,""startTime"":155,""energy"":1},{""duration"":2,""startTime"":169,""energy"":1}],""outOfRangeRegulation"":0,""startReason"":1,""lastMediaDetectionConductance"":null,""puffCountBeforePause"":null,""heatingProfile"":1414541876,""controlFlags"":null,""powerFrequency"":null,""endTemp1"":47,""endTemp2"":54,""puffVolumeAfter14Puffs"":null,""SKU"":8,""startMCUtemperature"":null,""puffCountAfterPause"":null,""engineStopReason"":12}",eu-west-1,8d4a4525-107e-4b11-93af-541961ac1296__USAGE,0x00320055000400407BE8,iotv2_prd_euexperience00320055_001_2024-02-10-04-07-37-912_utc_dl.csv,"2/10/2024, 9:40:09 AM"
1f080018,"{""coolingSequenceFailure"":0,""startTemp1"":16,""puffCount"":9,""noStickConductanceCount"":null,""startTemp2"":16,""firstDeltaScurveConductance"":497,""DCDCVoltageVariation"":null,""lastCalibrationTime"":null,""noStickConductanceRef"":null,""totalPuffVolume"":null,""pauseProfile"":null,""endBatteryGaugeLevel"":69,""applicationVersion"":""100.15.1"",""endMCUtemperature"":null,""RFU"":null,""endEngineSupplyVoltage"":97,""calibrationDuration"":20,""controlInternalResistorIndicator"":0,""controlEndBatteryVoltage"":101,""authenticationCode"":null,""firstHillConductance"":3930,""appPatchLevel"":1,""startBatteryGaugeLevel"":100,""index"":406,""commonIndex"":null,""heatingEnergy"":847,""pauseTimeStamp"":0,""controlCommonIndex"":null,""startBatteryVoltage"":null,""internalResistorIndicator"":16,""batteryVoltageVariation"":null,""endDCDCVoltage"":null,""maximumDeltaSvariation"":3,""appMajorVersion"":100,""recordSize"":79,""pauseEnergy"":0,""firstValleyConductance"":3433,""recordFormatVersion"":11,""stickExtractionDuration"":null,""endConductance"":null,""driftCompensationError"":44,""controlStopReason"":0,""recordIndex"":406,""startDCDCVoltage"":null,""startConductance"":3949,""appMinorVersion"":15,""hotAlarmTreated"":0,""validScurveDetected"":2,""crc"":null,""calibrationPulseFailure"":0,""controlEndTemperature2"":48,""lastValleyConductance"":3501,""startTime"":1678964575,""preheatSlopeTime"":47,""maximumDeltaSdurationVariation"":null,""lastDeltaScurveConductance"":481,""controlStartTemperature2"":18,""energyToFirstValley"":null,""engineFlags"":null,""startEngineSupplyVoltage"":102,""expCredit"":2,""maximumStickDetectionRatio"":null,""controlStartBatteryVoltage"":107,""engineSupplyVoltageVariation"":20,""endBatteryVoltage"":null,""firstHFpulsesEnergy"":null,""heatingDuration"":183,""pauseDuration"":0,""puffs"":[{""duration"":2,""startTime"":17,""energy"":0},{""duration"":2,""startTime"":27,""energy"":0},{""duration"":3,""startTime"":38,""energy"":0},{""duration"":3,""startTime"":60,""energy"":0},{""duration"":2,""startTime"":84,""energy"":0},{""duration"":2,""startTime"":96,""energy"":1},{""duration"":2,""startTime"":121,""energy"":1},{""duration"":2,""startTime"":133,""energy"":1},{""duration"":0,""startTime"":164,""energy"":1}],""outOfRangeRegulation"":0,""startReason"":1,""lastMediaDetectionConductance"":null,""puffCountBeforePause"":null,""heatingProfile"":1414541876,""controlFlags"":null,""powerFrequency"":null,""endTemp1"":55,""endTemp2"":62,""puffVolumeAfter14Puffs"":null,""SKU"":8,""startMCUtemperature"":null,""puffCountAfterPause"":null,""engineStopReason"":2}",eu-west-1,8d4a4525-107e-4b11-93af-541961ac1296__USAGE,0x00320055000400407BE8,iotv2_prd_euexperience00320055_001_2024-02-10-04-07-37-912_utc_dl.csv,"2/10/2024, 9:40:09 AM"
1f080018,"{""coolingSequenceFailure"":0,""startTemp1"":19,""puffCount"":8,""noStickConductanceCount"":null,""startTemp2"":18,""firstDeltaScurveConductance"":471,""DCDCVoltageVariation"":null,""lastCalibrationTime"":null,""noStickConductanceRef"":null,""totalPuffVolume"":null,""pauseProfile"":null,""endBatteryGaugeLevel"":69,""applicationVersion"":""100.15.1"",""endMCUtemperature"":null,""RFU"":null,""endEngineSupplyVoltage"":95,""calibrationDuration"":21,""controlInternalResistorIndicator"":0,""controlEndBatteryVoltage"":101,""authenticationCode"":null,""firstHillConductance"":3882,""appPatchLevel"":1,""startBatteryGaugeLevel"":100,""index"":407,""commonIndex"":null,""heatingEnergy"":833,""pauseTimeStamp"":0,""controlCommonIndex"":null,""startBatteryVoltage"":null,""internalResistorIndicator"":14,""batteryVoltageVariation"":null,""endDCDCVoltage"":null,""maximumDeltaSvariation"":3,""appMajorVersion"":100,""recordSize"":77,""pauseEnergy"":0,""firstValleyConductance"":3405,""recordFormatVersion"":11,""stickExtractionDuration"":null,""endConductance"":null,""driftCompensationError"":24,""controlStopReason"":0,""recordIndex"":407,""startDCDCVoltage"":null,""startConductance"":3910,""appMinorVersion"":15,""hotAlarmTreated"":0,""validScurveDetected"":2,""crc"":null,""calibrationPulseFailure"":0,""controlEndTemperature2"":46,""lastValleyConductance"":3459,""startTime"":1678968561,""preheatSlopeTime"":49,""maximumDeltaSdurationVariation"":null,""lastDeltaScurveConductance"":453,""controlStartTemperature2"":20,""energyToFirstValley"":null,""engineFlags"":null,""startEngineSupplyVoltage"":103,""expCredit"":2,""maximumStickDetectionRatio"":null,""controlStartBatteryVoltage"":107,""engineSupplyVoltageVariation"":18,""endBatteryVoltage"":null,""firstHFpulsesEnergy"":null,""heatingDuration"":178,""pauseDuration"":0,""puffs"":[{""duration"":2,""startTime"":17,""energy"":0},{""duration"":3,""startTime"":44,""energy"":0},{""duration"":3,""startTime"":52,""energy"":0},{""duration"":3,""startTime"":74,""energy"":0},{""duration"":2,""startTime"":104,""energy"":1},{""duration"":3,""startTime"":126,""energy"":0},{""duration"":1,""startTime"":161,""energy"":1},{""duration"":2,""startTime"":171,""energy"":0}],""outOfRangeRegulation"":0,""startReason"":1,""lastMediaDetectionConductance"":null,""puffCountBeforePause"":null,""heatingProfile"":1414541876,""controlFlags"":null,""powerFrequency"":null,""endTemp1"":52,""endTemp2"":60,""puffVolumeAfter14Puffs"":null,""SKU"":8,""startMCUtemperature"":null,""puffCountAfterPause"":null,""engineStopReason"":12}",eu-west-1,8d4a4525-107e-4b11-93af-541961ac1296__USAGE,0x00320055000400407BE8,iotv2_prd_euexperience00320055_001_2024-02-10-04-07-37-912_utc_dl.csv,"2/10/2024, 9:40:09 AM"
1f080018,"{""coolingSequenceFailure"":0,""startTemp1"":13,""puffCount"":0,""noStickConductanceCount"":null,""startTemp2"":13,""firstDeltaScurveConductance"":0,""DCDCVoltageVariation"":null,""lastCalibrationTime"":null,""noStickConductanceRef"":null,""totalPuffVolume"":null,""pauseProfile"":null,""endBatteryGaugeLevel"":100,""applicationVersion"":""100.15.1"",""endMCUtemperature"":null,""RFU"":null,""endEngineSupplyVoltage"":95,""calibrationDuration"":0,""controlInternalResistorIndicator"":0,""controlEndBatteryVoltage"":103,""authenticationCode"":null,""firstHillConductance"":5298,""appPatchLevel"":1,""startBatteryGaugeLevel"":100,""index"":408,""commonIndex"":null,""heatingEnergy"":5,""pauseTimeStamp"":0,""controlCommonIndex"":null,""startBatteryVoltage"":null,""internalResistorIndicator"":0,""batteryVoltageVariation"":null,""endDCDCVoltage"":null,""maximumDeltaSvariation"":0,""appMajorVersion"":100,""recordSize"":61,""pauseEnergy"":0,""firstValleyConductance"":0,""recordFormatVersion"":11,""stickExtractionDuration"":null,""endConductance"":null,""driftCompensationError"":0,""controlStopReason"":3,""recordIndex"":408,""startDCDCVoltage"":null,""startConductance"":5209,""appMinorVersion"":15,""hotAlarmTreated"":0,""validScurveDetected"":0,""crc"":null,""calibrationPulseFailure"":1,""controlEndTemperature2"":15,""lastValleyConductance"":0,""startTime"":1679007851,""preheatSlopeTime"":0,""maximumDeltaSdurationVariation"":null,""lastDeltaScurveConductance"":0,""controlStartTemperature2"":14,""energyToFirstValley"":null,""engineFlags"":null,""startEngineSupplyVoltage"":98,""expCredit"":2,""maximumStickDetectionRatio"":null,""controlStartBatteryVoltage"":105,""engineSupplyVoltageVariation"":17,""endBatteryVoltage"":null,""firstHFpulsesEnergy"":null,""heatingDuration"":3,""pauseDuration"":0,""puffs"":[],""outOfRangeRegulation"":0,""startReason"":1,""lastMediaDetectionConductance"":null,""puffCountBeforePause"":null,""heatingProfile"":1414541876,""controlFlags"":null,""powerFrequency"":null,""endTemp1"":16,""endTemp2"":13,""puffVolumeAfter14Puffs"":null,""SKU"":0,""startMCUtemperature"":null,""puffCountAfterPause"":null,""engineStopReason"":3}",eu-west-1,8d4a4525-107e-4b11-93af-541961ac1296__USAGE,0x00320055000400407BE8,iotv2_prd_euexperience00320055_001_2024-02-10-04-07-37-912_utc_dl.csv,"2/10/2024, 9:40:09 AM"
1f080018,"{""coolingSequenceFailure"":0,""startTemp1"":15,""puffCount"":8,""noStickConductanceCount"":null,""startTemp2"":14,""firstDeltaScurveConductance"":473,""DCDCVoltageVariation"":null,""lastCalibrationTime"":null,""noStickConductanceRef"":null,""totalPuffVolume"":null,""pauseProfile"":null,""endBatteryGaugeLevel"":68,""applicationVersion"":""100.15.1"",""endMCUtemperature"":null,""RFU"":null,""endEngineSupplyVoltage"":96,""calibrationDuration"":20,""controlInternalResistorIndicator"":0,""controlEndBatteryVoltage"":100,""authenticationCode"":null,""firstHillConductance"":3941,""appPatchLevel"":1,""startBatteryGaugeLevel"":100,""index"":409,""commonIndex"":null,""heatingEnergy"":856,""pauseTimeStamp"":0,""controlCommonIndex"":null,""startBatteryVoltage"":null,""internalResistorIndicator"":10,""batteryVoltageVariation"":null,""endDCDCVoltage"":null,""maximumDeltaSvariation"":8,""appMajorVersion"":100,""recordSize"":77,""pauseEnergy"":0,""firstValleyConductance"":3458,""recordFormatVersion"":11,""stickExtractionDuration"":null,""endConductance"":null,""driftCompensationError"":46,""controlStopReason"":3,""recordIndex"":409,""startDCDCVoltage"":null,""startConductance"":3991,""appMinorVersion"":15,""hotAlarmTreated"":0,""validScurveDetected"":2,""crc"":null,""calibrationPulseFailure"":0,""controlEndTemperature2"":43,""lastValleyConductance"":3561,""startTime"":1679007894,""preheatSlopeTime"":44,""maximumDeltaSdurationVariation"":null,""lastDeltaScurveConductance"":434,""controlStartTemperature2"":17,""energyToFirstValley"":null,""engineFlags"":null,""startEngineSupplyVoltage"":99,""expCredit"":1,""maximumStickDetectionRatio"":null,""controlStartBatteryVoltage"":104,""engineSupplyVoltageVariation"":15,""endBatteryVoltage"":null,""firstHFpulsesEnergy"":null,""heatingDuration"":182,""pauseDuration"":0,""puffs"":[{""duration"":0,""startTime"":15,""energy"":0},{""duration"":2,""startTime"":27,""energy"":0},{""duration"":3,""startTime"":41,""energy"":0},{""duration"":2,""startTime"":59,""energy"":1},{""duration"":3,""startTime"":91,""energy"":0},{""duration"":3,""startTime"":114,""energy"":1},{""duration"":3,""startTime"":148,""energy"":1},{""duration"":2,""startTime"":171,""energy"":1}],""outOfRangeRegulation"":0,""startReason"":1,""lastMediaDetectionConductance"":null,""puffCountBeforePause"":null,""heatingProfile"":1414541876,""controlFlags"":null,""powerFrequency"":null,""endTemp1"":50,""endTemp2"":57,""puffVolumeAfter14Puffs"":null,""SKU"":8,""startMCUtemperature"":null,""puffCountAfterPause"":null,""engineStopReason"":3}",eu-west-1,8d4a4525-107e-4b11-93af-541961ac1296__USAGE,0x00320055000400407BE8,iotv2_prd_euexperience00320055_001_2024-02-10-04-07-37-912_utc_dl.csv,"2/10/2024, 9:40:09 AM"
1f080018,"{""coolingSequenceFailure"":0,""startTemp1"":18,""puffCount"":8,""noStickConductanceCount"":null,""startTemp2"":18,""firstDeltaScurveConductance"":438,""DCDCVoltageVariation"":null,""lastCalibrationTime"":null,""noStickConductanceRef"":null,""totalPuffVolume"":null,""pauseProfile"":null,""endBatteryGaugeLevel"":69,""applicationVersion"":""100.15.1"",""endMCUtemperature"":null,""RFU"":null,""endEngineSupplyVoltage"":97,""calibrationDuration"":22,""controlInternalResistorIndicator"":0,""controlEndBatteryVoltage"":101,""authenticationCode"":null,""firstHillConductance"":3919,""appPatchLevel"":1,""startBatteryGaugeLevel"":100,""index"":410,""commonIndex"":null,""heatingEnergy"":844,""pauseTimeStamp"":0,""controlCommonIndex"":null,""startBatteryVoltage"":null,""internalResistorIndicator"":13,""batteryVoltageVariation"":null,""endDCDCVoltage"":null,""maximumDeltaSvariation"":3,""appMajorVersion"":100,""recordSize"":77,""pauseEnergy"":0,""firstValleyConductance"":3483,""recordFormatVersion"":11,""stickExtractionDuration"":null,""endConductance"":null,""driftCompensationError"":37,""controlStopReason"":3,""recordIndex"":410,""startDCDCVoltage"":null,""startConductance"":4007,""appMinorVersion"":15,""hotAlarmTreated"":0,""validScurveDetected"":2,""crc"":null,""calibrationPulseFailure"":0,""controlEndTemperature2"":45,""lastValleyConductance"":3514,""startTime"":1679194898,""preheatSlopeTime"":60,""maximumDeltaSdurationVariation"":null,""lastDeltaScurveConductance"":453,""controlStartTemperature2"":20,""energyToFirstValley"":null,""engineFlags"":null,""startEngineSupplyVoltage"":101,""expCredit"":2,""maximumStickDetectionRatio"":null,""controlStartBatteryVoltage"":106,""engineSupplyVoltageVariation"":17,""endBatteryVoltage"":null,""firstHFpulsesEnergy"":null,""heatingDuration"":173,""pauseDuration"":0,""puffs"":[{""duration"":2,""startTime"":27,""energy"":0},{""duration"":2,""startTime"":46,""energy"":0},{""duration"":3,""startTime"":59,""energy"":0},{""duration"":3,""startTime"":81,""energy"":0},{""duration"":3,""startTime"":103,""energy"":0},{""duration"":3,""startTime"":126,""energy"":1},{""duration"":3,""startTime"":149,""energy"":1},{""duration"":2,""startTime"":170,""energy"":1}],""outOfRangeRegulation"":0,""startReason"":1,""lastMediaDetectionConductance"":null,""puffCountBeforePause"":null,""heatingProfile"":1414541876,""controlFlags"":null,""powerFrequency"":null,""endTemp1"":53,""endTemp2"":59,""puffVolumeAfter14Puffs"":null,""SKU"":8,""startMCUtemperature"":null,""puffCountAfterPause"":null,""engineStopReason"":3}",eu-west-1,8d4a4525-107e-4b11-93af-541961ac1296__USAGE,0x00320055000400407BE8,iotv2_prd_euexperience00320055_001_2024-02-10-04-07-37-912_utc_dl.csv,"2/10/2024, 9:40:09 AM"
1f080018,"{""coolingSequenceFailure"":0,""startTemp1"":10,""puffCount"":0,""noStickConductanceCount"":null,""startTemp2"":10,""firstDeltaScurveConductance"":0,""DCDCVoltageVariation"":null,""lastCalibrationTime"":null,""noStickConductanceRef"":null,""totalPuffVolume"":null,""pauseProfile"":null,""endBatteryGaugeLevel"":100,""applicationVersion"":""100.15.1"",""endMCUtemperature"":null,""RFU"":null,""endEngineSupplyVoltage"":93,""calibrationDuration"":0,""controlInternalResistorIndicator"":0,""controlEndBatteryVoltage"":102,""authenticationCode"":null,""firstHillConductance"":5324,""appPatchLevel"":1,""startBatteryGaugeLevel"":100,""index"":411,""commonIndex"":null,""heatingEnergy"":5,""pauseTimeStamp"":0,""controlCommonIndex"":null,""startBatteryVoltage"":null,""internalResistorIndicator"":3,""batteryVoltageVariation"":null,""endDCDCVoltage"":null,""maximumDeltaSvariation"":0,""appMajorVersion"":100,""recordSize"":61,""pauseEnergy"":0,""firstValleyConductance"":0,""recordFormatVersion"":11,""stickExtractionDuration"":null,""endConductance"":null,""driftCompensationError"":0,""controlStopReason"":3,""recordIndex"":411,""startDCDCVoltage"":null,""startConductance"":5208,""appMinorVersion"":15,""hotAlarmTreated"":0,""validScurveDetected"":0,""crc"":null,""calibrationPulseFailure"":1,""controlEndTemperature2"":10,""lastValleyConductance"":0,""startTime"":1679267076,""preheatSlopeTime"":0,""maximumDeltaSdurationVariation"":null,""lastDeltaScurveConductance"":0,""controlStartTemperature2"":9,""energyToFirstValley"":null,""engineFlags"":null,""startEngineSupplyVoltage"":97,""expCredit"":2,""maximumStickDetectionRatio"":null,""controlStartBatteryVoltage"":105,""engineSupplyVoltageVariation"":20,""endBatteryVoltage"":null,""firstHFpulsesEnergy"":null,""heatingDuration"":3,""pauseDuration"":0,""puffs"":[],""outOfRangeRegulation"":0,""startReason"":1,""lastMediaDetectionConductance"":null,""puffCountBeforePause"":null,""heatingProfile"":1414541876,""controlFlags"":null,""powerFrequency"":null,""endTemp1"":11,""endTemp2"":10,""puffVolumeAfter14Puffs"":null,""SKU"":0,""startMCUtemperature"":null,""puffCountAfterPause"":null,""engineStopReason"":3}",eu-west-1,8d4a4525-107e-4b11-93af-541961ac1296__USAGE,0x00320055000400407BE8,iotv2_prd_euexperience00320055_001_2024-02-10-04-07-37-912_utc_dl.csv,"2/10/2024, 9:40:09 AM"
1f080018,"{""coolingSequenceFailure"":0,""startTemp1"":16,""puffCount"":0,""noStickConductanceCount"":null,""startTemp2"":16,""firstDeltaScurveConductance"":0,""DCDCVoltageVariation"":null,""lastCalibrationTime"":null,""noStickConductanceRef"":null,""totalPuffVolume"":null,""pauseProfile"":null,""endBatteryGaugeLevel"":100,""applicationVersion"":""100.15.1"",""endMCUtemperature"":null,""RFU"":null,""endEngineSupplyVoltage"":96,""calibrationDuration"":0,""controlInternalResistorIndicator"":0,""controlEndBatteryVoltage"":103,""authenticationCode"":null,""firstHillConductance"":5281,""appPatchLevel"":1,""startBatteryGaugeLevel"":100,""index"":312,""commonIndex"":null,""heatingEnergy"":5,""pauseTimeStamp"":0,""controlCommonIndex"":null,""startBatteryVoltage"":null,""internalResistorIndicator"":0,""batteryVoltageVariation"":null,""endDCDCVoltage"":null,""maximumDeltaSvariation"":0,""appMajorVersion"":100,""recordSize"":61,""pauseEnergy"":0,""firstValleyConductance"":0,""recordFormatVersion"":11,""stickExtractionDuration"":null,""endConductance"":null,""driftCompensationError"":0,""controlStopReason"":3,""recordIndex"":312,""startDCDCVoltage"":null,""startConductance"":5184,""appMinorVersion"":15,""hotAlarmTreated"":0,""validScurveDetected"":0,""crc"":null,""calibrationPulseFailure"":1,""controlEndTemperature2"":19,""lastValleyConductance"":0,""startTime"":1677895844,""preheatSlopeTime"":0,""maximumDeltaSdurationVariation"":null,""lastDeltaScurveConductance"":0,""controlStartTemperature2"":18,""energyToFirstValley"":null,""engineFlags"":null,""startEngineSupplyVoltage"":101,""expCredit"":2,""maximumStickDetectionRatio"":null,""controlStartBatteryVoltage"":105,""engineSupplyVoltageVariation"":19,""endBatteryVoltage"":null,""firstHFpulsesEnergy"":null,""heatingDuration"":1,""pauseDuration"":0,""puffs"":[],""outOfRangeRegulation"":0,""startReason"":1,""lastMediaDetectionConductance"":null,""puffCountBeforePause"":null,""heatingProfile"":1414541876,""controlFlags"":null,""powerFrequency"":null,""endTemp1"":19,""endTemp2"":16,""puffVolumeAfter14Puffs"":null,""SKU"":0,""startMCUtemperature"":null,""puffCountAfterPause"":null,""engineStopReason"":3}",eu-west-1,8d4a4525-107e-4b11-93af-541961ac1296__USAGE,0x00320055000400407BE8,iotv2_prd_euexperience00320055_001_2024-02-10-04-07-37-912_utc_dl.csv,"2/10/2024, 9:40:09 AM"
1f080018,"{""coolingSequenceFailure"":0,""startTemp1"":18,""puffCount"":7,""noStickConductanceCount"":null,""startTemp2"":17,""firstDeltaScurveConductance"":534,""DCDCVoltageVariation"":null,""lastCalibrationTime"":null,""noStickConductanceRef"":null,""totalPuffVolume"":null,""pauseProfile"":null,""endBatteryGaugeLevel"":70,""applicationVersion"":""100.15.1"",""endMCUtemperature"":null,""RFU"":null,""endEngineSupplyVoltage"":97,""calibrationDuration"":19,""controlInternalResistorIndicator"":0,""controlEndBatteryVoltage"":101,""authenticationCode"":null,""firstHillConductance"":4119,""appPatchLevel"":1,""startBatteryGaugeLevel"":100,""index"":313,""commonIndex"":null,""heatingEnergy"":803,""pauseTimeStamp"":0,""controlCommonIndex"":null,""startBatteryVoltage"":null,""internalResistorIndicator"":11,""batteryVoltageVariation"":null,""endDCDCVoltage"":null,""maximumDeltaSvariation"":5,""appMajorVersion"":100,""recordSize"":75,""pauseEnergy"":0,""firstValleyConductance"":3577,""recordFormatVersion"":11,""stickExtractionDuration"":null,""endConductance"":null,""driftCompensationError"":57,""controlStopReason"":3,""recordIndex"":313,""startDCDCVoltage"":null,""startConductance"":4099,""appMinorVersion"":15,""hotAlarmTreated"":0,""validScurveDetected"":2,""crc"":null,""calibrationPulseFailure"":0,""controlEndTemperature2"":44,""lastValleyConductance"":3684,""startTime"":1677895856,""preheatSlopeTime"":47,""maximumDeltaSdurationVariation"":null,""lastDeltaScurveConductance"":503,""controlStartTemperature2"":19,""energyToFirstValley"":null,""engineFlags"":null,""startEngineSupplyVoltage"":100,""expCredit"":1,""maximumStickDetectionRatio"":null,""controlStartBatteryVoltage"":105,""engineSupplyVoltageVariation"":15,""endBatteryVoltage"":null,""firstHFpulsesEnergy"":null,""heatingDuration"":173,""pauseDuration"":0,""puffs"":[{""duration"":2,""startTime"":22,""energy"":0},{""duration"":3,""startTime"":45,""energy"":1},{""duration"":3,""startTime"":52,""energy"":0},{""duration"":3,""startTime"":64,""energy"":0},{""duration"":3,""startTime"":76,""energy"":0},{""duration"":3,""startTime"":93,""energy"":0},{""duration"":2,""startTime"":157,""energy"":1}],""outOfRangeRegulation"":0,""startReason"":2,""lastMediaDetectionConductance"":null,""puffCountBeforePause"":null,""heatingProfile"":1414541876,""controlFlags"":null,""powerFrequency"":null,""endTemp1"":51,""endTemp2"":58,""puffVolumeAfter14Puffs"":null,""SKU"":8,""startMCUtemperature"":null,""puffCountAfterPause"":null,""engineStopReason"":3}",eu-west-1,8d4a4525-107e-4b11-93af-541961ac1296__USAGE,0x00320055000400407BE8,iotv2_prd_euexperience00320055_001_2024-02-10-04-07-37-912_utc_dl.csv,"2/10/2024, 9:40:09 AM"
