CustomerID,Name,Region,AgeGroup
1,Customer_1,South,45-54
2,Customer_2,West,55+
3,Customer_3,East,45-54
4,Customer_4,East,18-24
5,Customer_5,North,18-24
6,Customer_6,East,45-54
7,Customer_7,South,55+
8,Customer_8,South,55+
9,Customer_9,West,18-24
10,Customer_10,South,18-24
11,Customer_11,East,45-54
12,Customer_12,South,18-24
13,Customer_13,South,25-34
14,Customer_14,East,35-44
15,Customer_15,East,35-44
16,Customer_16,East,25-34
17,Customer_17,North,25-34
18,Customer_18,East,18-24
19,Customer_19,East,25-34
20,Customer_20,North,55+
21,Customer_21,South,55+
22,Customer_22,South,18-24
23,Customer_23,South,25-34
24,Customer_24,West,25-34
25,Customer_25,West,18-24
26,Customer_26,North,35-44
27,Customer_27,North,35-44
28,Customer_28,East,55+
29,Customer_29,South,45-54
30,Customer_30,West,25-34
31,Customer_31,East,35-44
32,Customer_32,South,35-44
33,Customer_33,West,35-44
34,Customer_34,East,35-44
35,Customer_35,East,18-24
36,Customer_36,South,35-44
37,Customer_37,East,45-54
38,Customer_38,North,55+
39,Customer_39,East,55+
40,Customer_40,West,18-24
41,Customer_41,North,35-44
42,Customer_42,South,45-54
43,Customer_43,East,35-44
44,Customer_44,South,25-34
45,Customer_45,South,35-44
46,Customer_46,North,25-34
47,Customer_47,East,35-44
48,Customer_48,East,35-44
49,Customer_49,East,25-34
50,Customer_50,South,55+
51,Customer_51,North,45-54
52,Customer_52,North,55+
53,Customer_53,North,45-54
54,Customer_54,East,18-24
55,Customer_55,East,55+
56,Customer_56,West,45-54
57,Customer_57,East,18-24
58,Customer_58,North,45-54
59,Customer_59,East,18-24
60,Customer_60,East,25-34
61,Customer_61,South,45-54
62,Customer_62,South,25-34
63,Customer_63,South,45-54
64,Customer_64,West,45-54
65,Customer_65,North,55+
66,Customer_66,South,45-54
67,Customer_67,South,18-24
68,Customer_68,East,18-24
69,Customer_69,South,18-24
70,Customer_70,West,45-54
71,Customer_71,East,45-54
72,Customer_72,West,25-34
73,Customer_73,South,55+
74,Customer_74,West,55+
75,Customer_75,East,55+
76,Customer_76,East,18-24
77,Customer_77,West,18-24
78,Customer_78,South,45-54
79,Customer_79,East,35-44
80,Customer_80,East,25-34
81,Customer_81,West,35-44
82,Customer_82,North,25-34
83,Customer_83,West,25-34
84,Customer_84,East,35-44
85,Customer_85,South,25-34
86,Customer_86,West,55+
87,Customer_87,South,18-24
88,Customer_88,East,55+
89,Customer_89,North,18-24
90,Customer_90,North,35-44
91,Customer_91,East,35-44
92,Customer_92,West,45-54
93,Customer_93,West,25-34
94,Customer_94,West,55+
95,Customer_95,West,35-44
96,Customer_96,East,18-24
97,Customer_97,South,55+
98,Customer_98,North,18-24
99,Customer_99,South,35-44
100,Customer_100,South,55+
101,Customer_101,West,45-54
102,Customer_102,East,55+
103,Customer_103,North,55+
104,Customer_104,North,45-54
105,Customer_105,East,45-54
106,Customer_106,West,45-54
107,Customer_107,South,18-24
108,Customer_108,South,25-34
109,Customer_109,West,18-24
110,Customer_110,East,35-44
111,Customer_111,West,55+
112,Customer_112,South,35-44
113,Customer_113,North,55+
114,Customer_114,West,55+
115,Customer_115,North,35-44
116,Customer_116,North,55+
117,Customer_117,West,55+
118,Customer_118,West,55+
119,Customer_119,North,25-34
120,Customer_120,West,55+
121,Customer_121,East,45-54
122,Customer_122,South,35-44
123,Customer_123,West,55+
124,Customer_124,North,55+
125,Customer_125,South,35-44
126,Customer_126,West,55+
127,Customer_127,East,25-34
128,Customer_128,East,45-54
129,Customer_129,South,25-34
130,Customer_130,East,25-34
131,Customer_131,East,25-34
132,Customer_132,East,25-34
133,Customer_133,West,18-24
134,Customer_134,East,55+
135,Customer_135,North,55+
136,Customer_136,West,55+
137,Customer_137,West,18-24
138,Customer_138,East,45-54
139,Customer_139,East,35-44
140,Customer_140,West,25-34
141,Customer_141,East,18-24
142,Customer_142,South,45-54
143,Customer_143,North,18-24
144,Customer_144,South,35-44
145,Customer_145,West,25-34
146,Customer_146,North,18-24
147,Customer_147,North,25-34
148,Customer_148,East,35-44
149,Customer_149,North,45-54
150,Customer_150,West,55+
151,Customer_151,East,18-24
152,Customer_152,West,55+
153,Customer_153,North,35-44
154,Customer_154,North,18-24
155,Customer_155,East,25-34
156,Customer_156,North,25-34
157,Customer_157,South,18-24
158,Customer_158,East,25-34
159,Customer_159,North,45-54
160,Customer_160,South,35-44
161,Customer_161,North,25-34
162,Customer_162,West,18-24
163,Customer_163,North,18-24
164,Customer_164,North,45-54
165,Customer_165,North,45-54
166,Customer_166,East,18-24
167,Customer_167,East,18-24
168,Customer_168,South,25-34
169,Customer_169,North,18-24
170,Customer_170,East,18-24
171,Customer_171,East,45-54
172,Customer_172,North,35-44
173,Customer_173,South,45-54
174,Customer_174,West,45-54
175,Customer_175,West,45-54
176,Customer_176,North,55+
177,Customer_177,East,25-34
178,Customer_178,West,35-44
179,Customer_179,South,55+
180,Customer_180,North,55+
181,Customer_181,North,25-34
182,Customer_182,West,35-44
183,Customer_183,East,18-24
184,Customer_184,North,18-24
185,Customer_185,West,18-24
186,Customer_186,South,25-34
187,Customer_187,East,55+
188,Customer_188,North,35-44
189,Customer_189,North,18-24
190,Customer_190,South,45-54
191,Customer_191,North,25-34
192,Customer_192,East,18-24
193,Customer_193,East,45-54
194,Customer_194,North,45-54
195,Customer_195,West,25-34
196,Customer_196,West,45-54
197,Customer_197,North,18-24
198,Customer_198,West,25-34
199,Customer_199,West,45-54
200,Customer_200,East,45-54
201,Customer_201,North,45-54
202,Customer_202,East,25-34
203,Customer_203,West,45-54
204,Customer_204,West,18-24
205,Customer_205,North,18-24
206,Customer_206,West,55+
207,Customer_207,West,35-44
208,Customer_208,West,55+
209,Customer_209,West,25-34
210,Customer_210,West,55+
211,Customer_211,West,25-34
212,Customer_212,North,55+
213,Customer_213,North,35-44
214,Customer_214,West,25-34
215,Customer_215,South,18-24
216,Customer_216,North,35-44
217,Customer_217,East,18-24
218,Customer_218,West,55+
219,Customer_219,West,55+
220,Customer_220,South,18-24
221,Customer_221,East,45-54
222,Customer_222,South,45-54
223,Customer_223,North,35-44
224,Customer_224,South,55+
225,Customer_225,South,35-44
226,Customer_226,East,18-24
227,Customer_227,South,45-54
228,Customer_228,North,55+
229,Customer_229,West,35-44
230,Customer_230,West,18-24
231,Customer_231,West,25-34
232,Customer_232,North,18-24
233,Customer_233,South,35-44
234,Customer_234,North,25-34
235,Customer_235,North,45-54
236,Customer_236,West,25-34
237,Customer_237,West,18-24
238,Customer_238,West,25-34
239,Customer_239,West,45-54
240,Customer_240,West,55+
241,Customer_241,West,35-44
242,Customer_242,West,35-44
243,Customer_243,West,25-34
244,Customer_244,South,25-34
245,Customer_245,West,45-54
246,Customer_246,East,55+
247,Customer_247,South,25-34
248,Customer_248,East,35-44
249,Customer_249,East,18-24
250,Customer_250,South,18-24
251,Customer_251,North,55+
252,Customer_252,West,35-44
253,Customer_253,South,45-54
254,Customer_254,East,35-44
255,Customer_255,South,25-34
256,Customer_256,North,45-54
257,Customer_257,East,55+
258,Customer_258,North,35-44
259,Customer_259,North,35-44
260,Customer_260,West,35-44
261,Customer_261,South,35-44
262,Customer_262,North,35-44
263,Customer_263,North,35-44
264,Customer_264,East,35-44
265,Customer_265,South,45-54
266,Customer_266,South,55+
267,Customer_267,North,45-54
268,Customer_268,North,25-34
269,Customer_269,North,55+
270,Customer_270,South,18-24
271,Customer_271,North,35-44
272,Customer_272,South,55+
273,Customer_273,West,45-54
274,Customer_274,North,55+
275,Customer_275,North,55+
276,Customer_276,North,25-34
277,Customer_277,East,25-34
278,Customer_278,North,55+
279,Customer_279,West,18-24
280,Customer_280,South,55+
281,Customer_281,South,45-54
282,Customer_282,East,35-44
283,Customer_283,North,45-54
284,Customer_284,North,55+
285,Customer_285,North,18-24
286,Customer_286,North,45-54
287,Customer_287,North,18-24
288,Customer_288,East,25-34
289,Customer_289,North,35-44
290,Customer_290,North,25-34
291,Customer_291,South,35-44
292,Customer_292,North,55+
293,Customer_293,East,25-34
294,Customer_294,South,18-24
295,Customer_295,West,25-34
296,Customer_296,West,55+
297,Customer_297,North,55+
298,Customer_298,South,45-54
299,Customer_299,South,45-54
300,Customer_300,East,45-54
301,Customer_301,West,55+
302,Customer_302,East,25-34
303,Customer_303,South,18-24
304,Customer_304,North,35-44
305,Customer_305,South,35-44
306,Customer_306,South,55+
307,Customer_307,North,35-44
308,Customer_308,West,25-34
309,Customer_309,East,55+
310,Customer_310,West,55+
311,Customer_311,East,45-54
312,Customer_312,East,55+
313,Customer_313,East,55+
314,Customer_314,North,45-54
315,Customer_315,West,25-34
316,Customer_316,East,25-34
317,Customer_317,North,18-24
318,Customer_318,North,55+
