Date,ProductID,StockQuantity
2022-12-04,100,786
2024-01-29,319,972
2023-05-08,103,944
2024-04-04,496,332
2022-02-24,15,101
2022-08-23,467,362
2024-09-29,347,928
2024-05-15,225,60
2022-05-11,76,557
2024-08-04,53,905
2024-05-30,261,844
2024-03-24,186,732
2024-08-18,186,376
2022-12-18,2,985
2024-05-03,184,280
2023-07-19,408,547
2024-10-16,375,724
2024-04-18,122,867
2024-09-01,185,476
2023-11-22,93,770
2022-10-24,10,568
2023-10-17,112,468
2023-08-30,153,894
2024-02-18,226,523
2022-01-12,29,21
2024-10-13,447,50
2022-08-22,304,28
2022-07-15,414,148
2023-11-24,497,714
2022-11-07,306,102
2021-12-03,101,400
2023-02-26,350,20
2023-11-20,445,687
2024-02-11,371,755
2024-06-17,293,174
2022-11-22,469,334
2024-07-11,473,937
2023-05-01,307,700
2022-10-06,136,580
2022-05-01,151,397
2024-03-28,65,641
2023-11-27,110,966
2022-05-30,90,516
2023-01-31,489,663
2024-05-12,353,304
2022-09-12,273,508
2023-02-10,104,691
2024-04-21,46,191
2024-02-01,146,129
2024-11-24,405,901
2023-11-04,218,816
2022-08-22,147,612
2022-02-23,488,68
2022-06-19,447,795
2024-10-14,91,681
2022-10-05,271,194
2022-03-04,89,635
2022-10-09,249,956
2024-10-21,71,68
2024-10-25,127,409
2023-10-06,447,778
2024-03-07,84,679
2022-06-27,48,56
2024-11-02,58,535
2022-09-20,170,592
2022-07-01,444,518
2023-03-14,119,665
2023-09-09,435,889
2022-10-21,494,497
2022-11-30,282,585
2022-12-09,321,388
2024-01-04,304,323
2022-09-11,448,136
2024-06-10,7,880
2022-03-14,299,29
2023-06-10,90,460
2022-10-29,469,613
2023-07-14,99,748
2023-03-12,151,880
2022-06-25,389,51
2023-08-07,69,982
2023-09-14,499,404
2024-04-22,376,648
2022-07-24,52,7
2024-04-27,495,19
2024-07-06,131,364
2021-12-04,101,741
2023-01-17,108,672
2023-06-16,49,1000
2024-09-13,230,809
2022-05-08,460,531
2023-02-27,140,419
2024-08-30,153,783
2022-01-25,358,696
2022-05-07,432,545
2024-01-30,151,795
2022-01-24,132,979
2024-04-10,210,588
2024-08-10,95,599
2022-04-05,94,645
2022-04-16,368,113
2023-02-25,72,849
2024-05-27,23,107
2022-05-29,210,470
2024-08-02,460,502
2022-05-18,373,144
2022-08-04,374,442
2022-06-07,166,267
2023-11-17,330,913
2023-07-05,169,123
2022-08-21,99,298
2023-04-27,176,802
2024-10-08,103,247
2023-07-17,337,330
2022-08-18,362,361
2023-05-21,93,806
2022-10-21,56,711
2024-10-28,467,604
2022-02-20,301,59
2022-01-14,495,342
2023-12-11,102,170
2022-05-03,250,720
2022-11-08,321,570
2023-02-13,79,118
2024-03-10,86,815
2023-01-29,29,344
2024-03-19,335,714
2022-07-12,211,872
2023-01-01,361,400
2023-06-23,24,975
2023-03-22,393,611
2022-12-18,43,458
2023-01-31,331,915
2023-08-20,81,562
2024-06-28,414,511
2022-03-02,468,929
2023-12-11,494,495
2023-06-23,216,275
2023-02-01,153,864
2024-01-28,148,185
2022-09-21,341,894
2023-09-07,29,412
2022-03-23,209,689
2023-07-13,174,753
2023-03-27,260,303
2022-09-07,264,109
2022-04-05,430,383
2023-07-01,288,935
2022-04-03,434,746
2023-05-25,96,188
2023-12-16,492,583
2023-06-24,107,831
2024-01-25,480,608
2024-03-13,65,521
2022-07-28,132,563
2023-08-14,1,871
2024-06-19,234,697
2024-11-22,148,759
2022-02-18,444,253
2023-07-08,447,396
2023-09-13,269,407
2024-06-21,491,804
2023-08-22,109,9
2024-04-06,390,126
2023-12-14,179,882
2024-10-25,239,975
2022-07-23,316,736
2022-07-09,484,646
2022-06-06,404,462
2023-03-27,330,508
2021-12-15,274,81
2022-06-10,11,561
2024-03-15,16,307
2023-11-02,416,912
2023-01-16,426,820
2022-10-18,291,853
2023-12-20,421,719
