Date,Region,ProductID,SalesAmount,CustomerID
2022-10-20,North,218,39816,1348
2022-08-09,West,392,77266,1817
2022-02-04,East,326,16569,1222
2023-07-27,West,223,45714,1621
2024-01-19,West,362,27900,1005
2024-10-02,West,21,93746,1516
2023-06-13,South,109,30388,1061
2024-04-16,North,268,60840,1066
2024-01-21,West,445,85557,1133
2024-07-09,East,164,40074,1847
2022-05-02,South,65,16568,1666
2023-10-27,South,492,61418,1024
2022-07-30,East,470,9000,1498
2024-01-04,South,463,96563,1395
2024-07-18,North,309,21665,1908
2022-10-13,West,178,82282,1756
2023-03-22,South,9,97236,1649
2022-03-10,South,449,35045,1687
2024-08-23,East,339,57185,1826
2022-11-05,West,335,53873,1978
2022-12-17,East,31,63857,1416
2022-11-05,East,34,29414,1211
2022-11-18,West,7,12147,1678
2022-12-28,South,253,96370,1222
2022-09-15,North,132,58512,1520
2023-09-09,East,388,16310,1739
2024-07-07,North,323,83837,1513
2022-04-29,West,140,20090,1706
2022-09-25,North,321,96425,2000
2022-09-14,South,62,51173,1618
2022-06-20,North,181,87375,1745
2022-06-25,East,309,79532,1573
2024-10-17,West,345,80072,1357
2022-11-24,South,102,37879,1022
2023-07-17,South,456,29247,1455
2024-07-08,West,81,30976,1008
2022-05-14,East,179,85086,1005
2022-11-22,West,214,14725,1902
2022-01-31,West,393,72248,1576
2022-09-07,North,236,51426,1456
2022-09-19,West,159,99276,1177
2024-04-18,East,414,51262,1858
2022-01-30,East,368,67368,1230
2023-02-28,East,462,52177,1999
2024-07-10,West,156,13626,1108
2023-01-22,North,233,70895,1740
2022-07-10,North,146,24576,1735
2022-06-06,West,5,56168,1762
2023-12-27,North,436,37685,1539
2022-10-28,South,341,15586,1929
2022-12-25,North,470,96608,1333
2023-04-06,North,203,30954,1528
2022-07-12,West,453,59070,1774
2024-09-27,North,24,94658,1800
2023-10-18,East,464,7778,1988
2024-09-10,South,230,86632,1775
2024-08-08,North,320,60725,1908
2024-09-11,North,183,77792,1805
2024-10-14,East,149,51684,1831
2024-08-07,East,277,98886,1084
2024-06-05,West,19,1224,1897
2022-04-02,South,330,76362,1478
2023-09-17,West,34,39913,1332
2022-11-18,South,482,45871,1432
2023-10-05,East,367,23047,1996
2024-02-13,West,437,73639,1159
2023-07-13,East,215,87246,1767
2022-01-19,North,365,65019,1577
2023-01-01,East,373,8220,1799
2023-02-10,West,274,17216,1575
2022-05-15,North,76,81695,1577
2023-12-30,West,461,78766,1694
2024-08-03,East,47,41885,1859
2022-11-02,West,387,62048,1773
2022-09-09,West,86,74986,1813
2023-09-28,North,83,70032,1912
2022-03-22,West,108,54855,1398
2024-09-29,West,178,90492,1418
2023-08-29,West,469,60127,1405
2024-02-10,East,283,85493,1935
2024-01-21,North,429,20886,1659
2023-02-03,South,61,20001,1467
2023-08-02,West,58,72470,1683
2023-05-27,North,321,16338,1407
2023-05-29,North,183,60860,1583
2023-09-18,West,422,98484,1482
2023-08-29,North,249,78900,1570
2022-01-04,West,331,32372,1016
2022-11-07,South,163,82290,1847
2023-03-22,West,390,98525,1217
2022-08-04,East,487,96233,1722
2023-09-09,South,396,95475,1428
2022-09-11,West,198,67419,1987
2024-01-25,East,90,14035,1684
2023-10-22,South,167,17472,1060
2023-02-02,West,446,26530,1434
2024-01-29,West,385,15379,1509
2024-11-05,North,214,19788,1389
2023-09-25,West,475,86558,1669
2023-03-18,East,74,67088,1168
2022-06-05,West,362,80688,1032
2022-05-15,West,3,50793,1987
2024-06-14,West,74,8296,1344
2024-05-17,West,417,49969,1526
2022-01-08,East,336,77359,1526
2024-08-21,North,46,58667,1343
2024-05-10,East,301,39816,1358
2023-04-06,East,486,88642,1234
2024-02-02,West,463,77492,1388
2023-04-18,East,335,75509,1214
2023-07-21,North,387,65555,1009
2024-06-23,North,140,85437,1126
2024-02-08,South,34,44505,1772
2022-09-17,North,114,29899,1310
2024-07-07,East,89,89841,1151
2024-09-23,South,51,69373,1832
2023-11-28,South,65,86579,1697
2023-12-26,North,413,99519,1066
2023-02-01,North,89,57821,1407
2023-10-28,North,13,52826,1911
2023-04-07,North,109,83376,1238
2024-03-30,North,429,99588,1067
2023-05-20,North,453,22314,1801
2024-07-11,West,63,88541,1147
2022-02-27,East,412,60853,1358
2022-05-04,South,242,36077,1177
2023-07-17,West,148,4840,1399
2021-12-20,South,274,77744,1901
2024-05-26,East,18,29882,1456
2024-04-18,East,130,24168,1578
2024-04-01,West,351,72846,1729
2023-03-04,South,232,72470,1145
2024-02-20,East,449,44696,1246
2023-08-27,North,233,41755,1962
2023-01-05,East,375,73200,1448
2022-06-27,East,272,47684,1949
2022-04-20,North,147,14329,1528
2022-04-11,South,453,75433,1247
2023-04-07,West,29,70520,1749
2024-05-04,North,34,85153,1603
2023-03-07,North,336,95537,1811
2023-04-15,East,482,80990,1780
2024-11-29,South,259,39407,1876
2023-04-04,East,199,98551,1647
2024-09-01,North,409,2764,1315
2024-02-27,West,17,71099,1350
2022-08-22,West,363,55817,1277
2024-02-09,North,394,16404,1414
2022-04-26,North,253,57752,1961
2023-04-13,South,285,76725,1585
2022-10-20,South,275,54500,1583
2023-12-16,East,93,61707,1941
2024-03-18,North,42,90574,1843
2023-10-29,North,2,6971,1080
2022-04-16,North,204,30353,1226
2024-04-20,West,132,82778,1946
2023-10-24,West,491,20803,1445
2024-08-06,West,197,61451,1935
2022-03-31,West,249,28637,1743
2022-05-21,East,106,71382,1950
2022-11-08,North,224,62625,1412
2021-12-28,South,397,32000,1310
2022-06-12,West,143,72983,1126
