INVENTORY_DATE,STORE_ID,PRODUCT_ID,OPENING_STOCK,PURCHASES,SALES,CLOSING_STOCK,REGION_ID
2025-03-04,S0349,P00486,390,10,150,250,R10
2024-02-20,S0413,P00617,459,96,362,193,R4
2023-03-27,S0201,P00190,471,86,218,339,R9
2023-09-18,S0415,P00462,15,38,17,36,R10
2023-12-29,S0252,P00176,411,82,321,172,R4
2023-04-29,S0069,P00881,473,50,9,514,R10
2023-08-31,S0037,P00810,184,50,220,14,R1
2025-09-27,S0329,P00398,185,70,149,106,R5
2024-11-27,S0352,P00689,109,83,62,130,R5
2024-06-16,S0128,P00743,25,56,32,49,R10
2025-03-21,S0192,P00675,228,6,24,210,R3
2023-07-08,S0192,P00531,480,74,323,231,R7
2023-09-16,S0352,P00151,358,45,242,161,R2
2024-12-20,S0383,P00688,251,55,183,123,R7
2025-02-16,S0259,P00390,221,15,25,211,R9
2023-06-01,S0119,P00734,437,13,415,35,R2
2024-03-06,S0273,P00172,132,49,168,13,R9
2024-08-07,S0299,P00710,159,89,120,128,R4
2025-08-03,S0263,P00169,364,29,199,194,R10
2024-10-25,S0146,P00758,406,4,134,276,R10
2023-11-01,S0168,P00688,333,66,355,44,R1
2024-03-04,S0166,P00160,253,70,154,169,R7
2023-04-29,S0146,P00214,384,39,228,195,R9
2025-06-06,S0092,P00571,486,45,222,309,R10
2024-05-24,S0145,P00228,68,80,135,13,R2
2025-10-04,S0057,P00580,191,26,152,65,R10
2025-05-08,S0081,P00672,427,24,251,200,R10
2023-01-12,S0166,P00510,267,30,206,91,R8
2023-06-28,S0153,P00689,69,26,51,44,R2
2024-05-12,S0329,P00699,68,53,17,104,R3
2023-06-17,S0259,P00010,77,68,76,69,R4
2024-01-14,S0160,P00859,55,45,26,74,R4
2024-11-01,S0432,P00279,74,55,46,83,R7
2023-04-03,S0481,P00022,286,63,293,56,R3
2023-09-17,S0227,P00140,123,92,46,169,R4
2024-05-04,S0013,P00148,492,98,383,207,R2
2025-07-14,S0368,P00979,152,39,173,18,R7
2025-06-17,S0020,P00849,444,82,405,121,R3
2024-07-07,S0344,P00650,285,41,27,299,R7
2024-06-19,S0415,P00225,256,69,313,12,R8
2023-10-07,S0263,P00265,393,69,158,304,R3
2023-06-15,S0123,P00049,132,55,161,26,R2
2024-06-13,S0485,P00444,20,91,100,11,R10
2025-05-22,S0111,P00534,445,1,5,441,R9
2024-07-15,S0240,P00174,146,90,63,173,R1
2025-08-03,S0159,P00691,444,70,186,328,R1
2023-11-28,S0172,P00725,122,43,85,80,R7
2024-07-31,S0145,P00715,498,41,194,345,R10
2023-04-25,S0339,P00536,340,17,13,344,R7
2023-01-29,S0357,P00344,483,97,280,300,R10
2025-06-09,S0492,P00895,493,18,73,438,R1
2023-03-25,S0416,P00983,158,40,186,12,R8
2025-06-23,S0076,P00368,133,58,158,33,R6
2025-07-16,S0423,P00857,138,64,44,158,R7
2025-08-16,S0262,P00329,399,52,220,231,R7
2025-06-06,S0157,P00126,13,4,9,8,R5
2025-10-10,S0482,P00495,20,42,39,23,R4
2023-09-06,S0065,P00521,443,74,59,458,R3
2023-11-08,S0085,P00313,483,85,416,152,R7
2023-10-07,S0215,P00552,290,39,50,279,R7
2024-01-25,S0191,P00139,125,95,67,153,R9
2023-04-18,S0122,P00355,81,7,73,15,R7
2024-11-01,S0182,P00098,75,69,96,48,R5
2024-10-03,S0183,P00175,405,47,51,401,R4
2024-06-08,S0306,P00594,124,35,156,3,R5
2025-01-30,S0085,P00364,144,64,2,206,R8
2025-04-22,S0398,P00638,22,16,27,11,R8
2024-05-17,S0101,P00773,430,93,254,269,R1
2024-06-26,S0159,P00459,18,58,47,29,R2
2025-01-21,S0337,P00419,275,25,150,150,R3
2023-05-28,S0099,P00160,469,2,337,134,R2
2024-11-23,S0043,P00129,398,6,233,171,R5
2023-06-08,S0245,P00164,195,95,147,143,R8
2025-05-19,S0015,P00913,214,37,168,83,R2
2024-09-27,S0334,P00901,17,95,28,84,R2
2024-07-19,S0316,P00113,167,3,51,119,R9
2024-01-14,S0312,P00295,12,40,5,47,R6
2023-08-23,S0293,P00109,188,8,187,9,R3
2025-03-26,S0266,P00262,179,74,143,110,R4
2025-04-09,S0447,P00930,339,64,401,2,R8
2025-03-02,S0162,P00144,456,14,198,272,R3
2025-01-18,S0016,P00976,415,68,374,109,R1
2023-10-28,S0150,P00106,357,93,33,417,R7
2023-07-08,S0231,P00342,425,11,171,265,R3
2024-12-06,S0297,P00425,350,13,132,231,R6
2025-06-14,S0447,P00944,185,37,193,29,R6
2023-11-14,S0106,P00411,427,71,475,23,R6
2025-06-24,S0056,P00366,500,41,226,315,R7
2024-08-02,S0490,P00790,431,75,3,503,R7
2025-01-05,S0235,P00892,419,16,188,247,R1
2023-04-23,S0239,P00840,258,93,46,305,R6
2023-01-10,S0070,P00131,348,37,97,288,R5
2025-03-29,S0161,P00085,494,19,189,324,R2
2023-11-10,S0082,P00437,109,55,27,137,R6
2024-07-08,S0232,P00966,277,5,72,210,R10
2023-10-25,S0478,P00106,372,57,112,317,R2
2024-09-30,S0221,P00081,447,16,135,328,R1
2024-02-28,S0330,P00790,458,76,410,124,R3
2025-01-30,S0405,P00659,242,97,175,164,R2
2023-05-23,S0252,P00071,473,5,229,249,R3
2025-09-09,S0295,P00063,456,26,101,381,R5
2024-08-15,S0489,P00187,345,75,1,419,R3
2025-08-18,S0167,P00391,311,70,145,236,R4
2024-03-21,S0012,P00407,119,89,178,30,R8
