PRODUCT_ID,PRODUCT_NAME,BRAND,CATEGORY,PRICE,PACK_SIZE,HSN_CODE
P00001,Amoxicillin 250mg,LifeCare,Cough & Cold,227.59,1 bottle,2679
P00002,Amlodipine 250mg,MediFast,Analgesic,47.71,15 tablets,4811
P00003,Amlodipine 100ml,HealCo,Cough & Cold,685.9,1 bottle,9928
P00004,Azithromycin 500mg,BioHeal,Gastro,772.77,10 tablets,3615
P00005,Azithromycin 100mg,LifeCare,Supplement,220.24,30 tablets,2674
P00006,Amoxicillin 10ml,CureAll,Cardiac,808.17,100 ml,5333
P00007,Paracetamol SR,BioHeal,Antibiotic,925.0,60 tablets,2291
P00008,Amlodipine 100mg,PharmaOne,Cough & Cold,675.25,10 tablets,4733
P00009,Vitamin C 250mg,NutriX,Antibiotic,373.52,60 tablets,6977
P00010,Ibuprofen 100mg,PharmaOne,Cough & Cold,643.26,1 bottle,2169
P00011,Omeprazole SR,MedPlus,Cough & Cold,171.96,60 tablets,5422
P00012,Amlodipine 500mg,PharmaOne,Analgesic,233.01,10 tablets,6168
P00013,Azithromycin 100mg,CureAll,Cough & Cold,869.22,100 ml,6155
P00014,Cetirizine SR,BioHeal,Diabetes,842.76,1 bottle,8517
P00015,Ibuprofen 100mg,MedPlus,Cough & Cold,712.84,100 ml,5304
P00016,Omeprazole 10ml,MediFast,Cardiac,223.97,15 tablets,9348
P00017,Metformin 250mg,HealCo,Antibiotic,162.14,15 tablets,7916
P00018,Omeprazole 250mg,MediFast,Diabetes,574.18,60 tablets,9669
P00019,Vitamin C 100ml,HealCo,Antibiotic,653.99,100 ml,5371
P00020,Pantoprazole 250mg,LifeCare,Diabetes,167.09,10 tablets,5315
P00021,Amlodipine XL,MedPlus,Antibiotic,829.58,30 tablets,9317
P00022,Omeprazole 500mg,MedPlus,Cardiac,729.14,100 ml,9689
P00023,Paracetamol 100ml,PharmaOne,Dermatology,38.11,30 tablets,6038
P00024,Cetirizine 250mg,NutriX,Antibiotic,99.66,60 tablets,2133
P00025,Amlodipine XL,MedPlus,Supplement,633.57,100 ml,3705
P00026,Vitamin C 100ml,MediFast,Cough & Cold,883.89,1 bottle,4295
P00027,Vitamin C 10ml,PharmaOne,Dermatology,856.64,60 tablets,2982
P00028,Cetirizine 500mg,CureAll,Cardiac,39.56,100 ml,4770
P00029,Omeprazole 500mg,HealCo,Antibiotic,678.29,10 tablets,4750
P00030,Amoxicillin 250mg,PharmaOne,Antibiotic,498.17,30 tablets,8953
P00031,Cetirizine 100ml,MedPlus,Dermatology,245.99,60 tablets,7669
P00032,Cetirizine 250mg,CureAll,Diabetes,349.5,60 tablets,8651
P00033,Paracetamol SR,CureAll,Analgesic,394.44,30 tablets,2790
P00034,Cetirizine 500mg,NutriX,Dermatology,150.37,15 tablets,5563
P00035,Metformin 500mg,CureAll,Dermatology,771.46,100 ml,2604
P00036,Paracetamol SR,HealCo,Antibiotic,881.52,15 tablets,3724
P00037,Azithromycin 10ml,BioHeal,Cough & Cold,824.12,10 tablets,3697
P00038,Azithromycin 250mg,MediFast,Gastro,881.66,60 tablets,5673
P00039,Azithromycin SR,BioHeal,Supplement,196.61,15 tablets,1958
P00040,Omeprazole SR,HealCo,Cardiac,73.16,100 ml,8811
P00041,Amlodipine XL,MedPlus,Analgesic,913.52,10 tablets,4044
P00042,Amoxicillin 100ml,CureAll,Cough & Cold,395.51,100 ml,5033
P00043,Omeprazole 100ml,HealCo,Antibiotic,409.88,100 ml,9565
P00044,Pantoprazole 100mg,NutriX,Cardiac,241.98,60 tablets,3144
P00045,Vitamin C 10ml,PharmaOne,Antibiotic,28.66,100 ml,2638
P00046,Amoxicillin 100ml,NutriX,Gastro,143.18,30 tablets,2127
P00047,Cetirizine 100mg,LifeCare,Supplement,427.51,100 ml,5956
P00048,Omeprazole XL,HealCo,Gastro,886.53,10 tablets,3200
P00049,Vitamin C 250mg,CureAll,Supplement,273.28,100 ml,4450
P00050,Pantoprazole 500mg,LifeCare,Dermatology,253.54,10 tablets,2512
P00051,Azithromycin XL,LifeCare,Analgesic,23.3,15 tablets,5291
P00052,Ibuprofen SR,BioHeal,Diabetes,541.64,10 tablets,2232
P00053,Ibuprofen 100ml,HealCo,Cardiac,561.73,15 tablets,8041
P00054,Ibuprofen 250mg,LifeCare,Cardiac,856.05,10 tablets,6862
P00055,Cetirizine SR,NutriX,Antibiotic,348.92,100 ml,7658
P00056,Omeprazole SR,MedPlus,Cough & Cold,824.08,15 tablets,7755
P00057,Paracetamol 500mg,PharmaOne,Diabetes,766.08,1 bottle,5065
P00058,Vitamin C 500mg,CureAll,Diabetes,831.12,60 tablets,4644
P00059,Cetirizine XL,BioHeal,Cardiac,303.83,15 tablets,4652
P00060,Paracetamol SR,NutriX,Diabetes,325.28,10 tablets,5573
P00061,Pantoprazole SR,MediFast,Cardiac,893.49,10 tablets,5279
P00062,Ibuprofen 100ml,LifeCare,Analgesic,120.81,60 tablets,6663
P00063,Pantoprazole 10ml,CureAll,Diabetes,856.54,15 tablets,5173
P00064,Paracetamol SR,MediFast,Analgesic,503.53,100 ml,4228
P00065,Pantoprazole 10ml,CureAll,Cardiac,599.53,1 bottle,3041
P00066,Vitamin C 100ml,LifeCare,Diabetes,323.35,1 bottle,5844
P00067,Amlodipine 500mg,NutriX,Diabetes,638.38,60 tablets,3851
P00068,Omeprazole 100ml,LifeCare,Diabetes,529.58,10 tablets,5978
P00069,Vitamin C 500mg,MediFast,Cardiac,452.44,60 tablets,4501
P00070,Amlodipine 10ml,MedPlus,Antibiotic,283.92,1 bottle,6491
P00071,Amoxicillin XL,NutriX,Gastro,228.92,15 tablets,3414
