transaction_id,transaction_date,product_category,customer_id,product_id,region,sales_amount,units_sold
1,2022-11-02,Clothing,3662,55381,South,235.25,1
2,2022-01-10,Sports,7498,21791,North,207.36,3
3,2020-07-21,Clothing,7634,59340,West,248.91,3
4,2024-03-29,Sports,1488,82831,South,373.19,5
5,2023-12-21,Toys,1903,76941,North,822.42,2
6,2022-11-12,Home & Kitchen,7751,63967,North,229.12,1
7,2019-11-04,Toys,2996,76836,South,89.72,2
8,2019-12-10,Toys,8300,55381,North,710.2,2
9,2021-12-17,Sports,3174,21791,North,938.91,2
10,2023-07-08,Electronics,9820,85062,South,704.6,8
11,2024-08-29,Sports,4116,48254,South,351.71,10
12,2021-09-01,Clothing,4133,94697,South,756.78,1
13,2021-06-14,Clothing,2003,61021,North,733.96,6
14,2023-09-02,Toys,2652,61517,West,539.51,6
15,2023-12-28,Electronics,4823,35450,North,520.31,8
16,2022-07-01,Sports,7520,89975,West,649.41,2
17,2024-06-07,Toys,2598,40388,West,657.08,9
18,2022-06-30,Electronics,7152,10828,West,145.61,2
19,2021-10-31,Home & Kitchen,6108,89975,North,868.72,5
20,2023-03-26,Home & Kitchen,7740,62741,North,850.5,3
21,2024-05-01,Sports,9079,57437,South,688.15,1
22,2023-03-22,Sports,9190,42747,South,423.22,3
23,2023-09-24,Clothing,6902,61513,West,572.72,8
24,2022-10-29,Sports,9013,48460,North,347.99,5
25,2024-03-18,Sports,1406,21791,North,585.51,4
26,2022-02-11,Clothing,8421,44617,East,453.97,2
27,2022-05-13,Sports,4094,54164,South,845.9,10
28,2024-08-29,Sports,3578,90016,East,536.35,3
29,2022-04-18,Electronics,8589,37865,North,487.92,7
30,2021-08-19,Home & Kitchen,5681,10338,East,576.98,3
31,2020-01-04,Toys,9964,42747,North,171.02,2
32,2019-11-15,Home & Kitchen,6389,95471,North,627.9,1
33,2023-09-12,Toys,5910,64193,South,559.68,8
34,2022-03-07,Home & Kitchen,6979,15422,West,935.55,7
35,2020-03-28,Home & Kitchen,3126,82459,West,440.93,1
36,2020-02-13,Clothing,8535,94653,West,359.44,1
37,2023-06-25,Home & Kitchen,3221,98731,East,849.09,3
38,2021-11-20,Electronics,7079,75613,North,700.28,5
39,2021-06-26,Toys,1525,57119,North,699.12,3
40,2020-11-07,Toys,5206,48460,North,876.98,7
41,2022-10-03,Clothing,4115,19383,West,685.46,6
42,2023-06-25,Sports,5918,86922,South,569.6,7
43,2023-10-15,Toys,8598,12265,West,911.08,7
44,2023-11-29,Sports,3706,13204,North,499.88,8
45,2021-08-06,Sports,5632,43950,South,674.56,9
46,2020-09-07,Electronics,5406,64766,East,715.49,3
47,2019-12-13,Toys,9190,64766,South,316.39,3
48,2023-01-16,Home & Kitchen,3166,45020,South,309.96,1
49,2023-05-26,Toys,9038,78093,North,371.9,9
50,2024-02-04,Sports,3578,78093,West,544.09,1
51,2020-09-27,Home & Kitchen,6902,69761,South,81.82,8
52,2023-08-08,Home & Kitchen,9460,76869,East,275.03,7
53,2024-06-08,Home & Kitchen,4253,30531,South,309.59,10
54,2022-11-22,Sports,1642,82760,North,65.46,10
55,2022-12-11,Electronics,9619,45020,East,843.68,10
56,2022-05-16,Home & Kitchen,1885,48755,West,777.99,8
57,2021-09-15,Clothing,9744,23266,East,734.14,2
58,2020-10-05,Clothing,9884,23857,South,35.35,8
59,2024-01-12,Electronics,4540,16850,West,479.33,1
60,2021-11-29,Toys,2883,86240,West,848.78,7
61,2021-01-23,Electronics,1424,82831,East,723.67,5
62,2023-11-19,Toys,1127,84380,East,397.85,5
63,2023-11-30,Clothing,3646,85592,West,910.85,3
64,2020-01-16,Toys,6628,28027,North,656.16,3
65,2020-05-27,Home & Kitchen,4290,81458,West,359.16,3
66,2021-11-11,Toys,6245,15468,West,604.19,5
67,2021-04-10,Electronics,3116,85592,South,138.06,3
68,2021-08-20,Clothing,4950,72400,East,694.09,8
69,2020-05-10,Home & Kitchen,3712,88203,South,537.98,7
70,2024-04-19,Home & Kitchen,4430,35175,South,846.83,2
71,2022-01-05,Sports,5376,43282,East,911.0,5
72,2020-02-01,Clothing,6132,51987,East,575.83,9
73,2023-05-15,Sports,6078,49154,North,363.21,10
74,2020-04-20,Sports,1597,76869,East,605.03,1
75,2023-03-14,Electronics,5745,88600,West,906.38,6
76,2023-09-21,Clothing,3674,96248,South,849.54,1
77,2022-08-11,Sports,5187,75061,North,357.33,7
78,2023-10-08,Toys,4768,55381,North,720.5,9
79,2021-03-03,Sports,4121,28297,North,245.81,8
80,2021-12-30,Sports,6559,42747,East,234.67,2
81,2021-05-22,Clothing,6141,26929,South,586.9,6
82,2021-03-30,Toys,7139,10338,South,858.35,8
83,2022-04-30,Sports,6865,45467,North,30.28,7
84,2021-11-19,Clothing,5672,30531,South,445.74,10
85,2021-02-04,Home & Kitchen,9128,12265,South,389.83,9
86,2024-03-17,Home & Kitchen,1425,59721,East,332.16,1
87,2020-05-08,Home & Kitchen,4266,76313,West,219.16,9
88,2022-05-09,Home & Kitchen,2507,88203,North,870.21,8
89,2020-12-06,Clothing,7587,85592,West,602.39,7
90,2024-09-08,Clothing,4576,16699,North,156.63,2
91,2021-01-06,Sports,1935,97529,East,310.01,5
92,2024-02-11,Electronics,3685,72756,East,60.04,7
93,2019-11-27,Toys,6152,10828,West,710.53,5
94,2021-11-15,Sports,5433,82459,North,126.36,4
95,2022-12-24,Electronics,7668,95471,East,155.7,6
96,2020-12-05,Clothing,8158,37865,South,907.07,6
97,2022-05-25,Toys,9362,35548,West,767.02,1
98,2024-02-06,Electronics,1322,88203,West,570.51,8
99,2020-09-23,Sports,8218,21915,West,627.72,7
100,2024-05-03,Home & Kitchen,8905,59340,North,552.03,10
101,2020-06-19,Electronics,4005,30353,East,56.31,9
102,2023-04-14,Clothing,8181,21791,West,679.17,6
103,2020-09-01,Electronics,2995,86240,North,935.04,1
104,2023-11-02,Electronics,6435,93266,East,494.44,4
105,2022-09-25,Electronics,2661,44859,West,977.99,1
106,2022-11-03,Electronics,6141,57520,South,524.07,10
107,2021-08-31,Clothing,7063,59174,West,284.81,2
108,2021-01-11,Toys,4861,30531,West,620.72,9
109,2019-12-22,Electronics,9634,10338,West,192.91,3
110,2020-10-02,Electronics,1485,35450,North,719.25,9
111,2023-02-23,Clothing,3084,97529,East,513.95,5
112,2020-10-22,Electronics,9621,76634,East,710.05,5
113,2020-10-30,Electronics,3771,94697,South,454.38,6
114,2021-10-18,Clothing,3718,69761,North,815.16,2
115,2022-02-11,Toys,3357,59886,North,73.49,1
116,2022-11-12,Electronics,2705,28297,North,983.54,1
117,2021-05-04,Clothing,3384,85592,South,418.61,5
118,2023-03-29,Toys,4241,26915,South,378.36,9
119,2024-09-18,Clothing,9548,32390,North,906.22,4
120,2023-12-19,Toys,7172,18517,South,385.12,5
121,2020-03-20,Electronics,5224,50462,North,679.13,8
122,2022-08-06,Home & Kitchen,4121,29235,West,745.5,2
123,2021-02-09,Home & Kitchen,4290,85185,North,692.29,7
124,2024-07-16,Sports,3662,64766,West,679.68,5
125,2023-07-19,Home & Kitchen,3560,17622,North,864.81,3
126,2021-05-26,Clothing,6895,52655,North,474.22,10
127,2024-09-16,Toys,2209,90016,West,42.79,3
128,2020-03-27,Electronics,5902,44029,West,450.38,9
129,2023-08-24,Electronics,2676,35091,North,811.42,4
130,2020-12-08,Sports,9430,60791,West,745.59,10
131,2020-12-22,Toys,5006,76313,South,584.96,8
132,2019-11-27,Electronics,6585,84669,West,969.2,4
133,2023-04-05,Electronics,8735,37865,East,263.42,7
134,2023-08-18,Toys,5394,61019,South,215.45,6
135,2022-04-26,Home & Kitchen,4392,85185,North,478.77,10
136,2021-11-29,Sports,5661,86922,South,736.01,10
137,2020-06-04,Toys,5627,85275,West,612.17,8
138,2024-03-20,Toys,4418,10828,North,220.29,3
139,2020-02-13,Toys,1903,97112,East,139.52,9
140,2020-01-16,Clothing,3290,16613,South,579.48,7
141,2022-07-12,Sports,1016,59340,South,448.45,3
142,2020-03-09,Sports,6389,65066,South,438.11,3
143,2024-08-09,Electronics,8007,32010,South,448.36,4
144,2024-08-20,Clothing,2866,97874,South,343.62,7
145,2024-04-01,Home & Kitchen,8421,77082,East,163.97,2
146,2022-01-13,Home & Kitchen,4025,80067,North,760.33,2
147,2021-07-12,Sports,3208,79544,South,773.09,3
148,2021-12-27,Home & Kitchen,4164,37859,South,184.18,2
149,2022-08-27,Sports,9043,83434,West,536.78,6
150,2023-09-17,Sports,4744,43090,North,566.26,2
151,2021-01-05,Clothing,3564,92889,North,597.85,8
152,2021-12-23,Home & Kitchen,4045,48059,West,983.41,4
153,2023-02-12,Home & Kitchen,4706,73152,West,63.3,3
154,2024-07-04,Clothing,1013,92078,South,707.74,6
155,2022-12-04,Clothing,9979,44409,South,485.88,5
156,2020-09-10,Clothing,4801,63058,South,518.0,9
157,2022-06-21,Electronics,4395,43090,North,81.29,9
158,2023-09-17,Electronics,7241,75613,North,655.06,10
159,2024-08-16,Sports,4901,57145,West,59.02,3
160,2019-10-20,Home & Kitchen,4680,13204,South,733.04,1
161,2023-02-24,Clothing,7846,86240,South,490.81,1
162,2020-08-15,Home & Kitchen,7127,72756,East,80.69,1
163,2021-05-20,Toys,5026,76941,North,103.9,6
164,2019-11-16,Sports,1612,55381,East,286.56,7
165,2022-12-19,Toys,6237,65066,East,851.86,7
166,2022-11-26,Clothing,6377,35548,East,642.33,5
167,2022-05-30,Toys,3587,42976,North,634.54,8
168,2021-05-31,Home & Kitchen,3390,86922,West,354.32,8
169,2020-02-02,Sports,4898,63967,West,256.22,10
170,2023-05-24,Toys,8309,70849,North,514.65,6
171,2023-03-19,Sports,9128,57276,East,970.81,7
172,2024-09-08,Electronics,8654,10178,South,983.01,9
173,2024-01-09,Home & Kitchen,4790,12086,East,107.3,7
174,2023-03-06,Sports,5883,58489,West,131.14,6
175,2021-01-09,Toys,5668,29235,West,375.45,3
176,2023-12-15,Toys,8227,82760,South,925.23,8
177,2021-11-22,Electronics,2996,87218,West,549.37,8
178,2021-02-09,Toys,4483,22511,North,676.53,5
179,2022-08-22,Toys,3166,76941,South,431.94,7
180,2022-06-23,Electronics,2070,94697,West,826.17,8
181,2023-01-11,Sports,9637,88600,South,982.27,5
182,2021-05-18,Home & Kitchen,2200,78093,West,958.23,10
183,2020-02-07,Toys,9128,61021,South,183.24,10
184,2023-03-26,Sports,8227,44859,North,892.53,8
185,2024-01-02,Clothing,1329,12521,North,864.01,3
186,2020-04-20,Home & Kitchen,9053,95213,West,435.56,6
187,2021-08-13,Clothing,5389,16850,East,279.43,6
188,2020-07-15,Electronics,1123,21880,South,334.37,6
189,2024-06-06,Clothing,2890,11484,South,18.14,10
190,2023-03-30,Toys,1873,70849,West,851.0,7
191,2021-02-22,Clothing,2228,18517,North,458.18,7
192,2024-09-22,Sports,5451,28297,North,421.24,1
193,2023-06-29,Toys,3803,82459,East,63.13,6
194,2023-03-09,Electronics,3035,15468,South,584.77,1
195,2024-01-04,Toys,7096,97112,North,330.97,1
196,2023-05-28,Electronics,5241,29235,South,246.52,10
197,2024-05-30,Electronics,1199,85592,East,41.02,8
198,2021-10-26,Sports,3649,43950,South,870.33,2
199,2020-09-22,Clothing,1624,20280,East,975.44,7
200,2022-03-15,Sports,1911,35548,North,991.55,3
201,2023-03-01,Electronics,5857,51637,East,190.62,10
202,2021-10-25,Electronics,3941,59721,East,68.59,3
203,2023-07-24,Clothing,6574,77787,West,737.61,6
204,2022-08-07,Toys,5988,82459,South,325.27,2
205,2020-12-14,Electronics,6372,95471,South,451.33,6
206,2021-08-12,Sports,1612,19383,South,452.62,1
207,2023-10-10,Sports,1424,57437,North,158.06,3
208,2024-08-07,Toys,6355,37859,West,863.76,3
209,2021-03-13,Sports,2600,19553,East,543.37,2
210,2022-11-21,Home & Kitchen,9296,97112,North,490.97,7
211,2023-11-06,Home & Kitchen,3035,28297,West,688.67,6
212,2024-05-03,Clothing,4936,86240,North,33.75,1
213,2024-06-14,Home & Kitchen,4304,28177,West,830.58,9
214,2022-03-23,Clothing,7516,75061,North,841.82,3
215,2024-08-22,Clothing,3068,11550,North,190.32,3
216,2021-11-20,Electronics,4627,81458,North,559.25,2
217,2020-02-23,Clothing,3960,82760,South,395.35,1
218,2023-10-21,Sports,8054,15383,North,45.76,5
219,2020-12-15,Toys,3258,94697,North,684.41,6
220,2022-06-25,Clothing,4343,48755,South,829.37,5
221,2022-07-01,Electronics,8397,49154,East,506.68,4
222,2020-08-09,Toys,7524,49154,East,415.79,8
223,2022-02-02,Electronics,9726,18517,South,179.89,8
224,2024-07-09,Home & Kitchen,7853,28297,West,693.51,6
225,2023-09-05,Electronics,8948,73249,West,131.3,2
226,2021-11-22,Home & Kitchen,1013,21915,South,769.43,3
227,2019-12-07,Clothing,5824,52655,North,546.0,7
228,2021-08-03,Sports,7038,75061,South,587.4,2
229,2022-05-03,Clothing,3728,81458,North,654.85,6
230,2022-05-29,Toys,4590,21880,East,383.62,1
231,2023-09-19,Electronics,3417,18392,East,917.66,6
232,2023-08-01,Home & Kitchen,5824,94697,South,251.18,7
233,2022-02-21,Home & Kitchen,4934,36453,West,347.64,1
234,2021-07-13,Electronics,3578,16613,South,277.98,6
235,2023-06-27,Toys,5604,98423,South,520.25,10
236,2020-03-24,Electronics,7454,15468,North,956.0,7
237,2023-11-21,Sports,8098,73152,East,219.98,6
238,2024-01-25,Toys,9959,26915,East,157.01,10
239,2023-03-09,Home & Kitchen,1857,30476,North,574.98,3
240,2021-03-25,Sports,9101,36373,West,301.96,4
241,2021-01-14,Electronics,4430,86240,East,512.68,9
242,2022-11-29,Sports,8950,83747,West,977.7,4
243,2020-10-07,Sports,2500,75061,West,367.8,2
244,2021-04-27,Electronics,3483,48059,East,477.86,6
245,2023-06-25,Toys,1493,65066,North,445.17,4
246,2019-11-13,Toys,5200,60791,North,682.31,10
247,2022-04-21,Electronics,8577,28177,East,522.48,8
248,2022-08-04,Sports,4130,22511,North,420.55,10
249,2023-11-21,Toys,2783,90690,South,993.04,7
250,2021-02-06,Electronics,1252,61650,South,197.47,6
251,2021-05-31,Electronics,3067,90219,North,137.29,10
252,2020-12-24,Clothing,5632,35091,North,614.31,4
253,2021-07-04,Home & Kitchen,4745,48059,South,447.53,2
254,2023-08-01,Home & Kitchen,4912,59340,North,286.88,5
255,2020-09-06,Sports,5639,10178,North,673.5,9
256,2022-03-04,Clothing,4790,44212,West,994.03,5
257,2024-05-25,Toys,3694,21915,South,630.12,3
258,2022-05-03,Electronics,6803,70849,South,916.84,5
259,2020-08-12,Electronics,4001,55381,East,927.09,9
260,2021-06-17,Toys,5200,76026,North,777.2,6
261,2023-02-13,Toys,7529,95213,North,922.5,1
262,2023-04-28,Toys,6628,70323,West,38.38,10
263,2024-03-08,Electronics,8346,42747,West,458.42,10
264,2020-11-09,Electronics,4005,60791,West,15.88,7
265,2023-04-07,Sports,3211,10348,South,666.8,9
266,2021-03-18,Electronics,8513,23090,West,889.02,9
267,2020-02-01,Clothing,6355,10828,East,531.71,9
268,2023-08-12,Home & Kitchen,1512,38453,East,814.95,9
269,2021-11-29,Electronics,1834,35091,East,512.29,5
270,2023-11-10,Clothing,4395,72756,East,129.04,8
271,2024-07-13,Toys,8589,51637,North,806.48,1
272,2022-01-16,Home & Kitchen,8433,88671,South,113.43,5
273,2020-12-21,Clothing,9120,59721,East,382.01,4
274,2024-05-04,Electronics,7574,76869,West,851.26,5
275,2020-02-11,Toys,6842,79544,East,649.18,9
276,2024-01-06,Home & Kitchen,4005,48254,South,197.65,8
277,2022-05-08,Clothing,9480,50462,West,886.81,7
278,2023-10-14,Home & Kitchen,5438,11550,South,417.31,7
279,2020-11-18,Clothing,3166,83434,West,252.96,7
280,2021-09-27,Clothing,8905,63282,East,285.76,4
281,2023-07-15,Toys,3662,42976,North,921.02,8
282,2022-01-03,Toys,3671,60791,South,20.74,10
283,2020-01-26,Sports,9031,10828,East,907.37,7
284,2021-02-22,Sports,7009,40580,West,69.14,8
285,2021-10-28,Electronics,2738,38453,North,219.67,1
286,2021-08-24,Sports,6866,57437,West,609.62,5
287,2024-05-22,Electronics,2159,45467,West,126.27,8
288,2020-06-19,Toys,6820,36373,West,741.12,8
289,2022-04-03,Electronics,6507,38453,North,920.3,6
290,2022-06-21,Sports,8630,78093,South,861.69,2
291,2023-11-24,Clothing,3771,15834,East,694.13,7
292,2024-07-30,Clothing,7611,44617,North,560.44,7
293,2022-07-31,Electronics,4170,30476,West,180.83,10
294,2023-09-07,Sports,1857,18517,East,179.63,3
295,2019-10-30,Toys,7479,68669,East,638.44,7
296,2021-09-06,Home & Kitchen,7576,16857,East,816.33,9
297,2022-11-27,Sports,7804,92078,South,177.81,10
298,2023-05-11,Home & Kitchen,4861,78093,South,915.3,2
299,2021-07-26,Electronics,9430,53801,South,794.87,6
300,2020-06-01,Home & Kitchen,9253,18517,North,863.43,8
301,2020-03-16,Electronics,5910,90016,West,607.6,2
302,2021-12-10,Electronics,1204,80067,North,525.56,9
303,2022-01-22,Clothing,5200,12265,South,830.61,7
304,2020-09-14,Toys,5627,16377,North,640.35,1
305,2023-08-16,Home & Kitchen,4564,32010,South,30.3,1
306,2021-12-05,Sports,2424,93266,East,158.75,8
307,2020-04-15,Electronics,1252,72756,South,237.08,7
308,2022-09-29,Toys,5376,26929,East,705.63,6
309,2019-11-05,Electronics,1223,19925,South,46.81,2
310,2023-08-09,Clothing,2996,19553,South,908.28,6
311,2024-08-05,Toys,2983,37859,North,498.23,10
312,2022-08-06,Electronics,6013,43950,North,280.55,5
313,2021-01-29,Home & Kitchen,6477,84669,North,818.81,3
314,2023-12-18,Toys,6849,10828,East,171.24,4
315,2024-08-13,Home & Kitchen,9321,53801,East,943.61,9
316,2022-09-27,Electronics,6598,43950,South,335.08,7
317,2024-08-17,Electronics,7480,59340,East,918.19,10
318,2023-12-30,Clothing,2921,92078,North,100.87,5
319,2022-09-17,Sports,7375,14694,West,922.04,1
320,2023-07-10,Toys,5712,32010,East,267.31,1
321,2022-12-13,Toys,7468,26291,South,571.02,6
322,2024-01-01,Toys,1488,82831,West,861.55,6
323,2023-03-20,Electronics,3872,21915,North,359.11,9
324,2021-06-12,Home & Kitchen,8242,98731,North,926.42,3
325,2020-10-05,Sports,5910,73152,North,456.09,8
326,2020-12-20,Home & Kitchen,8840,37859,East,346.21,5
327,2021-12-16,Toys,8093,64766,East,349.8,3
328,2020-03-11,Toys,9282,28027,West,588.0,5
329,2022-11-13,Home & Kitchen,7606,28027,East,956.38,5
330,2022-08-13,Home & Kitchen,2598,63058,East,902.38,6
331,2022-01-08,Electronics,4294,82459,West,575.29,10
332,2023-06-29,Home & Kitchen,5590,76026,South,396.28,9
333,2020-12-15,Toys,1611,30967,South,268.14,2
334,2020-09-05,Sports,4999,28177,South,919.79,4
335,2021-05-16,Toys,7413,88671,South,341.15,4
336,2020-03-24,Electronics,6849,96248,North,531.91,3
337,2023-11-04,Toys,6895,57119,South,759.7,4
338,2020-12-02,Sports,1180,23857,South,31.26,10
339,2023-07-17,Sports,5960,18392,West,173.85,7
340,2020-07-16,Clothing,7991,29492,South,523.02,5
341,2021-04-24,Toys,8252,57119,South,895.91,9
342,2020-09-10,Toys,4022,87741,South,467.7,6
343,2019-11-18,Home & Kitchen,1030,88203,East,160.93,1
344,2023-12-31,Sports,3367,95213,North,340.09,2
