sale_id,sale_date,product_id,region_id,quantity_sold,sale_amount
1,2022-01-31,8,7,3,309.67
2,2022-12-30,97,5,7,208.15
3,2021-05-10,71,2,8,280.21
4,2022-07-18,64,6,15,40.6
5,2022-02-04,21,7,17,193.27
6,2021-12-31,72,8,19,429.0
7,2023-09-21,63,6,4,348.62
8,2021-11-10,85,8,16,491.1
9,2023-06-27,64,7,13,396.08
10,2019-05-02,20,2,12,231.24
11,2020-04-11,8,6,4,341.38
12,2022-05-23,58,9,12,390.2
13,2019-11-27,46,6,17,142.14
14,2023-01-22,31,4,9,39.41
15,2019-03-29,93,7,12,208.87
16,2022-10-28,9,3,15,80.89
17,2022-01-28,15,5,2,145.85
18,2021-05-21,94,1,9,473.95
19,2023-08-15,26,10,14,425.07
20,2019-05-11,10,3,4,300.31
21,2023-08-13,29,8,4,206.62
22,2022-08-25,80,9,6,139.52
23,2021-02-08,36,9,5,290.01
24,2019-12-10,84,10,17,271.25
25,2023-02-24,37,2,13,392.58
26,2022-12-08,86,4,17,464.73
27,2021-03-16,71,5,19,171.18
28,2020-01-21,23,3,1,111.09
29,2022-04-30,41,1,17,207.37
30,2021-08-13,93,6,3,224.4
31,2019-10-04,80,10,14,29.54
32,2022-03-30,28,2,12,432.23
33,2020-04-04,48,9,15,497.84
34,2022-08-30,38,1,6,462.37
35,2019-01-22,31,9,2,431.73
36,2019-09-10,14,7,4,496.37
37,2021-01-17,97,10,13,454.83
38,2021-05-06,73,2,13,347.3
39,2023-05-04,91,6,17,91.71
40,2020-04-19,88,8,6,86.61
41,2021-12-18,77,2,11,33.9
42,2020-05-25,90,5,19,211.8
43,2023-09-02,29,6,16,406.32
44,2023-02-08,51,3,8,250.25
45,2020-11-30,49,2,1,189.5
46,2021-09-02,43,6,10,63.53
47,2023-12-12,92,3,2,35.36
48,2019-07-09,92,2,19,205.6
49,2021-08-15,72,1,14,58.96
50,2020-11-17,87,8,3,60.74
51,2021-08-15,93,1,9,203.72
52,2020-07-16,5,5,8,256.39
53,2023-05-10,42,6,11,101.47
54,2022-06-21,7,3,15,345.47
55,2021-04-11,42,7,6,215.16
56,2023-03-09,36,2,2,55.04
57,2022-02-28,27,7,1,322.15
58,2023-02-17,58,2,3,184.9
59,2020-10-08,46,5,18,35.64
60,2019-01-21,66,7,14,474.51
61,2021-04-20,25,3,17,289.89
62,2019-06-16,73,4,2,244.08
63,2022-07-21,27,1,19,430.98
64,2020-01-23,1,3,9,469.0
65,2020-08-23,87,9,8,117.96
66,2019-11-12,74,10,10,406.97
67,2019-01-14,42,5,9,417.23
68,2019-08-30,52,8,8,36.66
69,2021-02-15,25,2,7,358.85
70,2022-10-01,54,3,6,40.85
71,2020-07-18,67,7,2,301.39
72,2021-06-16,6,10,9,337.93
73,2022-09-25,58,4,9,189.86
74,2019-04-02,70,9,19,441.59
75,2022-10-22,53,7,9,402.25
76,2021-08-13,66,1,2,463.72
77,2023-01-18,58,4,19,164.3
78,2022-12-22,82,10,16,20.55
79,2020-05-23,87,6,14,407.62
80,2021-02-14,2,6,1,119.26
81,2019-02-04,76,10,13,238.91
82,2019-07-25,22,6,2,410.49
83,2022-01-09,37,5,14,115.91
84,2023-05-05,20,3,1,162.84
85,2022-11-12,24,2,15,225.15
86,2021-10-22,84,3,18,143.19
87,2021-10-18,65,9,9,236.05
88,2022-11-14,65,3,8,14.7
89,2020-07-19,81,3,7,113.97
90,2022-02-03,1,1,9,417.95
91,2023-12-01,94,2,9,212.61
92,2023-02-09,3,3,11,321.84
93,2020-12-03,46,2,4,123.82
94,2020-02-06,55,8,7,328.44
95,2020-12-30,75,6,7,499.99
96,2023-04-29,88,7,4,301.69
97,2019-06-11,86,1,12,317.9
98,2019-07-21,64,6,17,64.64
99,2021-09-22,45,2,3,207.66
100,2019-09-27,26,6,9,431.76
101,2021-03-26,77,3,5,418.79
102,2022-07-18,65,7,16,265.98
103,2020-03-31,24,3,8,452.69
104,2023-01-25,74,9,16,80.04
105,2023-10-17,35,3,19,332.51
106,2022-06-29,24,7,16,131.95
