CUST_NUM,Accessory,status,amount,renewal
CUST83481,Earphones,PENDING,269,YES
CUST83481,Bluetooth Speaker,PENDING,2810,NO
CUST83481,Smart Watch,ACTIVE,2947,NO
CUST83481,Power Bank,ACTIVE,2347,YES
CUST83481,Phone Stand,PENDING,2800,YES
CUST83481,Bluetooth Speaker,EXPIRED,1899,NO
CUST83481,Charger,PENDING,3063,YES
CUST83481,Memory Card,ACTIVE,4233,NO
CUST83481,Screen Guard,ACTIVE,3845,NO
CUST83481,Smart Watch,ACTIVE,4156,YES
CUST83481,Memory Card,PENDING,272,YES
CUST83481,USB Cable,EXPIRED,4392,YES
CUST83481,Phone Stand,ACTIVE,665,YES
CUST36378,Power Bank,PENDING,4774,NO
CUST36378,Memory Card,ACTIVE,3516,NO
CUST36378,Charger,PENDING,3441,YES
CUST36378,Screen Guard,PENDING,4408,NO
CUST36378,Memory Card,ACTIVE,2921,YES
CUST36378,Phone Stand,PENDING,3479,YES
CUST36378,Screen Guard,EXPIRED,4225,YES
CUST36378,Charger,ACTIVE,321,NO
CUST36378,Smart Watch,EXPIRED,3829,YES
CUST74936,Bluetooth Speaker,ACTIVE,4435,YES
CUST74936,Power Bank,EXPIRED,587,NO
CUST74936,Power Bank,ACTIVE,1737,YES
CUST74936,Memory Card,EXPIRED,2497,NO
CUST74936,Power Bank,ACTIVE,3896,NO
CUST74936,Charger,ACTIVE,4460,YES
CUST74936,USB Cable,PENDING,3285,YES
CUST74936,Bluetooth Speaker,PENDING,3347,NO
CUST66647,Power Bank,PENDING,640,NO
CUST66647,Earphones,PENDING,116,NO
CUST66647,Screen Guard,ACTIVE,1891,YES
CUST66647,Screen Guard,PENDING,1073,NO
CUST66647,Memory Card,EXPIRED,4759,NO
CUST66647,Mobile Cover,PENDING,2469,NO
CUST66647,Screen Guard,ACTIVE,4593,NO
CUST66647,Screen Guard,ACTIVE,3378,YES
CUST66647,Screen Guard,PENDING,233,YES
CUST66647,Smart Watch,EXPIRED,4985,YES
CUST66647,Screen Guard,PENDING,4460,NO
CUST90755,Power Bank,EXPIRED,2630,YES
CUST90755,Smart Watch,PENDING,2852,YES
CUST90755,Memory Card,EXPIRED,2722,YES
CUST90755,Bluetooth Speaker,EXPIRED,1053,YES
CUST90755,Earphones,PENDING,1616,NO
CUST90755,Smart Watch,EXPIRED,1155,YES
CUST90755,Memory Card,EXPIRED,1096,YES
CUST90755,Charger,EXPIRED,3033,NO
CUST90755,Screen Guard,PENDING,4787,YES
CUST90755,Bluetooth Speaker,ACTIVE,2550,NO
CUST90755,Memory Card,EXPIRED,3438,NO
CUST90755,Memory Card,EXPIRED,2515,NO
CUST90755,Screen Guard,EXPIRED,3453,NO
CUST49313,Charger,EXPIRED,723,NO
CUST49313,Smart Watch,EXPIRED,3177,YES
CUST49313,USB Cable,PENDING,4233,NO
CUST49313,USB Cable,PENDING,3287,NO
CUST49313,Power Bank,EXPIRED,816,YES
CUST49313,Smart Watch,PENDING,1878,NO
CUST49313,Earphones,EXPIRED,4361,NO
CUST22689,Memory Card,ACTIVE,1527,NO
CUST22689,Screen Guard,ACTIVE,1796,NO
CUST22689,Mobile Cover,EXPIRED,1230,NO
CUST22689,Phone Stand,ACTIVE,4820,NO
CUST22689,USB Cable,ACTIVE,4214,NO
CUST22689,Charger,EXPIRED,1899,YES
CUST22689,Mobile Cover,PENDING,400,YES
CUST22689,Power Bank,ACTIVE,2847,YES
CUST22689,Mobile Cover,PENDING,1274,NO
CUST22689,Smart Watch,EXPIRED,2327,NO
CUST22689,Smart Watch,ACTIVE,1771,NO
CUST22689,Charger,ACTIVE,2592,NO
CUST22689,Charger,ACTIVE,4186,YES
CUST22689,Memory Card,PENDING,4594,NO
CUST86570,Bluetooth Speaker,PENDING,4187,YES
CUST86570,Charger,EXPIRED,499,YES
CUST86570,Earphones,PENDING,3200,YES
CUST86570,Screen Guard,ACTIVE,2218,YES
CUST86570,Memory Card,EXPIRED,3566,YES
CUST86570,Phone Stand,PENDING,4307,YES
CUST86570,Charger,ACTIVE,1138,YES
CUST86570,Phone Stand,ACTIVE,3971,YES
CUST86570,Screen Guard,EXPIRED,1869,YES
CUST74874,Screen Guard,PENDING,4092,NO
CUST74874,Memory Card,PENDING,3668,YES
CUST74874,Screen Guard,EXPIRED,3262,NO
CUST74874,Smart Watch,ACTIVE,1144,YES
CUST74874,USB Cable,EXPIRED,754,NO
CUST74874,USB Cable,PENDING,2695,YES
CUST74874,Power Bank,ACTIVE,3606,YES
CUST74874,Charger,ACTIVE,3151,YES
CUST74874,Earphones,PENDING,634,YES
CUST74874,Charger,EXPIRED,664,YES
CUST74874,Charger,PENDING,355,NO
CUST74874,Power Bank,ACTIVE,4849,YES
CUST74874,Screen Guard,EXPIRED,2184,NO
CUST89636,Smart Watch,ACTIVE,1685,NO
CUST89636,Charger,PENDING,2610,YES
CUST89636,Phone Stand,PENDING,3666,NO
CUST89636,Earphones,EXPIRED,4621,NO
