customer_code,custmer_name,customer_type
Cus001,"Surge Stores","Brick & Mortar"
Cus002,"Nomad Stores","Brick & Mortar"
Cus003,"Excel Stores","Brick & Mortar"
Cus004,"Surface Stores","Brick & Mortar"
Cus005,"Premium Stores","Brick & Mortar"
Cus006,"Electricalsara Stores","Brick & Mortar"
Cus007,"Info Stores","Brick & Mortar"
Cus008,"Acclaimed Stores","Brick & Mortar"
Cus009,"Electricalsquipo Stores","Brick & Mortar"
Cus010,"Atlas Stores","Brick & Mortar"
Cus011,"Flawless Stores","Brick & Mortar"
Cus012,"Integration Stores","Brick & Mortar"
Cus013,"Unity Stores","Brick & Mortar"
Cus014,"Forward Stores","Brick & Mortar"
Cus015,"Electricalsbea Stores","Brick & Mortar"
Cus016,"Logic Stores","Brick & Mortar"
Cus017,"Epic Stores","Brick & Mortar"
Cus018,"Electricalslance Stores","Brick & Mortar"
Cus019,"Electricalsopedia Stores","Brick & Mortar"
Cus020,Nixon,E-Commerce
Cus021,Modular,E-Commerce
Cus022,Electricalslytical,E-Commerce
Cus023,Sound,E-Commerce
Cus024,Power,E-Commerce
Cus025,Path,E-Commerce
Cus026,Insight,E-Commerce
Cus027,Control,E-Commerce
Cus028,Sage,E-Commerce
Cus029,Electricalsocity,E-Commerce
Cus030,Synthetic,E-Commerce
Cus031,Zone,E-Commerce
Cus032,Elite,E-Commerce
Cus033,All-Out,E-Commerce
Cus034,Expression,E-Commerce
Cus035,Relief,E-Commerce
Cus036,Novus,E-Commerce
Cus037,Propel,E-Commerce
Cus038,Leader,E-Commerce
