INVENTORY_DATE,STORE_ID,PRODUCT_ID,OPENING_STOCK,PURCHASES,SALES,CLOSING_STOCK,REGION_ID,SHRINKAGE,REORDER_TRIGGERED
2024-12-15,STR010,PRD0116,923,276,532,667,R1,4.77,0
2024-01-28,STR030,PRD0002,446,132,93,485,R5,2.63,0
2023-02-26,STR003,PRD0003,848,275,48,1075,R3,3.69,0
2023-12-24,STR010,PRD0095,512,32,520,24,R1,2.85,1
2024-01-07,STR028,PRD0032,605,337,86,856,R3,1.75,0
2023-03-12,STR026,PRD0087,374,36,374,36,R3,3.83,1
2024-03-17,STR022,PRD0068,358,81,165,274,R3,4.05,0
2024-03-10,STR006,PRD0121,260,343,387,216,R2,0.44,0
2024-03-24,STR018,PRD0053,950,317,426,841,R5,1.35,0
2023-03-05,STR028,PRD0065,335,352,576,111,R3,0.09,0
2023-09-10,STR045,PRD0105,355,96,386,65,R4,0.01,1
2024-04-07,STR013,PRD0031,921,45,356,610,R2,1.92,0
2023-10-29,STR014,PRD0045,767,195,96,866,R5,3.66,0
2024-07-21,STR022,PRD0047,227,68,233,62,R3,0.23,1
2023-05-07,STR032,PRD0106,819,62,474,407,R2,3.87,0
2024-08-25,STR025,PRD0120,339,251,247,343,R4,0.37,0
2023-12-24,STR026,PRD0120,785,216,346,655,R3,1.84,0
2024-04-28,STR033,PRD0014,311,391,184,518,R1,0.97,0
2023-04-02,STR025,PRD0059,538,334,284,588,R4,4.8,0
2024-11-10,STR047,PRD0142,124,176,297,3,R2,3.02,1
2023-10-08,STR027,PRD0044,294,451,30,715,R1,3.35,0
2023-04-23,STR026,PRD0058,315,79,41,353,R3,2.92,0
2023-09-10,STR016,PRD0015,126,141,143,124,R2,3.76,0
2023-09-17,STR008,PRD0151,587,165,286,466,R2,0.4,0
2024-01-21,STR001,PRD0066,377,20,81,316,R2,4.37,0
2024-01-21,STR012,PRD0102,439,499,394,544,R4,4.18,0
2023-08-06,STR001,PRD0101,108,231,190,149,R2,0.12,0
2024-04-07,STR036,PRD0078,112,420,42,490,R3,1.48,0
2023-11-26,STR004,PRD0017,230,204,286,148,R4,3.33,0
2024-06-23,STR028,PRD0007,168,320,357,131,R3,1.42,0
2023-03-26,STR036,PRD0027,165,390,189,366,R3,0.44,0
2024-05-05,STR049,PRD0002,171,65,84,152,R3,0.99,0
2023-09-17,STR040,PRD0108,672,172,545,299,R2,0.05,0
2023-12-03,STR013,PRD0018,953,304,113,1144,R2,1.85,0
2024-12-01,STR028,PRD0137,632,237,150,719,R3,2.53,0
2023-03-26,STR005,PRD0044,477,221,503,195,R1,3.87,0
2023-10-08,STR037,PRD0051,562,242,526,278,R1,0.55,0
2023-03-26,STR016,PRD0039,232,182,269,145,R2,3.4,0
2023-12-03,STR021,PRD0086,616,291,361,546,R3,3.92,0
2024-04-21,STR020,PRD0061,223,327,260,290,R3,4.91,0
2023-04-30,STR029,PRD0021,267,17,124,160,R2,1.84,0
2023-09-03,STR018,PRD0111,993,85,278,800,R5,3.33,0
2023-07-09,STR032,PRD0150,617,196,241,572,R2,3.76,0
2024-09-22,STR007,PRD0093,112,37,67,82,R5,3.18,1
2023-10-29,STR016,PRD0152,148,9,141,16,R2,2.71,1
2023-11-05,STR011,PRD0157,603,464,570,497,R4,1.65,0
2023-04-09,STR013,PRD0101,444,122,427,139,R2,0.18,0
2023-02-05,STR050,PRD0064,615,235,234,616,R2,0.95,0
2024-11-17,STR016,PRD0059,443,429,14,858,R2,4.38,0
2024-01-14,STR019,PRD0032,731,202,352,581,R3,1.6,0
2024-03-24,STR047,PRD0006,214,142,192,164,R2,2.15,0
2023-04-23,STR016,PRD0054,210,466,484,192,R2,0.19,0
2023-03-12,STR047,PRD0055,706,351,128,929,R2,2.2,0
2023-11-26,STR044,PRD0010,151,492,552,91,R5,3.82,1
2024-06-23,STR035,PRD0083,350,467,511,306,R5,2.12,0
2023-04-16,STR032,PRD0099,775,24,495,304,R2,0.43,0
2024-08-04,STR040,PRD0062,328,152,181,299,R2,4.42,0
2024-07-21,STR042,PRD0029,605,155,450,310,R3,4.38,0
2024-08-04,STR015,PRD0153,709,434,574,569,R5,2.82,0
2024-02-11,STR049,PRD0136,488,251,29,710,R3,4.04,0
2023-12-31,STR048,PRD0010,277,225,72,430,R2,2.36,0
2023-08-06,STR020,PRD0107,887,137,519,505,R3,3.39,0
2024-12-22,STR028,PRD0052,919,120,159,880,R3,4.32,0
2023-11-26,STR018,PRD0019,466,92,174,384,R5,2.69,0
