ORDER_ID,ORDER_DATE,PRODUCT_ID,PRODUCT_NAME,BRAND,CATEGORY,QUANTITY,UNIT_PRICE,DISCOUNT_PCT,TOTAL_SALES,CUSTOMER_ID,STORE_ID,CITY,STATE,REGION_ID,CHANNEL_ID,ORDER_STATUS,PAYMENT_METHOD,DELIVERY_DAYS,RETURN_REASON
ORD0000001,2024-02-05,PRD0077,Cycling Helmet,Cosco,Sports,1,3822.67,15,3249.27,CUS00678,STR013,Jaipur,Rajasthan,R2,CH02,Delivered,Credit Card,6.0,
ORD0000002,2023-02-05,PRD0022,Men's T-Shirt,Levi's,Clothing,6,2392.83,10,12921.28,CUS02552,STR031,Mumbai,Maharashtra,R5,CH01,Delivered,Credit Card,6.0,
ORD0000003,2024-06-19,PRD0032,Winter Jacket,Levi's,Clothing,2,2430.03,10,4374.05,CUS01335,STR002,Surat,Gujarat,R2,CH02,Delivered,UPI,3.0,
ORD0000004,2023-07-06,PRD0140,Musical Set,Nerf,Toys,2,827.04,20,1323.26,CUS01552,STR016,Surat,Gujarat,R2,CH01,Delivered,COD,10.0,
ORD0000005,2023-08-23,PRD0124,Remote Control Car,Lego,Toys,1,3578.22,5,3399.31,CUS04737,STR037,Chennai,Tamil Nadu,R1,CH01,Delivered,COD,8.0,
ORD0000006,2024-11-28,PRD0026,Denim Jeans,UCB,Clothing,2,2030.13,15,3451.22,CUS04039,STR032,Jaipur,Rajasthan,R2,CH02,Shipped,Credit Card,1.0,
ORD0000007,2023-04-13,PRD0089,Hair Mask,Lakme,Beauty,8,1947.02,0,15576.16,CUS04099,STR027,Bengaluru,Karnataka,R1,CH01,Cancelled,Debit Card,,
ORD0000008,2024-06-05,PRD0019,Smart Watch,Sony,Electronics,7,9485.66,0,66399.62,CUS02078,STR009,Kochi,Kerala,R5,CH02,Delivered,Net Banking,5.0,
ORD0000009,2023-05-15,PRD0139,Musical Set,Lego,Toys,10,3083.38,10,27750.42,CUS04549,STR015,Bhopal,Madhya Pradesh,R5,CH02,Delivered,Net Banking,7.0,
ORD0000010,2024-05-15,PRD0144,Refined Oil 1L,Amul,Grocery,9,298.6,15,2284.29,CUS00945,STR017,Hyderabad,Telangana,R2,CH02,Pending,Net Banking,,
ORD0000011,2023-06-11,PRD0118,Zero to One,Oxford,Books,1,551.9,0,551.9,CUS03569,STR030,Mumbai,Maharashtra,R5,CH02,Delivered,Credit Card,5.0,
ORD0000012,2023-03-06,PRD0084,Foundation SPF30,Maybelline,Beauty,8,1578.5,5,11996.6,CUS04810,STR042,Chennai,Tamil Nadu,R3,CH01,Pending,Wallet,,
ORD0000013,2024-08-01,PRD0121,Building Blocks Set,Funskool,Toys,1,1972.8,5,1874.16,CUS01937,STR049,Ahmedabad,Gujarat,R3,CH02,Delivered,Debit Card,10.0,
ORD0000014,2023-10-16,PRD0108,Atomic Habits,Rupa,Books,6,531.55,15,2710.9,CUS03697,STR048,Bengaluru,Karnataka,R2,CH01,Cancelled,Debit Card,,
ORD0000015,2024-02-02,PRD0088,Face Serum,Lakme,Beauty,5,1456.05,20,5824.2,CUS00003,STR008,Lucknow,Uttar Pradesh,R2,CH02,Delivered,COD,1.0,
ORD0000016,2024-12-27,PRD0151,Biscuit Pack,Britannia,Grocery,4,409.92,0,1639.68,CUS03595,STR020,Pune,Maharashtra,R3,CH03,Delivered,Debit Card,7.0,
ORD0000017,2023-12-23,PRD0006,LED Monitor,Samsung,Electronics,3,30264.22,15,77173.76,CUS02372,STR022,Surat,Gujarat,R3,CH01,Delivered,COD,10.0,
ORD0000018,2023-10-29,PRD0093,Kajal Black,L'Oreal,Beauty,8,1098.23,15,7467.96,CUS02449,STR038,Surat,Gujarat,R3,CH02,Pending,UPI,,
ORD0000019,2024-06-02,PRD0028,Formal Shirt,Levi's,Clothing,10,2444.64,15,20779.44,CUS03966,STR004,Mumbai,Maharashtra,R4,CH01,Delivered,Net Banking,6.0,
ORD0000020,2024-05-30,PRD0075,Water Bottle,Decathlon,Sports,7,4317.39,10,27199.56,CUS02877,STR044,Jaipur,Rajasthan,R5,CH01,Delivered,COD,10.0,
