RETURN_ID,ORDER_ID,RETURN_DATE,PRODUCT_ID,CUSTOMER_ID,RETURN_REASON,REFUND_AMOUNT,RETURN_STATUS,CHANNEL_ID
RET00001,ORD0001653,2023-09-27,PRD0045,CUS00147,Arrived Late,11044.69,Pending,CH02
RET00002,ORD0001589,2024-07-19,PRD0009,CUS02849,Arrived Late,144754.06,Approved,CH01
RET00003,ORD0018197,2024-12-03,PRD0074,CUS01814,Changed Mind,23072.43,Rejected,CH02
RET00004,ORD0016546,2023-07-13,PRD0120,CUS03165,Defective Product,1904.11,Pending,CH03
RET00005,ORD0003418,2024-09-10,PRD0018,CUS00561,Defective Product,50429.46,Approved,CH02
RET00006,ORD0011697,2023-03-23,PRD0157,CUS04442,Size/Fit Issue,3322.26,Approved,CH03
RET00007,ORD0006823,2023-08-15,PRD0116,CUS01756,Arrived Late,3373.57,Rejected,CH02
RET00008,ORD0015343,2024-03-18,PRD0035,CUS03005,Defective Product,14661.46,Pending,CH02
RET00009,ORD0006399,2023-09-19,PRD0146,CUS03689,Size/Fit Issue,668.61,Pending,CH02
RET00010,ORD0005310,2023-11-24,PRD0024,CUS00521,Size/Fit Issue,2051.45,Approved,CH02
RET00011,ORD0010013,2023-12-31,PRD0074,CUS03187,Size/Fit Issue,8615.48,Approved,CH03
RET00012,ORD0010642,2024-04-10,PRD0016,CUS04314,Wrong Item Delivered,120187.96,Approved,CH02
RET00013,ORD0009622,2023-09-29,PRD0087,CUS03335,Defective Product,6408.05,Pending,CH01
RET00014,ORD0019744,2023-01-20,PRD0121,CUS04734,Not as Described,16128.6,Approved,CH02
RET00015,ORD0005471,2024-04-01,PRD0055,CUS03137,Size/Fit Issue,19446.36,Pending,CH01
RET00016,ORD0019473,2023-10-20,PRD0126,CUS03054,Size/Fit Issue,10706.58,Approved,CH01
RET00017,ORD0016878,2024-05-29,PRD0074,CUS02120,Size/Fit Issue,26696.52,Approved,CH02
RET00018,ORD0008366,2023-09-25,PRD0022,CUS04932,Changed Mind,20890.19,Approved,CH02
RET00019,ORD0019782,2023-04-03,PRD0008,CUS04180,Not as Described,67266.66,Rejected,CH03
RET00020,ORD0003628,2024-02-06,PRD0080,CUS02058,Wrong Item Delivered,4269.6,Pending,CH01
RET00021,ORD0016343,2024-10-27,PRD0005,CUS02620,Defective Product,13410.0,Approved,CH02
RET00022,ORD0000455,2024-01-26,PRD0144,CUS01334,Arrived Late,1965.74,Pending,CH03
RET00023,ORD0017998,2024-11-26,PRD0047,CUS03502,Not as Described,8804.54,Pending,CH02
RET00024,ORD0016439,2024-02-26,PRD0125,CUS02327,Wrong Item Delivered,8542.62,Pending,CH01
RET00025,ORD0016186,2024-12-19,PRD0071,CUS00618,Wrong Item Delivered,6214.19,Approved,CH02
RET00026,ORD0002682,2023-10-23,PRD0093,CUS03492,Not as Described,6712.62,Approved,CH02
RET00027,ORD0001185,2024-03-14,PRD0101,CUS02665,Not as Described,4356.32,Approved,CH01
RET00028,ORD0017853,2024-07-21,PRD0102,CUS01367,Wrong Item Delivered,5523.23,Pending,CH02
RET00029,ORD0015605,2023-03-22,PRD0120,CUS03087,Not as Described,361.31,Approved,CH02
RET00030,ORD0007091,2024-05-15,PRD0117,CUS01276,Defective Product,590.15,Approved,CH02
RET00031,ORD0006567,2024-08-29,PRD0152,CUS02089,Wrong Item Delivered,3258.81,Approved,CH01
RET00032,ORD0014584,2024-06-05,PRD0141,CUS01667,Changed Mind,2247.52,Approved,CH02
RET00033,ORD0007334,2024-08-11,PRD0066,CUS02794,Wrong Item Delivered,14962.4,Rejected,CH03
RET00034,ORD0014939,2024-12-08,PRD0109,CUS03633,Arrived Late,1982.08,Approved,CH02
RET00035,ORD0017295,2024-06-17,PRD0047,CUS02863,Not as Described,33484.73,Approved,CH01
RET00036,ORD0019404,2023-12-24,PRD0040,CUS01385,Size/Fit Issue,1309.31,Approved,CH01
RET00037,ORD0012211,2024-01-18,PRD0071,CUS00247,Defective Product,15153.69,Pending,CH02
RET00038,ORD0010737,2024-09-10,PRD0010,CUS04603,Wrong Item Delivered,78459.96,Approved,CH02
RET00039,ORD0017696,2024-04-04,PRD0002,CUS00105,Size/Fit Issue,222715.34,Approved,CH01
RET00040,ORD0012625,2024-12-22,PRD0008,CUS00526,Damaged Packaging,127841.63,Approved,CH03
RET00041,ORD0004337,2024-04-19,PRD0108,CUS03822,Wrong Item Delivered,3737.42,Approved,CH02
RET00042,ORD0002654,2024-03-02,PRD0157,CUS01882,Not as Described,1442.33,Approved,CH01
RET00043,ORD0019095,2023-07-14,PRD0108,CUS02927,Damaged Packaging,3536.37,Approved,CH01
RET00044,ORD0011441,2023-03-11,PRD0103,CUS03389,Damaged Packaging,1784.86,Approved,CH01
RET00045,ORD0011827,2024-06-04,PRD0111,CUS02937,Arrived Late,2513.08,Approved,CH03
RET00046,ORD0006882,2023-08-09,PRD0118,CUS00603,Arrived Late,2706.64,Approved,CH01
RET00047,ORD0016284,2023-09-23,PRD0011,CUS03869,Arrived Late,206162.49,Approved,CH02
RET00048,ORD0013188,2023-05-16,PRD0048,CUS03976,Not as Described,12606.65,Pending,CH01
RET00049,ORD0015653,2024-08-04,PRD0065,CUS02841,Arrived Late,25117.03,Rejected,CH01
RET00050,ORD0009259,2023-11-13,PRD0154,CUS00053,Changed Mind,1021.1,Approved,CH01
RET00051,ORD0012330,2023-10-01,PRD0025,CUS03550,Wrong Item Delivered,7486.68,Approved,CH01
RET00052,ORD0002917,2024-10-06,PRD0081,CUS04535,Defective Product,3618.04,Approved,CH01
RET00053,ORD0002086,2024-03-12,PRD0125,CUS01820,Size/Fit Issue,6557.61,Approved,CH03
RET00054,ORD0000193,2023-10-19,PRD0158,CUS03739,Arrived Late,1497.52,Approved,CH01
RET00055,ORD0001829,2024-07-08,PRD0041,CUS03304,Damaged Packaging,15978.75,Approved,CH02
RET00056,ORD0001483,2024-07-06,PRD0002,CUS01660,Changed Mind,67573.62,Approved,CH01
