PRODUCT_ID,PRODUCT_NAME,BRAND,CATEGORY,PRICE,SUBCATEGORY,RATING,STOCK_QTY,DISCOUNT_PCT
PRD0001,Wireless Earbuds,Samsung,Electronics,8250.32,Electronics - Segment 1,3.6,164,5
PRD0002,Wireless Earbuds,Samsung,Electronics,27800.98,Electronics - Segment 1,4.8,94,20
PRD0003,"Smart TV 43""",LG,Electronics,8453.48,Electronics - Segment 2,3.2,169,20
PRD0004,"Smart TV 43""",Boat,Electronics,8296.08,Electronics - Segment 2,3.4,382,25
PRD0005,LED Monitor,Boat,Electronics,20085.59,Electronics - Segment 3,3.9,192,30
PRD0006,LED Monitor,Samsung,Electronics,30264.22,Electronics - Segment 3,3.3,266,10
PRD0007,Laptop Stand,Sony,Electronics,12164.38,Electronics - Segment 1,4.9,222,0
PRD0008,Laptop Stand,Samsung,Electronics,18897.82,Electronics - Segment 1,3.7,226,20
PRD0009,USB-C Hub,Sony,Electronics,31713.85,Electronics - Segment 2,4.5,324,0
PRD0010,USB-C Hub,LG,Electronics,9864.01,Electronics - Segment 2,3.6,371,20
PRD0011,Webcam HD,Sony,Electronics,24820.56,Electronics - Segment 3,4.4,73,25
PRD0012,Webcam HD,Apple,Electronics,30692.05,Electronics - Segment 3,5.0,487,5
PRD0013,Gaming Mouse,Samsung,Electronics,18903.79,Electronics - Segment 1,3.9,477,10
PRD0014,Gaming Mouse,Apple,Electronics,18605.43,Electronics - Segment 1,3.4,186,25
PRD0015,Keyboard Mechanical,Samsung,Electronics,25773.93,Electronics - Segment 2,3.3,423,5
PRD0016,Keyboard Mechanical,Apple,Electronics,21367.81,Electronics - Segment 2,3.5,377,25
PRD0017,Power Bank 20K,Boat,Electronics,14088.46,Electronics - Segment 3,3.6,443,30
PRD0018,Power Bank 20K,Samsung,Electronics,14371.44,Electronics - Segment 3,3.1,211,15
PRD0019,Smart Watch,Sony,Electronics,9485.66,Electronics - Segment 1,4.8,340,25
PRD0020,Smart Watch,Sony,Electronics,13878.8,Electronics - Segment 1,4.0,379,15
PRD0021,Men's T-Shirt,H&M,Clothing,1235.71,Clothing - Segment 1,3.5,337,20
PRD0022,Men's T-Shirt,Levi's,Clothing,2392.83,Clothing - Segment 1,3.9,348,15
PRD0023,Women's Kurti,Levi's,Clothing,1126.37,Clothing - Segment 2,5.0,310,15
PRD0024,Women's Kurti,Zara,Clothing,2413.88,Clothing - Segment 2,4.7,128,25
PRD0025,Denim Jeans,H&M,Clothing,2500.99,Clothing - Segment 3,3.8,82,15
PRD0026,Denim Jeans,UCB,Clothing,2030.13,Clothing - Segment 3,3.9,178,20
PRD0027,Formal Shirt,Zara,Clothing,2232.68,Clothing - Segment 1,3.2,324,30
PRD0028,Formal Shirt,Levi's,Clothing,2444.64,Clothing - Segment 1,3.7,200,15
PRD0029,Ethnic Saree,H&M,Clothing,1688.94,Clothing - Segment 2,4.9,498,25
PRD0030,Ethnic Saree,Levi's,Clothing,2932.53,Clothing - Segment 2,4.5,309,0
PRD0031,Winter Jacket,Levi's,Clothing,2620.01,Clothing - Segment 3,4.0,151,5
PRD0032,Winter Jacket,Levi's,Clothing,2430.03,Clothing - Segment 3,4.1,448,20
PRD0033,Track Pants,Zara,Clothing,2037.47,Clothing - Segment 1,4.0,107,10
PRD0034,Track Pants,Levi's,Clothing,1174.69,Clothing - Segment 1,3.5,340,0
PRD0035,Casual Shorts,Zara,Clothing,2356.58,Clothing - Segment 2,4.6,439,20
PRD0036,Casual Shorts,H&M,Clothing,908.14,Clothing - Segment 2,4.0,331,5
