order_id,customer_id,restaurant_id,order_ts,status,total_amount,coupon_code,driver_id,payment_method
O00001,1825,13,2025-08-28 04:18:59,CANCELLED,485.04,QB015,72,COD
O00002,8936,45,2025-08-03 01:54:43,DELIVERED,690.69,QB002,48,COD
O00003,3812,259,2025-09-09 19:58:22,DELIVERED,137.15,QB013,367,PREPAID
O00004,3612,230,2025-08-21 03:21:07,DELIVERED,489.47,QB001,389,COD
O00005,6925,175,2025-10-17 22:22:00,PREPARING,317.67,QB049,173,COD
O00006,1520,195,2025-08-18 00:39:48,PLACED,602.57,QB023,310,PREPAID
O00007,712,374,2025-09-08 04:33:38,OUT_FOR_DELIVERY,850.72,QB025,41,PREPAID
O00008,5926,296,2025-08-24 21:04:48,CONFIRMED,1086.4,QB003,339,COD
O00009,4742,41,2025-10-05 11:37:27,CONFIRMED,1313.08,QB025,143,PREPAID
O00010,5978,84,2025-09-07 12:55:52,PREPARING,597.38,QB043,137,COD
O00011,9981,326,2025-08-08 23:43:05,CONFIRMED,847.8,QB016,84,PREPAID
O00012,6217,139,2025-09-08 00:00:11,CANCELLED,1063.43,QB015,351,PREPAID
O00013,917,118,2025-10-13 13:39:37,PLACED,1227.06,QB026,138,COD
O00014,3457,468,2025-10-14 09:09:54,DELIVERED,1326.91,QB021,109,PREPAID
O00015,6483,453,2025-10-25 12:01:08,CANCELLED,742.39,QB017,72,COD
O00016,9198,276,2025-09-20 06:00:34,PREPARING,1145.82,QB028,460,PREPAID
O00017,5931,113,2025-10-26 11:05:08,CONFIRMED,813.34,QB006,387,COD
O00018,1797,79,2025-09-25 02:45:17,CANCELLED,323.97,QB044,217,COD
O00019,6305,196,2025-09-26 20:24:36,DELIVERED,1494.57,QB034,129,COD
O00020,1877,350,2025-10-11 10:53:24,DELIVERED,1151.23,QB050,329,PREPAID
O00021,1828,151,2025-08-10 11:40:10,OUT_FOR_DELIVERY,321.42,QB001,489,PREPAID
O00022,8202,391,2025-10-20 20:38:15,CONFIRMED,810.75,QB007,446,PREPAID
O00023,8318,312,2025-08-13 21:40:13,CONFIRMED,313.97,QB049,83,COD
O00024,9814,166,2025-10-09 18:21:22,OUT_FOR_DELIVERY,127.27,QB024,450,PREPAID
O00025,3924,30,2025-09-26 01:23:08,CONFIRMED,1329.21,QB006,44,PREPAID
O00026,1134,390,2025-10-23 03:18:01,DELIVERED,1172.17,QB009,338,PREPAID
O00027,9008,85,2025-08-28 08:02:41,PREPARING,838.74,QB039,217,COD
O00028,8836,387,2025-09-20 06:50:26,CANCELLED,1065.81,QB046,160,PREPAID
O00029,6119,225,2025-10-24 03:49:40,DELIVERED,732.08,QB016,116,COD
O00030,5540,11,2025-09-10 20:18:29,DELIVERED,875.49,QB038,113,COD
O00031,1164,363,2025-09-24 17:02:10,CANCELLED,182.42,QB005,464,COD
O00032,5414,37,2025-10-20 16:22:50,DELIVERED,433.21,QB043,249,COD
O00033,8835,68,2025-08-04 18:17:24,CANCELLED,1409.72,QB037,296,PREPAID
O00034,3982,402,2025-10-18 08:10:47,OUT_FOR_DELIVERY,1230.5,QB013,49,COD
O00035,7063,182,2025-10-26 19:13:30,OUT_FOR_DELIVERY,675.54,QB047,28,COD
O00036,994,207,2025-10-01 19:50:59,CANCELLED,575.02,QB007,128,COD
O00037,3117,275,2025-09-01 04:43:09,OUT_FOR_DELIVERY,296.26,QB012,143,PREPAID
O00038,4093,448,2025-10-18 21:16:02,PLACED,720.38,QB036,51,COD
O00039,8857,429,2025-09-16 18:16:54,PLACED,1456.59,QB049,435,COD
O00040,2725,209,2025-08-16 09:16:58,OUT_FOR_DELIVERY,773.9,QB026,463,COD
O00041,2698,195,2025-09-19 13:01:28,PLACED,1479.43,QB017,475,PREPAID
O00042,4674,217,2025-08-05 21:51:55,CANCELLED,1440.24,,285,PREPAID
O00043,2537,98,2025-10-05 13:46:23,PREPARING,404.78,QB004,297,COD
O00044,5139,30,2025-10-02 03:02:16,PLACED,917.85,QB033,471,COD
O00045,932,492,2025-09-05 05:38:24,DELIVERED,212.16,QB012,36,COD
O00046,3854,207,2025-10-05 15:28:05,PLACED,1418.23,QB037,127,COD
O00047,1344,215,2025-08-13 19:35:26,CANCELLED,917.14,QB034,162,PREPAID
O00048,3347,343,2025-08-21 00:39:51,CANCELLED,539.86,QB017,203,COD
O00049,4916,235,2025-08-19 10:33:03,PREPARING,1400.63,QB005,5,PREPAID
O00050,9225,52,2025-08-12 15:46:39,PLACED,852.69,QB033,136,COD
O00051,5719,452,2025-08-18 08:09:06,PLACED,1330.98,QB024,146,COD
O00052,7180,427,2025-09-10 09:40:41,DELIVERED,1084.96,QB040,414,COD
O00053,9087,154,2025-09-10 09:03:59,CANCELLED,245.02,QB009,136,COD
O00054,1754,381,2025-10-28 05:28:31,DELIVERED,317.63,QB019,310,COD
O00055,5618,105,2025-10-06 02:20:29,CANCELLED,987.93,QB017,259,PREPAID
O00056,4115,464,2025-10-22 06:50:41,PLACED,229.22,QB028,425,PREPAID
